url,Company Name,Description,Address,city,State,Phone,Status,Website,LBN Legal business name,Authorized official,Enumeration date,Last updated,OrganizationOrSole
url,Company Name,Description,Address,city,State,Phone,Status,Website,LBN Legal business name,Authorized official,Enumeration date,Last updated,OrganizationOrSole
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1952770455.aspx,17th Street Dental Care Lbn Maria Dizon Dds Inc,-,"1621 17th St Bakersfield, Ca 93301-4300",Bakersfield,CA,661-631-0529,New,-,Maria Dizon Dds Inc,Karen Camp - (manager),09/15/2015,09/15/2015,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1477097616.aspx,21st Century Dental,-,"8907 Warner Ave Ste 100 Huntington Beach, Ca 92647-5079",Beach,CA,714-848-7777,New,-,21st Century Dental,Darin Fong - (owner/president),12/07/2016,12/07/2016,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1558864819.aspx,"626 Dental Care Lbn Charles Wang Dds, Professional Corporation",-,"4900 Peck Rd El Monte, Ca 91732",Monte,CA,626-579-5158,New,-,"Charles Wang Dds, Professional Corporation",Charles Wang - (president),03/13/2018,07/05/2018,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1699262634.aspx,"680 Dental Care Lbn Edegar Vergara, Dmd Inc",-,"2340 Mckee Rd Ste 3 San Jose, Ca 95116-1615",Jose,CA,669-284-9988,New,-,"Edegar Vergara, Dmd Inc",Edegar Vergara - (ceo),04/16/2018,04/16/2018,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1295206597.aspx,A Aneja Dmd Inc,-,"22233 Redwood Rd Castro Valley, Ca 94546-7109",Valley,CA,408-219-6582,New,-,A Aneja Dmd Inc,Anju Aneja - (president),12/12/2018,12/12/2018,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1417334244.aspx,A Beautiful Smile,-,"2440 E Soquel Cir Fresno, Ca 93720-4638",Fresno,CA,908-391-6809,New,-,A Beautiful Smile,Efema Nwajei - (owner/president),04/30/2015,04/30/2015,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1336383843.aspx,A Briter Smile Dental Group Lbn Ali Khosrovani Dds Inc,-,"4905 York Blvd Los Angeles, Ca 90042-1609",Angeles,CA,323-255-8774,New,-,Ali Khosrovani Dds Inc,Arlene Young - (hr Manager),04/28/2009,06/15/2020,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1396382818.aspx,A Chang Dental Corp,-,"30814 Coast Hwy Laguna Beach, Ca 92651-8136",Beach,CA,949-499-1200,New,-,A Chang Dental Corp,Alexander Chang - (owner),12/03/2019,12/03/2019,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1598879538.aspx,"A. Gavin Mcclure, D.d.s., Inc.",-,"304 Lincoln St Santa Cruz, Ca 95060-4333",Cruz,CA,831-426-1343,New,-,"A. Gavin Mcclure, D.d.s., Inc.",Austin Mcclure - (president),08/18/2006,08/22/2020,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1770098279.aspx,A Harris Qureshi Dds Incorporated,-,"1946 E Rosecrans Ave Compton, Ca 90221-1710",Compton,CA,562-412-5624,New,-,A Harris Qureshi Dds Incorporated,Azeem Qureshi - (president),12/06/2017,12/06/2017,Org
https://npidb.org/organizations/dental_health/general-practice_1223g0001x/1164063004.aspx,A. Osma Dental Corporation,"A general dentist is the primary dental care provider for patients of all ages. The general dentist is responsible for the diagnosis, treatment, management and overall coordination of services related to patients' oral health needs.","44207 20th St W Lancaster, Ca 93534-4060",Lancaster,CA,661-942-8333,New,-,A. Osma Dental Corporation,Amalia Osma - (president),10/02/2019,10/02/2019,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1831664630.aspx,A. P. Truong Dental Corporation,-,"120 S Harbor Blvd Ste A Santa Ana, Ca 92704-1382",Ana,CA,714-383-1728,New,-,A. P. Truong Dental Corporation,Andy Truong - (president),10/08/2018,10/08/2018,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1184133076.aspx,A Plant Dental Lbn Albert Oh Dentistry Pc,-,"531 W Las Tunas Dr Ste A San Gabriel, Ca 91776-1166",Gabriel,CA,626-282-0884,New,-,Albert Oh Dentistry Pc,Albert Oh - (ceo President Secretary),09/24/2017,09/24/2017,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1548533029.aspx,A-plus Dental Lbn Carla Belgarde-duru Dds Inc,-,"3756 Santa Rosalia Dr Ste 517 Los Angeles, Ca 90008-3656",Angeles,CA,323-298-7992,New,-,Carla Belgarde-duru Dds Inc,Carla Belgarde-duru - (owner),02/15/2012,02/15/2012,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1962917294.aspx,"A Plus Dental Lbn Won Sur Park Dds, Inc.",-,"531 W 7th St San Pedro, Ca 90731-3115",Pedro,CA,310-831-0003,New,-,"Won Sur Park Dds, Inc.",Won Sur Park - (owner Dentist),12/08/2017,12/08/2017,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1316101645.aspx,"A R Lee Dental, Inc.",-,"734 Middlefield Rd Palo Alto, Ca 94404",Alto,CA,650-289-9200,New,-,"A R Lee Dental, Inc.",Anne Lee - (owner),07/16/2008,07/16/2008,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1023577087.aspx,A. Stephens Dental Inc.,-,"2500 Durham Dayton Hwy Durham, Ca 95938-9440",Durham,CA,530-342-2770,New,-,A. Stephens Dental Inc.,Adam Stephens - (president),03/18/2019,03/18/2019,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1467669028.aspx,A & T Santos Dental Corporation,-,"4183 Chino Hills Pkwy Suite H Chino Hills, Ca 91709-3781",Hills,CA,909-393-5300,New,-,A & T Santos Dental Corporation,Alexander Santos - (owner),05/16/2007,08/15/2011,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1003468976.aspx,A Westfall Dental Corporation,-,"2074 Lake Tahoe Blvd Ste 4 South Lake Tahoe, Ca 96150-6408",Tahoe,CA,530-600-2835,New,-,A Westfall Dental Corporation,April Westfall - (ceo),07/11/2019,07/11/2019,Org
