url,Company Name,Description,Address,city,State,Phone,Status,Website,LBN Legal business name,Authorized official,Enumeration date,Last updated,OrganizationOrSole
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1609343680.aspx,21152 Rittenhouse Llc,-,"22717 S Ellsworth Rd Ste B102 Queen Creek, Az 85142-7575",Creek,AZ,480-888-9596,New,-,21152 Rittenhouse Llc,Matthew Baker - (member),10/29/18,10/29/18,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1396380036.aspx,7-7 Phoenix Dental Inc,-,"7102 N 35th Ave Ste 1 Phoenix, Az 85051-8390",Phoenix,AZ,602-777-3777,New,-,7-7 Phoenix Dental Inc,John Lundgreen - (member),11/15/19,11/15/19,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1689159592.aspx,"A Plus Dental, Plc",-,"235 W Western Ave Ste 7 Avondale, Az 85323-1848",Avondale,AZ,623-259-1426,New,-,"A Plus Dental, Plc",Carrie Chopra - (office Manager),9/26/18,9/26/18,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1598262917.aspx,A Tender Dental Care V Llc,-,"25355 N Lake Pleasant Pkwy Unit 103 Peoria, Az 85383-1504",Peoria,AZ,480-824-8165,New,-,A Tender Dental Care V Llc,Jason Wang - (office Manager),4/11/18,4/11/18,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1689848277.aspx,Able Dental Care,-,"2229 E Mcdowell Rd Phoenix, Az 85006-2448",Phoenix,AZ,602-275-2020,New,-,Able Dental Care,Susana Alvillar - (office Manager),4/15/08,4/15/08,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1780869081.aspx,"Ace Family Dentistry, Llc",-,"5577 N Oracle Rd Ste 101 Tucson, Az 85704-3878",Tucson,AZ,520-293-2267,New,-,"Ace Family Dentistry, Llc",John Lee - (owener),1/4/08,1/4/08,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1609236264.aspx,Aces Dental Of Flagstaff,-,"1515 E Cedar Ave Unit C1 Flagstaff, Az 86004-1600",Flagstaff,AZ,928-440-5137,New,-,Aces Dental Of Flagstaff,Vilas Sastry - (owner),2/24/16,9/16/16,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1063976488.aspx,"Adam R. Culver Dmd, Pllc",-,"13821 N 35th Dr Ste 2 Phoenix, Az 85053-5541",Phoenix,AZ,602-547-9007,New,-,"Adam R. Culver Dmd, Pllc",Deborah Bonnet - (office Manager),1/30/19,7/16/20,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1417420472.aspx,"Adobe Dental Design Of Sedona, Pllc",-,"80 Soldiers Pass Rd Ste C Sedona, Az 86336-4738",Sedona,AZ,928-282-7871,New,-,"Adobe Dental Design Of Sedona, Pllc",Katherine Held - (member/co-owner/dentist),1/2/19,1/2/19,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1932738895.aspx,"Adobe Hills Dental, Pllc",-,"860 W. Cleveland Suite 5 Saint Johns, Az 85936",Johns,AZ,928-337-9990,New,-,"Adobe Hills Dental, Pllc",Brenon Farmer - (member),4/3/20,4/3/20,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1386278679.aspx,Advanced Dental Prosthetics,-,"107 N Greenfield Rd Ste 1 Mesa, Az 85205-7802",Mesa,AZ,480-832-1375,New,-,Advanced Dental Prosthetics,Kent Howell - (owner),2/26/20,2/26/20,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1336347624.aspx,"Advanced Endodontics Lbn Brian A. Christopherson Dds, Pllc",-,"2017 E Adobe St Mesa, Az 85213-6740",Mesa,AZ,480-733-1778,New,-,"Brian A. Christopherson Dds, Pllc",Brian Christopherson - (managing Member),7/7/07,8/22/20,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1720107600.aspx,"Aesthetic Dentistry Of Arrowhead Lbn Dr. Greg Ceyhan Dds, Pllc",-,"17100 N 67th Ave. Suite 500 Glendale, Az 85308",Glendale,AZ,623-979-1515,New,-,"Dr. Greg Ceyhan Dds, Pllc",Greg Ceyhan - (managing Member),3/29/07,12/11/08,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1861514671.aspx,Agape Dental Center Pc,-,"6000 S Mcclintock Dr Suite B Tempe, Az 85283",Tempe,AZ,480-820-6131,New,-,Agape Dental Center Pc,Kevin Cheng - (president),4/4/07,8/22/20,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1649775842.aspx,Agave Family Dental Lbn Agave Family Dental Pllc,-,"855 E Warner Rd Ste 104 Chandler, Az 85225-0998",Chandler,AZ,480-389-2452,New,-,Agave Family Dental Pllc,Donna Perkins - (practice Manager),3/28/18,3/28/18,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1679755060.aspx,"Ahn Family Dentistry Lbn Edward B. Ahn Dds, Pc",-,"1680 Mcculloch Blvd N Lake Havasu City, Az 86403-0962",City,AZ,928-855-3000,New,-,"Edward B. Ahn Dds, Pc",Edward Ahn - (president),11/28/07,12/13/12,Org
https://npidb.org/organizations/dental_health/general-practice_1223g0001x/1063779841.aspx,Alan P Kawakami Dds Pc,"A general dentist is the primary dental care provider for patients of all ages. The general dentist is responsible for the diagnosis, treatment, management and overall coordination of services related to patients' oral health needs.","2700 E Fry Blvd Suite B-9 Sierra Vista, Az 85635-2826",Vista,AZ,520-459-1600,New,-,Alan P Kawakami Dds Pc,Alan Kawakami - (orthodontist),4/18/12,8/11/17,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1861044596.aspx,Alex W Scott Dmd Pllc,-,"5155 N 16th St Ste A Phoenix, Az 85016-3917",Phoenix,AZ,602-265-5155,New,-,Alex W Scott Dmd Pllc,Alex Scott - (dentist),7/12/19,7/12/19,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1982164117.aspx,Alexander Dental Creations Pllc,-,"21188 E Ocotillo Rd Ste 101 Queen Creek, Az 85142-4942",Creek,AZ,480-882-3330,New,-,Alexander Dental Creations Pllc,Elena Alexander - (member),3/22/19,3/22/19,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1205961166.aspx,"All Family Dental Care, Llc",-,"417 W Central Ave Coolidge, Az 85228-4708",Coolidge,AZ,520-723-1111,New,-,"All Family Dental Care, Llc",Max Almodovar - (owner),2/22/07,8/22/20,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1699293944.aspx,"Allan D. Johnson Dds, Pc",-,"14640 N Tatum Blvd Ste 2 Phoenix, Az 85032-4824",Phoenix,AZ,(602) 992-9251,New,-,"Allan D. Johnson Dds, Pc",Allan Johnson - (dentist),9/7/17,3/12/18,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1285112292.aspx,Alpers Family And Cosmetic Dentistry,-,"7500 E Mcdonald Dr Ste 101b Scottsdale, Az 85250-6000",Scottsdale,AZ,480-998-3355,New,-,Alpers Family And Cosmetic Dentistry,Kristopher Alpers - (owner),8/1/18,8/1/18,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1144737347.aspx,Altier Dental Lbn Danick Enterprises Llc,-,"4365 E Pecos Rd Ste 127 Gilbert, Az 85295-8052",Gilbert,AZ,480-331-4955,New,-,Danick Enterprises Llc,Nicole Altier - (president),1/9/18,1/9/18,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1902440803.aspx,A&n Orion Llc,-,"2626 S Rural Rd Tempe, Az 85282-2431",Tempe,AZ,480-597-4163,New,-,A&n Orion Llc,Anisha Avila - (office Manager),11/4/19,11/4/19,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1962733600.aspx,"Anasazi Denture Clinic, Llc",-,"18425 E Stirrup Ln Rio Verde, Az 85263-7114",Verde,AZ,480-471-9560,New,-,"Anasazi Denture Clinic, Llc",Carmen Cain - (president),1/20/10,1/20/10,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1881893584.aspx,Anasazi Family Dental Lbn Joseph Mikulicz Dental Services P.c.,-,"312 N Alma School Rd Suite 22 Chandler, Az 85224-4354",Chandler,AZ,480-821-8295,New,-,Joseph Mikulicz Dental Services P.c.,Joseph Mikulicz - (owner),7/12/07,7/12/07,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1639381197.aspx,"Ann Hammi Blue, D.d.s., M.s., P.c.",-,"4921 E Bell Rd Suite #206 Scottsdale, Az 85254-6002",Scottsdale,AZ,602-441-4464,New,-,"Ann Hammi Blue, D.d.s., M.s., P.c.",Ann Blue - (periodontist),5/4/07,9/23/13,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1326554106.aspx,"Apple Tree Dentistry, Llc",-,"13048 W Rancho Santa Fe Blvd 114 Avondale, Az 85392",Avondale,AZ,623-536-3377,New,-,"Apple Tree Dentistry, Llc",Eriona Robescu - (executive Director),12/15/17,12/15/17,Org
https://npidb.org/organizations/dental_health/pediatric-dentistry_1223p0221x/1205351392.aspx,"Arcadia Pediatric Dentistry, Llc","An age-defined specialty that provides both primary and comprehensive preventive and therapeutic oral health care for infants and children through adolescence, including those with special health care needs.","5717 E Thomas Rd Ste 110 Scottsdale, Az 85251-7509",Scottsdale,AZ,480-207-5070,New,-,"Arcadia Pediatric Dentistry, Llc",Gail Garrison - (credentialing Manager),8/9/17,8/10/17,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1932769445.aspx,Arcadia Smiles Llc,-,"5638 E Thomas Rd Phoenix, Az 85018-8117",Phoenix,AZ,480-990-2343,New,-,Arcadia Smiles Llc,Patricia Perez - (admin),6/17/19,6/17/19,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1699840199.aspx,Arizona Dental Group Lbn James A Guinn Dmd Pc,-,"3731 S Vista Pl Chandler, Az 85248-5111",Chandler,AZ,480-748-0938,New,-,James A Guinn Dmd Pc,James Guinn - (president),11/21/06,10/16/08,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1699307306.aspx,Arizona Healthcare Outreach,-,"3581 W Northern Ave Ste 8 Phoenix, Az 85051-9404",Phoenix,AZ,480-830-9555,New,-,Arizona Healthcare Outreach,Collette Barr - (director),2/10/20,2/10/20,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1720565294.aspx,Arizona Mobile Dental Services,-,"2010 E Elliot Rd Ste 105 Tempe, Az 85284-1790",Tempe,AZ,480-899-7996,New,-,Arizona Mobile Dental Services,Pam Buckhanan - (coordinator),7/26/18,7/26/18,Org
