url,Company Name,Description,Address,city,State,Phone,Status,Website,LBN Legal business name,Authorized official,Enumeration date,Last updated,OrganizationOrSole
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1184161507.aspx,24/7 Dental Lbn Queen City Dental Llc,-,"7764 Colerain Ave Ste A Cincinnati, Oh 45239-4504",Cincinnati,OH,317-525-7398,Govt,-,Queen City Dental Llc,Ankit Patel - (dentist),1/24/17,1/24/17,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1396901831.aspx,"Abc Dental, Llc Lbn Abc Dental-robert H Muster Jr Dds, Daniel E Bell Dds, & Corina A Custe",-,"8376 Old Troy Pike Huber Heights, Oh 45424-1028",Heights,OH,937-938-7678,New,-,"Abc Dental-robert H Muster Jr Dds, Daniel E Bell Dds, & Corina A Custe",Robert Muster - (managing Partner),8/4/08,8/4/08,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1306353057.aspx,"Aderman Family Dentistry, Llc",-,"110 N High St Oakwood, Oh 45873-8940",Oakwood,OH,419-594-3345,New,-,"Aderman Family Dentistry, Llc",Andrew Aderman - (dentist),1/3/18,1/3/18,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1326563289.aspx,"Afinia Dental Lbn Afinia Dental-killgore North, Inc",-,"4874 Wunnenberg Way West Chester, Oh 45069-4863",Chester,OH,(513) 746-8228,New,-,"Afinia Dental-killgore North, Inc",Cara Killgore - (owner/vice President),8/11/17,8/11/17,Org
https://npidb.org/organizations/ambulatory_health_care/primary-care_261qp2300x/1225386501.aspx,Aid Family Medical Center Lbn Ironton & Lawrence County Area Community Action Organization,-,"13804 State Route 141 Kitts Hill, Oh 45645-8848",Hill,OH,740-643-2082,Govt,-,Ironton & Lawrence County Area Community Action Organization,Nancy Lewis - (director Of Health Services),8/17/12,8/17/12,Org
https://npidb.org/organizations/ambulatory_health_care/federally-qualified-health-center-fqhc_261qf0400x/1770839276.aspx,Aid Family Medical Center Lbn Ironton & Lawrence County Area Community Action Organization,"A Federally Qualified Health Center (FQHC) is a community-based organization that provides comprehensive primary care and preventive care, including health, oral, and mental health/substance abuse services to persons of all ages, regardless of their ability to pay or health insurance status.","13804 State Route 141 Kitts Hill, Oh 45645-8848",Hill,OH,740-643-2082,Govt,-,Ironton & Lawrence County Area Community Action Organization,Nancy Lewis - (director Of Health Services),8/2/12,1/3/14,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1992336093.aspx,Al Saad Dental Llc,-,"7250 Center St Ste C Mentor, Oh 44060-4920",Mentor,OH,440-454-4649,New,-,Al Saad Dental Llc,Ahmad Al Saad - (member),1/28/20,1/29/20,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1205251824.aspx,Alex Bell Dental Lbn Alex Bell Dental- Daniel Cobb Dds,-,"900 E Alex Bell Rd Centerville, Oh 45459",Centerville,OH,937-435-7311,New,-,Alex Bell Dental- Daniel Cobb Dds,Daniel Cobb - (owner),2/19/14,2/19/14,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1902415912.aspx,"Alexis Klassen & Associates Dds, Llc",-,"1218 Ridgewood Dr Bowling Green, Oh 43402-2664",Green,OH,419-352-2371,New,-,"Alexis Klassen & Associates Dds, Llc","Alexis Klassen - (owner, Dentist)",7/26/20,7/26/20,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1083223192.aspx,"Alexis Road Family Dental, Amber R. Leer Dds, Llc",-,"4640 W Alexis Rd Ste 200 Toledo, Oh 43623-1182",Toledo,OH,419-471-1208,New,-,"Alexis Road Family Dental, Amber R. Leer Dds, Llc",Tabatha Pierce - (office Manager),7/24/20,7/29/20,Org
https://npidb.org/organizations/managed_care/preferred-provider-organization_305r00000x/1174935324.aspx,"All-star Health Solutions Lbn Lost Creek Holding, Llc","A group of physicians and/or hospitals who contract with an employer to provide services to their employees. In a PPO, the patient may got to the physician of his/her choice, even if that physician does not participate in the PPO, but the patient receives care at a lower benefit level.","2750 N Thayer Rd Lima, Oh 45801-8796",Lima,OH,419-230-5446,New,-,"Lost Creek Holding, Llc",Diane Tomlinson - (ceo),5/22/14,7/10/17,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1699281980.aspx,Anderson Smile Center Lbn Anderson Smile Center Reddy Inc,-,"1222 Nordica Ln Cincinnati, Oh 45255-3118",Cincinnati,OH,513-474-5185,New,-,Anderson Smile Center Reddy Inc,Opal Anderson - (operations Manager),12/21/17,12/21/17,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1043601271.aspx,Anew Medspa 2120 Llc,-,"2120 S Green Rd South Euclid, Oh 44121-3349",Euclid,OH,216-255-5201,New,-,Anew Medspa 2120 Llc,Louis Malcmacher - (owner),2/10/15,2/10/15,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1659764983.aspx,Anne G Banta Dds Inc,-,"5680 Bridgetown Rd Ste B Cincinnati, Oh 45248-4383",Cincinnati,OH,513-574-2444,New,-,Anne G Banta Dds Inc,Anne Banta - (owner),3/11/15,3/11/15,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1184195059.aspx,Arch City Dental Associates Sandhu,-,"191 W Schrock Rd Westerville, Oh 43081-2890",Westerville,OH,614-891-7075,Govt,-,Arch City Dental Associates Sandhu,Opal Anderson - (coo),12/17/18,12/17/18,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1710018379.aspx,Arthur J Ranz Dds Inc,-,"5215 N Bend Rd Cincinnati, Oh 45247-8025",Cincinnati,OH,513-662-8003,New,-,Arthur J Ranz Dds Inc,Arthur Ranz - (president),3/8/07,8/22/20,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1548334600.aspx,Baxter Dental Care Lbn Delhi Dental Assoc. Js Baxter Dds Inc,-,"777 Columbus Ave Lebanon, Oh 45036-1684",Lebanon,OH,513-932-5856,New,-,Delhi Dental Assoc. Js Baxter Dds Inc,Jeffrey Baxter - (president),11/20/06,10/1/07,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1326680133.aspx,Beavercreek Dental Care Inc,-,"2141 N Fairfield Rd Suite A Beavercreek, Oh 45431",Beavercreek,OH,937-427-3131,New,-,Beavercreek Dental Care Inc,Opal Anderson - (coo),10/14/19,10/14/19,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1023448834.aspx,Bethel Dental Care Lbn Zarick Dentistry Llc,-,"1151 Bethel Rd Suite 203 Columbus, Oh 43220-2775",Columbus,OH,614-451-0341,New,-,Zarick Dentistry Llc,Sarah Zarick - (dentist/owner),11/14/13,11/14/13,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1104485192.aspx,Bjh Dental Associates Llc,-,"15509 Madison Ave Cleveland, Oh 44107-4023",Cleveland,OH,216-226-8750,New,-,Bjh Dental Associates Llc,Brian Hudec - (owner),6/12/19,6/12/19,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1548741200.aspx,Blacklick Creek Dental Lbn Ankit Patel Dds Llc,-,"7395 E Main St Reynoldsburg, Oh 43068-2160",Reynoldsburg,OH,614-860-0065,New,-,Ankit Patel Dds Llc,Ankit Patel - (owner),8/22/18,8/1/20,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1588759609.aspx,"Blue Ash Oral And Maxillofacial Surgery, Inc",-,"4350 Malsbary Rd Suite 201 Cincinnati, Oh 45242-5621",Cincinnati,OH,513-984-2100,New,-,"Blue Ash Oral And Maxillofacial Surgery, Inc",Randall Stastny - (owner),10/4/06,3/4/08,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1386103315.aspx,Bradley L Mccormack Dds Pure Llc,-,"7819 Broadview Rd Seven Hills, Oh 44131-6146",Hills,OH,216-520-1242,New,-,Bradley L Mccormack Dds Pure Llc,Kam Abed - (director Of Opporations),3/19/19,3/19/19,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1821272048.aspx,"Bright Now Dental Lbn Dental Professionals Cleveland-nouneh, Inc.",-,"4785 Leavitt Rd Lorain, Oh 44053-2136",Lorain,OH,440-282-6677,New,-,"Dental Professionals Cleveland-nouneh, Inc.",Diane Ulichney - (credentialing Manager),12/24/07,5/12/09,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1962687616.aspx,"Bright Now Dental Lbn Dental Professionals Cleveland-nouneh, Inc.",-,"1313 W Bogart Rd Sandusky, Oh 44870-5704",Sandusky,OH,419-627-1255,New,-,"Dental Professionals Cleveland-nouneh, Inc.",Diane Ulichney - (credentialing Manager),12/31/07,5/13/09,Org
