url,Company Name,Description,Address,city,State,Phone,Status,Website,LBN Legal business name,Authorized official,Enumeration date,Last updated,OrganizationOrSole
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1275738668.aspx,"A To Z Children's Dental Clinic, Llc",-,"805 E High St Grants, Nm 87020-2448",Grants,NM,505-876-1065,New,-,"A To Z Children's Dental Clinic, Llc",Marcellus Gladney - (president),06/18/2007,08/22/2020,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1396243390.aspx,"A To Z Childrens Dentistry Lbn Las Brisas Enterprises, Llc",-,"1209 Bonita Ave Suite A Grants, Nm 87020",Grants,NM,505-285-3443,New,-,"Las Brisas Enterprises, Llc",Rachelle Galindo - (office Manager),01/25/2018,07/07/2020,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1700498037.aspx,Abq Gentle Dentistry Llc,-,"4550 Eubank Blvd Ne Ste 101 Albuquerque, Nm 87111-2565",Albuquerque,NM,505-292-8588,New,-,Abq Gentle Dentistry Llc,Dan Lafferty - (owner / Dentist),08/18/2020,08/18/2020,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1992338826.aspx,Ahh Dental,-,"4041 Cerrillos Rd Santa Fe, Nm 87507-2916",Fe,NM,505-438-3276,New,-,Ahh Dental,Sylvia Moreschini - (dentist/ceo),02/19/2020,02/19/2020,Org
https://npidb.org/organizations/ambulatory_health_care/federally-qualified-health-center-fqhc_261qf0400x/1144315615.aspx,"Albuquerque Health Care For The Homeless, Inc.","A Federally Qualified Health Center (FQHC) is a community-based organization that provides comprehensive primary care and preventive care, including health, oral, and mental health/substance abuse services to persons of all ages, regardless of their ability to pay or health insurance status.","1217 First St. Nw Albuquerque, Nm 87102",Albuquerque,NM,505-766-5197,New,-,"Albuquerque Health Care For The Homeless, Inc.",Jennifer Metzler - (executive Director),10/03/2006,01/08/2009,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1497849186.aspx,Albuquerque I.h.s. Dental Clinic,-,"9169 Coors Road, Nw Albuquerque, Nm 87120",Road,NM,505-346-2306,New,-,Albuquerque I.h.s. Dental Clinic,Maureen Cordova - (chief Executive Officer),10/03/2006,08/22/2020,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1356690788.aspx,Alegre Dental,-,"2116 Vista Oeste Nw #202 Albuquerque, Nm 87120",Albuquerque,NM,505-836-1076,New,-,Alegre Dental,Pako Major - (dentist/owner),08/30/2012,08/30/2012,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1346802188.aspx,Angel Fire Dental Corp,-,"27479 Hwy 64 Angel Fire, Nm 87710",Fire,NM,575-214-4369,Govt,-,Angel Fire Dental Corp,Timothy Doolin - (president),07/02/2019,07/02/2019,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1528437258.aspx,Anywhere Dental Care,-,"28 Canada De Los Alamos Trl Se Albuquerque, Nm 87123-9504",Albuquerque,NM,505-266-6598,New,-,Anywhere Dental Care,Rhodie Long-jones - (dental Hygienist & Administrator),09/23/2015,04/29/2016,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1740662709.aspx,"Bridget R. Burris D. D. S., P. C.",-,"1748 S Triviz Dr Las Cruces, Nm 88001-5103",Cruces,NM,575-522-1983,New,-,"Bridget R. Burris D. D. S., P. C.",Bridget Burris - (president),06/25/2015,06/25/2015,Org
