url,Company Name,Description,Address,city,State,Phone,Status,Website,LBN Legal business name,Authorized official,Enumeration date,Last updated,OrganizationOrSole
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1679040604.aspx,"1. Blue Skies West Dental And 2. Blues Skies East Dental Lbn Blue Skies Of Texas Dental, Pllc",-,"5100 John D Ryan Blvd San Antonio, Tx 78245-3527",Antonio,TX,210-674-3122,New,-,"Blue Skies Of Texas Dental, Pllc",Julian Martinez - (owner/ General Dentist),10/29/2018,10/29/2018,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1215582044.aspx,"1221 Dental Family Business, Pllc",-,"6435 Farm To Market Road 549 #200 Heath, Tx 75032-7503",Heath,TX,214-771-8467,New,-,"1221 Dental Family Business, Pllc",William Beaber - (president),08/08/2019,08/08/2019,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1417413451.aspx,"28 Smile, Llc",-,"11403 Barker Cypress Rd Ste 1300 Cypress, Tx 77433-5425",Cypress,TX,281-721-9575,New,-,"28 Smile, Llc",Peter Tran - (doctor/owner),02/14/2019,02/14/2019,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1629538814.aspx,380 Smiles Pllc,-,"4940 W. University Dr. Suite 40 Prosper, Tx 75078",Prosper,TX,402-650-7405,New,-,380 Smiles Pllc,Vimal Patel - (managing Member),03/22/2019,03/22/2019,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1245772995.aspx,4k Dentistry Lbn 4k Dentistry Pllc,-,"21434 Provincial Blvd Katy, Tx 77450-7587",Katy,TX,281-398-4369,New,-,4k Dentistry Pllc,Anthony Kofoworola-kuti - (clinical Director),11/11/2016,11/11/2016,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1477060804.aspx,"6 Day Dental & Orthodontics Lbn 6 Day Dental Group - Allen, Pllc",-,"1205 W Mcdermott Dr Ste 120 Allen, Tx 75013-6305",Allen,TX,214-778-1900,New,-,"6 Day Dental Group - Allen, Pllc",Young Shim - (sole Member),01/08/2018,01/08/2018,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1609383033.aspx,"6 Day Dental & Orthodontics Lbn 6 Day Dental Group - Flower Mound, Pllc",-,"6050 Long Prairie Rd Ste 100 Flower Mound, Tx 75028-5613",Mound,TX,972-316-6320,New,-,"6 Day Dental Group - Flower Mound, Pllc",Young Shim - (sole Member),01/08/2018,01/08/2018,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1912414251.aspx,"6 Day Dental & Orthodontics Lbn 6 Day Dental Group - Roanoke, Pllc",-,"200 Tx-114 Roanoke, Tx 76262",Roanoke,TX,817-567-8040,New,-,"6 Day Dental Group - Roanoke, Pllc",Young Shim - (sole Member),01/09/2018,01/09/2018,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1669974598.aspx,"6 To 9 Dental, Pllc",-,"651 N Business Ih 35 Ste 730 New Braunfels, Tx 78130-7875",Braunfels,TX,210-333-6911,New,-,"6 To 9 Dental, Pllc",Virginia Humphrey - (president),03/07/2018,03/07/2018,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1154628402.aspx,7 Day Dental Lbn Bob Jing D.d.s P.a.,-,"115 W Seminary Dr Ste 101 Fort Worth, Tx 76115-2603",Worth,TX,817-529-0855,New,-,Bob Jing D.d.s P.a.,Jill Jing - (managing Partner),02/23/2011,07/15/2014,Org
