url,Company Name,Description,Address,city,State,Phone,Status,Website,LBN Legal business name,Authorized official,Enumeration date,Last updated,OrganizationOrSole
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1679085906.aspx,A Division Of Atlantic Dental Care Lbn Strawbridge Dental Pc,-,"2129 General Booth Blvd Ste 117 Virginia Beach, Va 23454-5872",Beach,VA,757-563-8000,New,-,Strawbridge Dental Pc,Mollie Gioffre - (dentist),10/26/2017,10/26/2017,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1689906224.aspx,A. Sanati D.d.s & S. Shahram D.d.s Pc,-,"8605 Westwood Center Dr 210 Vienna, Va 22182-2240",Vienna,VA,703-442-0770,New,-,A. Sanati D.d.s & S. Shahram D.d.s Pc,Ardalan Sanati - (president),02/08/2010,02/08/2010,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1558506709.aspx,Ab Dental,-,"20048 Boxwood Pl Ashburn, Va 20147-5641",Ashburn,VA,202-903-4815,New,-,Ab Dental,Preet Bajwa - (president/owner),12/02/2008,12/02/2008,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1104238955.aspx,"Ace Orthodontics, Pllc",-,"2841 Hartland Rd Suite 302 Falls Church, Va 22043-3500",Church,VA,703-938-1187,New,-,"Ace Orthodontics, Pllc",Ju-han Chang - (orthodontist/owner),05/28/2014,05/28/2014,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1568618429.aspx,Ackerman And Associates Of Great Falls,-,"774 Walker Rd Ste B Great Falls, Va 22066-2648",Falls,VA,703-759-4707,New,-,Ackerman And Associates Of Great Falls,Jeffrey Ackerman - (owner),08/12/2008,08/12/2008,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1992761126.aspx,Adam C Plaster Dds Pc,-,"134 South College Ave Bluefield, Va 24605",Bluefield,VA,276-322-4006,New,-,Adam C Plaster Dds Pc,Adam Plaster - (president),04/25/2006,08/22/2020,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1457815573.aspx,Adam C Plaster Dds Pc Ii,-,"13245 Booker T Washington Hwy Ste D Hardy, Va 24101-3981",Hardy,VA,540-912-0177,New,-,Adam C Plaster Dds Pc Ii,Laura Dooley - (office Manager),01/23/2019,01/23/2019,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1255766234.aspx,"Advanced Sedation Dentistry Lbn Advanced Sedation Services, Llc",-,"200 Battlefield Blvd N Ste 4 Chesapeake, Va 23320-3975",Chesapeake,VA,757-769-7155,New,-,"Advanced Sedation Services, Llc",Len Futerman - (owner),09/09/2013,09/09/2013,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1598043739.aspx,"Advanced Sedation Dentistry Lbn Dental Anesthesia Services, Llc331",-,"616 Virginia Beach Blvd #102 Virginia Beach, Va 23451",Beach,VA,757-769-7155,New,-,"Dental Anesthesia Services, Llc331",Len Futerman - (owner),07/21/2011,07/21/2011,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1427249903.aspx,"Advantage Dental Care Lbn Family Dental, Pc",-,"7022a Commerce St Springfield, Va 22150-3433",Springfield,VA,703-644-9786,New,-,"Family Dental, Pc",Vu Nguyen - (owner),08/08/2007,03/07/2008,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1558876854.aspx,"Advantage Dental Lbn Paul M Jiral Dds And Associates, Pc",-,"560 Celebrate Va Pkwy Ste 107 Fredericksburg, Va 22406-7298",Fredericksburg,VA,540-286-1110,New,-,"Paul M Jiral Dds And Associates, Pc",Paul Jiral - (president),12/08/2017,12/08/2017,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1295374734.aspx,Aglow Dental Pllc Lbn Aglow Dental Studio,-,"11150 Sunset Hills Rd Ste 303 Reston, Va 20190-5335",Reston,VA,703-651-6130,New,-,Aglow Dental Studio,Rosemary Ahanor - (owner),01/02/2020,02/02/2020,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1467001040.aspx,Ahmed Saad Dds Inc,-,"110 Pleasant St Nw Ste A Vienna, Va 22180-4447",Vienna,VA,562-999-6546,New,-,Ahmed Saad Dds Inc,Ahmed Saad - (president),09/06/2019,09/06/2019,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1346379278.aspx,Alan D Nachman Dds Pc,-,"508 N Birdneck Rd Suite E Virginia Beach, Va 23451-6301",Beach,VA,757-422-8885,New,-,Alan D Nachman Dds Pc,Alan Nachman - (president),03/05/2007,08/22/2020,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1669908224.aspx,Albert Family Dentistry,-,"90 Whitewood Rd Suite #3 Charlottesville, Va 22901-1668",Charlottesville,VA,434-973-7695,New,-,Albert Family Dentistry,Kevin Albert - (dentist),05/02/2017,05/02/2017,Org
https://npidb.org/organizations/ambulatory_health_care/dental_261qd0000x/1891316469.aspx,"Aldie Dental Care, Pllc",-,"24560 Southpoint Dr Ste 210 Aldie, Va 20105-3504",Aldie,VA,571-215-3235,New,-,"Aldie Dental Care, Pllc",Nicole Rivera Vargas - (dentist),05/05/2020,05/05/2020,Org
