url,Company Name,Description,Address,city,State,Phone,Status,Website,LBN Legal business name,Authorized official,Enumeration date,Last updated,OrganizationOrSole
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1588839096.aspx,A-med Ambulance Service Lbn Town Of Altoona,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","2844 Main Street Altoona, Al 35952",Altoona,AL,205-589-2300,Govt,-,Town Of Altoona,Betty Caddeb - (office Manager/paramedic),04/25/2008,04/25/2008,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1548462211.aspx,American Ambulance Servcie,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","51 W 2nd St Falkville, Al 35622-5009",Falkville,AL,256-737-7280,New,-,American Ambulance Servcie,Randy Wilson - (ceo),06/04/2007,07/17/2008,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1114903291.aspx,American Ambulance Service,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","1738 Eva Rd Ne Cullman, Al 35055-6006",Cullman,AL,256-739-8530,New,-,American Ambulance Service,Randy Wilson - (ceo),12/20/2005,09/25/2007,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1306896576.aspx,American Medical Response Lbn Fountain Ambulance Service Inc,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","5237 Halls Mill Rd Building D Mobile, Al 36619-9603",Mobile,AL,251-478-7200,New,-,Fountain Ambulance Service Inc,Mark Bruning - (president),05/11/2006,02/20/2012,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1124033956.aspx,American Medical Response Lbn Hank's Acquisition Corp.,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","2905 6th St Tuscaloosa, Al 35401-1708",Tuscaloosa,AL,205-759-4473,New,-,Hank's Acquisition Corp.,Mark Bruning - (executive Vice President),07/30/2006,04/07/2009,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1124078837.aspx,American Medical Response Lbn Hank's Acquisition Corp.,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","124 W Park Dr Birmingham, Al 35211-4469",Birmingham,AL,205-970-8700,New,-,Hank's Acquisition Corp.,Edward Van Horne - (president),05/11/2006,09/13/2013,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1760620629.aspx,Amstar Emergency Medical Services,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","1401 N Main St Linden, Al 36748-3441",Linden,AL,334-295-4450,New,-,Amstar Emergency Medical Services,Kevin Horne - (president),01/30/2009,08/26/2013,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1821037755.aspx,Anniston Emerg Med Svcs,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","1501 Noble St Anniston, Al 36201-3836",Anniston,AL,256-236-6005,New,-,Anniston Emerg Med Svcs,Johnny Warren - (president),06/06/2006,08/02/2007,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1265549562.aspx,Ashford Rescue Lbn Ashford Ambulance And Rescue Squad,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","305 Midland St Ashford, Al 36312",Ashford,AL,334-899-5115,Govt,-,Ashford Ambulance And Rescue Squad,Janice Blizzard - (secretary/treasurer),08/23/2006,08/22/2020,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1275591794.aspx,"Athens Limestone Health Services, Llc Lbn Athens Limestone Health Services, Llc","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","700 W Market St Athens, Al 35611-2457",Athens,AL,256-233-9292,New,-,"Athens Limestone Health Services, Llc",James Comer - (chief Financial Officer),05/03/2006,04/20/2017,Org
