url,Company Name,Description,Address,city,State,Phone,Website,LBN Legal business name,Authorized official,Enumeration date,Last updated,OrganizationOrSole
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1851619399.aspx,Aarons Ambulance,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","736 N State St State Street Plaza Hemet, Ca 92543-1503",Hemet,CA,951-990-3228,-,Aarons Ambulance,Robert Kneevers - (ceo),5/7/10,5/7/10,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1568864346.aspx,Advantage Ambulance Inc,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","2400 E 4th St National City, Ca 91950-2026",City,CA,866-962-3826,-,Advantage Ambulance Inc,Rick Hartsock - (president),9/23/14,9/23/14,Org
https://npidb.org/organizations/transportation_services/air-transport_3416a0800x/1073922878.aspx,Aei Health,-,"3404 Bonita Rd Chula Vista, Ca 91910-3209",Vista,CA,619-754-6755,-,Aei Health,Ruben Mendoza - (vice President),8/5/14,8/5/14,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1053581645.aspx,"Aircare Int'l Ground Transportation Division

						Lbn Sottek Trippe Enterprise, Llc","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","2105 Camino Vida Roble Ste. A Carlsbad, Ca 92011-1460",Carlsbad,CA,760-579-0223,-,"Sottek Trippe Enterprise, Llc",Cory Graham Sottek - (manager),3/10/08,7/29/13,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1659604734.aspx,"Allen Ambulance Service

						Lbn Tri-medic Inc","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","9602 S Central Ave Los Angeles, Ca 90002-2027",Angeles,CA,323-732-9156,-,Tri-medic Inc,La June Owens - (treasurer),9/8/09,9/8/09,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1851579882.aspx,"Alpha Ambulance, Inc","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","425 S Fairfax Ave 205 Los Angeles, Ca 90036-3541",Angeles,CA,323-937-0308,-,"Alpha Ambulance, Inc",Alex Kapri - (president),1/31/08,1/31/08,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1255646980.aspx,Alphaone Ambulance Medical Services Inc,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","10461 Old Placerville Rd Ste 110&120 Sacramento, Ca 95827-2522",Sacramento,CA,916-635-2011,-,Alphaone Ambulance Medical Services Inc,Thomas Arjil - (ceo/president),8/18/10,1/18/18,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1811542681.aspx,Amador Fire Protection District,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","810 Court St Jackson, Ca 95642-2132",Jackson,CA,209-223-6391,-,Amador Fire Protection District,Walter White - (fire Chief),8/7/19,8/7/19,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1154642031.aspx,"Ambulife Ambulance, Inc.","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","6644 Van Nuys Blvd Suite B Van Nuys, Ca 91405-4617",Nuys,CA,818-786-2800,-,"Ambulife Ambulance, Inc.",Vardouhi Sarafian - (president/ceo),6/15/10,4/13/20,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1982651592.aspx,Ambumed Corp.,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","3333 N San Fernando Blvd Burbank, Ca 91504-2531",Burbank,CA,818-847-7000,-,Ambumed Corp.,Jacob Tchamanian - (administrator),5/28/06,8/22/20,Org
