url,Company Name,Description,Address,city,State,Phone,Website,LBN Legal business name,Authorized official,Enumeration date,Last updated,OrganizationOrSole
https://npidb.org/organizations/transportation_services/non-emergency-medical-transport-van_343900000x/1578009593.aspx,"#1 American Med Transportation, Llc","A land vehicle with a capacity to meet special height, clearance, access, and seating, for the conveyance of persons in non-emergency situations. The vehicle may or may not be required to meet local county or state regulations.","2740 Arden Way Suite 204 Sacramento, Ca 95825-1369",Sacramento,CA,916-595-3455,-,"#1 American Med Transportation, Llc",Bassam Breesam - (ceo),1/14/17,1/14/17,Orgurl,Company Name,Description,Address,city,State,Phone,Website,LBN Legal business name,Authorized official,Enumeration date,Last updated,OrganizationOrSole
https://npidb.org/organizations/transportation_services/non-emergency-medical-transport-van_343900000x/1578009593.aspx,"#1 American Med Transportation, Llc","A land vehicle with a capacity to meet special height, clearance, access, and seating, for the conveyance of persons in non-emergency situations. The vehicle may or may not be required to meet local county or state regulations.","2740 Arden Way Suite 204 Sacramento, Ca 95825-1369",Sacramento,CA,916-595-3455,-,"#1 American Med Transportation, Llc",Bassam Breesam - (ceo),01/14/2017,01/14/2017,Org
https://npidb.org/organizations/transportation_services/non-emergency-medical-transport-van_343900000x/1346730421.aspx,"1 Sos Med

						Lbn  One Sos Med Transport","A land vehicle with a capacity to meet special height, clearance, access, and seating, for the conveyance of persons in non-emergency situations. The vehicle may or may not be required to meet local county or state regulations.","45 Golden Land Ct Ste 140 Sacramento, Ca 95834-2442",Sacramento,CA,916-668-8111,-,One Sos Med Transport,Adil Hassan - (ceo),05/15/2018,05/15/2018,Org
https://npidb.org/organizations/transportation_services/taxi_344600000x/1962639450.aspx,"18004mytaxi

						Lbn  A White And Yellow Cab Inc.","A land commercial vehicle used for the transporting of persons in non-emergency situations. The vehicle meets local, county or state regulations set forth by the jurisdictions where it is located.","2406 S Main St Santa Ana, Ca 92707-3255",Ana,CA,714-258-1000,-,A White And Yellow Cab Inc.,William Gray - (manager),06/11/2009,06/11/2009,Org
https://npidb.org/organizations/transportation_services/non-emergency-medical-transport-van_343900000x/1992945414.aspx,1st Choice Medical Transportation Inc,"A land vehicle with a capacity to meet special height, clearance, access, and seating, for the conveyance of persons in non-emergency situations. The vehicle may or may not be required to meet local county or state regulations.","8305 N 10th St Fresno, Ca 93720-2251",Fresno,CA,559-408-2095,-,1st Choice Medical Transportation Inc,Akop Semirdzhyan - (c.e.o.),02/23/2009,02/23/2009,Org
https://npidb.org/organizations/transportation_services/non-emergency-medical-transport-van_343900000x/1770823122.aspx,"1st Choice Non-medical Transport Care

						Lbn  Prestigious In Home Care Services","A land vehicle with a capacity to meet special height, clearance, access, and seating, for the conveyance of persons in non-emergency situations. The vehicle may or may not be required to meet local county or state regulations.","314 Sychar Rd San Diego, Ca 92114-4515",Diego,CA,619-207-4234,-,Prestigious In Home Care Services,Celeste Murray - (owner),02/21/2013,02/21/2013,Org
https://npidb.org/organizations/transportation_services/non-emergency-medical-transport-van_343900000x/1417250549.aspx,"1st Class Medical Transportation

						Lbn  1st Class Medical Transportation","A land vehicle with a capacity to meet special height, clearance, access, and seating, for the conveyance of persons in non-emergency situations. The vehicle may or may not be required to meet local county or state regulations.","13007 Victory Blvd North Hollywood, Ca 91606-2925",Hollywood,CA,559-299-7800,-,1st Class Medical Transportation,Hovhannes Harutyunyan - (president/owner),12/11/2010,12/11/2010,Org
https://npidb.org/organizations/transportation_services/non-emergency-medical-transport-van_343900000x/1558750083.aspx,1st Medical Transportation,"A land vehicle with a capacity to meet special height, clearance, access, and seating, for the conveyance of persons in non-emergency situations. The vehicle may or may not be required to meet local county or state regulations.","7946 Bellingrath Dr Elverta, Ca 95626-9726",Elverta,CA,916-595-3501,-,1st Medical Transportation,Ericka Harden - (owmer),01/21/2015,01/21/2015,Org
https://npidb.org/organizations/transportation_services/non-emergency-medical-transport-van_343900000x/1871727685.aspx,"20/20 Non- Emergency Medical Transporation

						Lbn  E & S Carriers Inc.","A land vehicle with a capacity to meet special height, clearance, access, and seating, for the conveyance of persons in non-emergency situations. The vehicle may or may not be required to meet local county or state regulations.","3017 N San Fernando Blvd # A Burbank, Ca 91504-4704",Burbank,CA,818-442-2797,-,E & S Carriers Inc.,Silva Malyan - (president),05/07/2009,05/07/2009,Org
https://npidb.org/organizations/transportation_services/non-emergency-medical-transport-van_343900000x/1366805897.aspx,24/7 Medical Transportation,"A land vehicle with a capacity to meet special height, clearance, access, and seating, for the conveyance of persons in non-emergency situations. The vehicle may or may not be required to meet local county or state regulations.","14752 Crenshaw Blvd Unit 318 Gardena, Ca 90249-3694",Gardena,CA,310-897-9390,-,24/7 Medical Transportation,Parwiz Zamani - (owner),04/01/2016,04/01/2016,Org
