url,Company Name,Description,Address,city,State,Phone,Website,LBN Legal business name,Authorized official,Enumeration date,Last updated,OrganizationOrSole
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1952327751.aspx,"Action Care Ambulance, Inc-E","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","14854 E Hinsdale Ave Suite H Centennial, Co 80112-4058",Centennial,CO,720-870-4705,-,"Action Care Ambulance, Inc",Cynthia Vatter - (executive Director),07/14/2006,08/22/2020,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1154314896.aspx,Adams County Fire Protection District-E,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","8055 N Washington St Denver, Co 80229-5818",Denver,CO,303-539-6800,-,Adams County Fire Protection District,David Baldwin - (ems Chief),08/29/2005,05/08/2014,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1134522329.aspx,"Adams County Fire Rescue

						Lbn Adams County Fire Protection District-E","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","8055 Washington St Denver, Co 80229-5818",Denver,CO,303-539-6800,-,Adams County Fire Protection District,David Baldwin - (ems Chief),10/01/2014,11/12/2014,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1366499113.aspx,"Airlife

						Lbn Hca-healthone Llc-E","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","501 E Hampden Ave Englewood, Co 80113-2702",Englewood,CO,303-788-5000,-,Hca-healthone Llc,Kathryn Ashenfelter - (cfo),05/27/2006,02/17/2011,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1336416320.aspx,All American Ambulance-E,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","18425 Pony Express Dr Unit 205 Parker, Co 80134-9605",Parker,CO,303-993-6796,-,All American Ambulance,Nina Zaslavsky - (president),11/19/2011,11/19/2011,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1407353642.aspx,"Ambulnz

						Lbn Ambulnz Co, Llc-E","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","2420 E Pikes Peak Ave Ste 1001 Colorado Springs, Co 80909",Springs,CO,866-262-8569,-,"Ambulnz Co, Llc",Michael Witkowski - (chief Operating Officer),04/12/2018,08/13/2020,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1780083279.aspx,American Medical Response Hppp Llc-E,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","6200 S Syracuse Way Ste 200 Greenwood Village, Co 80111-4737",Village,CO,303-495-1220,-,American Medical Response Hppp Llc,Edward Van Horne - (president),08/20/2014,08/20/2014,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1205931763.aspx,American Medical Response Of Colorado Inc-E,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","3800 Pearl St Boulder, Co 80301-2428",Boulder,CO,303-413-8690,-,American Medical Response Of Colorado Inc,Eric Thomas - (svp Of Revenue Management),09/13/2006,06/15/2020,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1487604468.aspx,American Medical Response Of Colorado Inc-E,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","2370 N Powers Blvd Colorado Springs, Co 80915-1505",Springs,CO,719-597-1277,-,American Medical Response Of Colorado Inc,Edward Van Horne - (coo),05/11/2006,03/19/2020,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1518062074.aspx,American Medical Response Of Colorado Inc-E,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","922 S Santa Fe Ave Pueblo, Co 81006-1125",Pueblo,CO,719-545-1266,-,American Medical Response Of Colorado Inc,Edward Van Horne - (coo),09/13/2006,03/19/2020,Org
