url,Company Name,Description,Address,city,State,Phone,Status,Website,LBN Legal business name,Authorized official,Enumeration date,Last updated,OrganizationOrSole
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1821311374.aspx,"Acc Medlink Lbn Air Critical Care, Llc","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","25591 Technology Blvd Unit A Punta Gorda, Fl 33950-4701",Gorda,FL,941-639-9119,New,-,"Air Critical Care, Llc",Michaela Peat - (manager),03/11/2010,08/05/2016,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1780008805.aspx,Acute Air Ambulance,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","240 Sw 34th St Fort Lauderdale, Fl 33315",Lauderdale,FL,954-533-1585,New,-,Acute Air Ambulance,Courtney Preston - (director Of Operatio),02/10/2014,02/10/2014,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1386663730.aspx,Advanced Medical Transport Lbn Coastal Care Corporation,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","2150 Se Salerno Rd Ste 108 Stuart, Fl 34997-6572",Stuart,FL,772-223-5925,New,-,Coastal Care Corporation,Robert Lord - (president),07/18/2006,10/03/2019,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1184136210.aspx,Adventhealth Wesley Chapel Lbn Pasco-pinellas Hillsborough Community Health System Inc,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","2600 Bruce B Downs Blvd Wesley Chapel, Fl 33544-9207",Chapel,FL,813-929-5000,Govt,-,Pasco-pinellas Hillsborough Community Health System Inc,Ryan Quattlebaum - (chief Financial Officer),10/30/2017,02/26/2020,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1073584678.aspx,All County Ambulance Inc,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","4227 St. Lucie Blvd. Fort Pierce, Fl 34946-9137",Pierce,FL,772-465-1111,Govt,-,All County Ambulance Inc,Michael Arguelles - (cfo),01/31/2006,06/10/2008,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1144394172.aspx,Ambumed Fl Corp,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","707 E Colonial Dr Ste B Orlando, Fl 32803-4663",Orlando,FL,818-339-2468,New,-,Ambumed Fl Corp,Jacob Tchamanian - (coo),11/20/2006,08/22/2020,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1417006792.aspx,American Aerovac Aircare Lbn American Aerovac Inc,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","5400 South University Drive Suite 407b Davie, Fl 33328-5311",Davie,FL,800-423-5993,New,-,American Aerovac Inc,Richard Keyser - (president),01/09/2007,08/22/2020,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1952304818.aspx,American Ambulance Service (Dade County),"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","6605 Nw 74th Ave Miami, Fl 33166-2819",Miami,FL,305-925-2000,Govt,-,American Ambulance Service (Dade County),Charles Maymon - (vp),05/24/2005,08/22/2020,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1467455485.aspx,"American Ambulance Service, Inc.","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","2570 S Park Rd Hallandale Beach, Fl 33009-3814",Beach,FL,954-925-2000,New,-,"American Ambulance Service, Inc.",Charles Maymon - (vice President),05/23/2005,08/22/2020,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1356391577.aspx,American Medical Response Lbn Altantic Key West Ambulance Inc,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","89990 Overseas Hwy Tavernier, Fl 33070-2122",Tavernier,FL,305-852-8450,New,-,Altantic Key West Ambulance Inc,Edward Van Horne - (president),05/10/2006,09/13/2013,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1205886686.aspx,American Medical Response Lbn Broward Ambulance Inc,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","2500 Nw 29th Mnr Pompano Beach, Fl 33069-1031",Beach,FL,954-229-1300,New,-,Broward Ambulance Inc,Eric Thomas - (svp Of Revenue Management),05/10/2006,06/15/2020,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1598715716.aspx,American Medical Response Lbn Lifefleet Southeast Inc,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","4531 Oak Fair Blvd Tampa, Fl 33610-7357",Tampa,FL,813-885-3955,New,-,Lifefleet Southeast Inc,Eric Thomas - (svp Of Revenue Management),05/10/2006,06/15/2020,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1740577550.aspx,"American Medical Response Lbn Lifefleet Southeast, Inc.","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","305 Main St Auburndale, Fl 33823-4113",Auburndale,FL,813-885-3955,New,-,"Lifefleet Southeast, Inc.",Timothy Dorn - (cfo),06/30/2011,08/22/2019,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1467402883.aspx,American Medical Response Lbn Medi-car Ambulance Service Inc,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","12600 Nw 107th Ave Medley, Fl 33178-3121",Medley,FL,305-718-6400,New,-,Medi-car Ambulance Service Inc,Eric Thomas - (svp Of Revenue Management),05/10/2006,06/15/2020,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1306896790.aspx,American Medical Response Lbn Randle Eastern Ambulance Service Inc,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","12600 Nw 107th Ave Medley, Fl 33178-3121",Medley,FL,305-718-6400,New,-,Randle Eastern Ambulance Service Inc,Eric Thomas - (svp Of Revenue Management),05/10/2006,06/15/2020,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1669789764.aspx,"Americare Medical Transport, Inc","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","11301 E Us Highway 92 Seffner, Fl 33584-3350",Seffner,FL,813-930-0911,New,-,"Americare Medical Transport, Inc",Ronald Mason - (president),09/10/2010,09/10/2010,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1215316948.aspx,"Americas Air Rescue, Llc","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","10108 Sandstone Pond Way Orlando, Fl 32827-6928",Orlando,FL,619-607-7830,Govt,-,"Americas Air Rescue, Llc",Sarah O'donnell - (owner),05/27/2015,05/27/2015,Org
https://npidb.org/organizations/ambulatory_health_care/physical-therapy_261qp2000x/1265604037.aspx,"Aqua Bella Fitness And Rehabilitation Lbn Ambulance Bill Chaser, Inc.","An entity, facility, or distinct part of a facility providing diagnostic and treatment services related to physical rehabilitation. Physical therapy is a dynamic profession with an established theoretical and scientific base and widespread clinical applications in the restoration, maintenance, and promotion of optimal physical function. Physical therapists and physical therapist assistants are licensed health care professionals who are experts in the movement system and help individuals maintain, restore, and improve movement, activity, and functioning, thereby enabling optimal performance and enhancing health, well-being, and quality of life. Their services prevent, minimize, or eliminate impairments of body functions and structures, activity limitations, and participation restrictions. Physical therapy is provided for individuals of all ages who have or may develop impairments, activity limitations, and participation restrictions related to (1) conditions of the musculoskeletal, neuromuscular, cardiovascular, pulmonary, and/or integumentary systems or (2) the negative effects attributable to unique personal and environmental factors as they relate to human performance.","5900 Berryhill Rd Milton, Fl 32570-8294",Milton,FL,850-626-2627,New,-,"Ambulance Bill Chaser, Inc.",Joseph Scialdone - (president),04/01/2008,07/31/2012,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1033168976.aspx,Atlantic Palm Beach Ambulance Inc,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","1105 Barnett Dr Suite D Lake Worth, Fl 33461-2603",Worth,FL,561-533-5633,New,-,Atlantic Palm Beach Ambulance Inc,Eric Thomas - (svp Of Revenue Management),05/08/2006,06/15/2020,Org
