url,Company Name,Description,Address,city,State,Phone,Status,Website,LBN Legal business name,Authorized official,Enumeration date,Last updated,OrganizationOrSole
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1598309817.aspx,"1st Choice Ambulance Service, Llc","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","185 Bradford Sq Ste C Fayetteville, Ga 30215-1932",Fayetteville,GA,770-780-5532,New,-,"1st Choice Ambulance Service, Llc",Desmond Newkirk - (manager),10/30/2019,10/30/2019,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1114491438.aspx,1st Responders 2 Ems,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","155 Westridge Pkwy Ste 113 Mcdonough, Ga 30253-3050",Mcdonough,GA,678-782-3032,New,-,1st Responders 2 Ems,Hanz Fequiere - (ceo),01/21/2019,01/21/2019,Org
https://npidb.org/organizations/transportation_services/secured-medical-transport-van_343800000x/1124239645.aspx,Above All Transportation Lbn Simnet Of Ga Inc,"A public or privately owned transportation service with vehicles, specially equipped to provide enhanced safety, security and passenger restraint, and staffed by one or more individuals trained to work with patients in crisis situations resulting from mental or emotional illness and/or substance abuse.","1105 N Main St Nw Ste A Conyers, Ga 30012-4352",Conyers,GA,770-483-1822,New,-,Simnet Of Ga Inc,Virgil Claritt - (ceo),05/25/2007,08/22/2020,Org
https://npidb.org/organizations/transportation_services/land-transport_3416l0300x/1346744943.aspx,"Ace Medical Transport, Llc. Lbn Ace Medical Transport Llc.",-,"728 Gay Dr Macon, Ga 31210",Macon,GA,478-718-2209,New,-,Ace Medical Transport Llc.,Ace Morrissey - (owner/ Operator),03/20/2018,09/17/2018,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1124474150.aspx,Act Medical Alert Services Llc,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","7199 Maddox Rd Ste D Lithonia, Ga 30058-5361",Lithonia,GA,404-545-9883,New,-,Act Medical Alert Services Llc,Caleb Anthony - (owner),05/09/2016,05/09/2016,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1326408071.aspx,Advance 1 Ambulance Llc,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","315 Industrial Way A Fayetteville, Ga 30215-8265",Fayetteville,GA,770-771-1595,New,-,Advance 1 Ambulance Llc,Osama Hamdan - (owner),02/23/2016,02/23/2016,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1194890798.aspx,"Advanced Ambulance Service, Inc","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","106 Colony Park Dr Ste 200 Cumming, Ga 30040-2765",Cumming,GA,770-844-4444,New,-,"Advanced Ambulance Service, Inc",J. Owen - (vp/general Manager),11/21/2006,12/18/2012,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1497298905.aspx,A&j Billing Llc,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","28 Industrial Blvd Suite 102 Cleveland, Ga 30528-6761",Cleveland,GA,770-710-2278,New,-,A&j Billing Llc,Randall Harris - (owner),12/01/2016,12/01/2016,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1225546096.aspx,Amazing Grace Ems Corporation,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","2889 Line St Austell, Ga 30106-3902",Austell,GA,678-218-7290,New,-,Amazing Grace Ems Corporation,Adebusola Adejokun - (ceo),01/16/2018,02/11/2019,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1629576442.aspx,Amazing Grace Medical Transportation,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","519 Mount Pleasant Rd Thomson, Ga 30824-8140",Thomson,GA,770-316-7189,New,-,Amazing Grace Medical Transportation,Lisa Charleston - (cfo),01/26/2018,01/26/2018,Org
