url,Company Name,Description,Address,city,State,Phone,Status,Website,LBN Legal business name,Authorized official,Enumeration date,Last updated,OrganizationOrSole
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1790064517.aspx,"Acute Rescue And Transport, Inc","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","1104 W Dundee St Boise, Id 83706-4118",Boise,ID,208-965-8072,Govt,-,"Acute Rescue And Transport, Inc",Wesley Anderson - (president),08/10/2011,08/10/2011,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1740251925.aspx,Ada-boi Critical Care Transport Service Lbn Ada Boi Inc,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","7701 W Mossy Cup St Boise, Id 83709-2844",Boise,ID,208-362-2973,New,-,Ada Boi Inc,Kathie Fogg - (office Manager),01/27/2006,05/20/2008,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1447311139.aspx,Bear Lake County Ambulance Service Lbn Bear Lake County,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","385 Cemetary Road Montpelier, Id 83254",Montpelier,ID,208-847-2247,Govt,-,Bear Lake County,Kerry Haddock - (county Clerk),12/13/2006,01/12/2012,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1891876348.aspx,Benewah County Ambulance Or Upriver Ambulance Lbn County Of Benewah,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","64361 Highway 3 South Fernwood, Id 83830",Fernwood,ID,208-245-2555,Govt,-,County Of Benewah,Gisella Quigley - (unit President),10/18/2006,08/22/2020,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1316003379.aspx,Boise County,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","Boise County Office 420 Main Street Idaho City, Id 83631",City,ID,208-392-4431,Govt,-,Boise County,Jill Browning - (deputy Clerk Ebcad Accounts Receiva),12/27/2006,10/24/2012,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1932151321.aspx,Bonner County Ems,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","521 N 3rd Ave Sandpoint, Id 83864-1506",Sandpoint,ID,208-255-2194,Govt,-,Bonner County Ems,Robert Wakeley - (chief),05/16/2006,02/02/2011,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1801920251.aspx,Boundary Volunteer Ambulance Service Inc.,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","6447 Railroad Street Bonners Ferry, Id 83805-6447",Ferry,ID,208-267-2604,Govt,-,Boundary Volunteer Ambulance Service Inc.,Kenneth Baker - (chief),03/16/2007,11/08/2018,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1104978535.aspx,Cambrige Volunteer Ambulance Lbn Cambridge Volunteer Fire Dept Inc,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","30 Superior St. Cambridge, Id 83610",Cambridge,ID,208-257-3763,Govt,-,Cambridge Volunteer Fire Dept Inc,Kristen Jaeger - (secretary),01/17/2007,01/25/2018,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1114926151.aspx,Canyon County Ambulance District,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","6116 Graye Lane Caldwell, Id 83607-8072",Caldwell,ID,208-795-6920,Govt,-,Canyon County Ambulance District,Greg Owen - (director),07/20/2005,12/18/2012,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1336238211.aspx,City Of St. Maries,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","602 W College Ave Saint Maries, Id 83861-1822",Maries,ID,208-245-2577,Govt,-,City Of St. Maries,Kristin Compton - (director),10/11/2006,12/31/2018,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1629117429.aspx,Community Ambulance Service Inc,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","124 W Brown Kellogg, Id 83837",Kellogg,ID,208-786-5434,Govt,-,Community Ambulance Service Inc,Robert Larsen - (president),02/06/2007,08/22/2020,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1861558868.aspx,Council Valley Ambulance,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","106 Industrial Avenue Po Box 390 Council, Id 83612",Council,ID,208-253-6123,New,-,Council Valley Ambulance,Dan Huter - (president),12/28/2006,08/22/2020,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1255425286.aspx,County Of Washington Lbn Weiser Ambulance District,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","435 E. Park St. Weiser, Id 83672-2265",Weiser,ID,208-414-4257,Govt,-,Weiser Ambulance District,Greg Owen - (director),10/03/2006,10/26/2009,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1053801035.aspx,East Boise County Ambulance District,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","204 W. Commercial St Idaho City, Id 83631",City,ID,208-392-6644,Govt,-,East Boise County Ambulance District,Angela Dill - (director Of Opertions),05/15/2018,05/15/2018,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1528261849.aspx,"Eastern Idaho Regional Medical Center Lbn Eastern Idaho Health Services, Inc.","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","3100 Channing Way Idaho Falls, Id 83404-7533",Falls,ID,208-529-6111,New,-,"Eastern Idaho Health Services, Inc.",Jeffrey Baiocco - (cfo),06/06/2007,06/11/2010,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1790810661.aspx,"Fort Hall Fire & Ems District Lbn Shoshone Bannock Tribes, Inc.","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","700 Widowville Road Fort Hall, Id 83203-0306",Hall,ID,208-478-3786,Govt,-,"Shoshone Bannock Tribes, Inc.",Val Navo - (fire Chief),02/22/2007,06/02/2009,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1578568473.aspx,Franklin County Ambulance Lbn County Of Franklin,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","55 W 100 S Preston, Id 83263-1202",Preston,ID,208-852-3764,Govt,-,County Of Franklin,Mark Gilbert - (administrator),06/16/2005,11/23/2011,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1255802047.aspx,"Front Line Ems, Llc","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","2426 American Legion Blvd Mountain Home, Id 83647-3146",Home,ID,208-580-4269,New,-,"Front Line Ems, Llc",Richard Bull - (owner),12/06/2018,12/06/2018,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1861741282.aspx,Gateway Fire Ambulance Service Lbn Plummer Gateway Fire Protection,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","609 Poleyard Rd Plummer, Id 83851",Plummer,ID,208-686-1313,Govt,-,Plummer Gateway Fire Protection,Michael Meagher - (fire Chief),08/30/2012,09/21/2012,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1962530105.aspx,Genesee Community Firemen Inc.,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","132 E. Walnut Genesee, Id 83832",Genesee,ID,208-285-1762,Govt,-,Genesee Community Firemen Inc.,William Krick - (chief),03/01/2007,06/04/2018,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1184767774.aspx,Harrison Community Ambulance,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","101 S Frederick Harrison, Id 83833",Harrison,ID,208-689-9103,Govt,-,Harrison Community Ambulance,Vicki Vedder - (office Manager),02/14/2007,08/22/2020,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1265682694.aspx,Idaho Medical Transport,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","1924 E Preakness Ave Coeur D'alene, Id 83815-9428",D'alene,ID,208-777-7719,New,-,Idaho Medical Transport,Marshel Pruiett - (managing Member),09/23/2008,09/23/2008,Org
