url,Company Name,Description,Address,city,State,Phone,Status,Website,LBN Legal business name,Authorized official,Enumeration date,Last updated,OrganizationOrSole
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1073536421.aspx,"1st Response Ems, Inc","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","2445 S Rockwell St Chicago, Il 60608-4708",Chicago,IL,773-247-2955,New,-,"1st Response Ems, Inc",Kevin Fourte - (president),7/26/06,4/20/08,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1417021411.aspx,1st Response Ems Inc.,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","2021 S Wabash Ave Chicago, Il 60616-1708",Chicago,IL,773-392-2901,New,-,1st Response Ems Inc.,Kevin Fourte - (owner),11/20/06,5/1/12,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1023328325.aspx,"A & A Transportation

						Lbn A & A Ambulance Transport","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","15509 Dobson Ave Dolton, Il 60419-2708",Dolton,IL,708-849-6061,New,-,A & A Ambulance Transport,Aleesha Humphrey Dunn - (owner),10/20/10,10/20/10,Org
https://npidb.org/organizations/transportation_services/land-transport_3416l0300x/1164572855.aspx,"Abbott Ems

						Lbn Mission Care Of Illinois Llc",-,"4400 N Belt W Belleville, Il 62226-5280",Belleville,IL,217-329-1808,New,-,Mission Care Of Illinois Llc,Edward Van Horne - (coo),1/12/07,4/15/20,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1619499878.aspx,"Abbott Ems

						Lbn Mission Care Of Illinois Llc","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","812 N 3rd St Effingham, Il 62401-3130",Effingham,IL,217-329-1808,New,-,Mission Care Of Illinois Llc,Eric Thomas - (svp Of Revenue Management),7/10/17,6/15/20,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1548526932.aspx,"Abbott Ems

						Lbn Missioncare Of Illinois, Llc","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","301 East Park Street Benton, Il 62812-0000",Benton,IL,217-329-1808,New,-,"Missioncare Of Illinois, Llc",Edward Van Horne - (coo),4/10/12,4/15/20,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1427118900.aspx,"Advance Ems Of Dixon, Inc.","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","661 Reynoldswood Rd Dixon, Il 61021-9255",Dixon,IL,815-288-6717,New,-,"Advance Ems Of Dixon, Inc.",Kevin Rogers - (ceo),12/12/06,10/19/15,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1538726484.aspx,Advanced Medical Transport Of Springfield Inc,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","1600 Taylor Ave Springfield, Il 62703-5662",Springfield,IL,309-494-6206,New,-,Advanced Medical Transport Of Springfield Inc,Andrew Rand - (ceo),5/28/19,5/28/19,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1386733913.aspx,Alexis North Henderson Ambulance Service,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","106 E Palmer Ave Alexis, Il 61412-5152",Alexis,IL,309-482-6128,New,-,Alexis North Henderson Ambulance Service,Anne Switzer - (president),10/12/06,5/3/12,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1891293288.aspx,"Alhambra Hamel Service Fund

						Lbn Hamel Fire Protection District","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","401 N Old Us Route 66 Hamel, Il 62046-1071",Hamel,IL,618-633-2600,Govt,-,Hamel Fire Protection District,Paul Stroud - (ems Director),1/31/18,6/16/18,Org
