url,Company Name,Description,Address,city,State,Phone,Status,Website,LBN Legal business name,Authorized official,Enumeration date,Last updated,OrganizationOrSole
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1043338999.aspx,Aboite Township Fire Dept In,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","11321 Aboite Center Rd Fort Wayne, In 46814",Wayne,IN,260-432-0970,Govt,-,Aboite Township Fire Dept In,Barbara Krisher - (aboite Township Trustee),03/27/2007,04/23/2008,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1770765281.aspx,"Accel Ems Lbn Marketplace Financial, Incorporated","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","1309 E Mckinley Ave Mishawaka, In 46545-4219",Mishawaka,IN,574-249-0734,New,-,"Marketplace Financial, Incorporated",Shawn Duhnovsky - (general Manager),11/27/2007,05/29/2013,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1649540311.aspx,Adams Markleville Fire Protection Territory Lbn Town Of Markleville,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","7457 S 200 E Markleville, In 46056-9650",Markleville,IN,765-533-4373,Govt,-,Town Of Markleville,Aaron Hopkins - (fire Chief),01/11/2012,01/11/2012,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1265628374.aspx,Adams Township Of Madison County,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","7457 S 200 East Merrillville, In 46056-9650",Merrillville,IN,765-533-2240,Govt,-,Adams Township Of Madison County,Denise Mccurdy - (emt-b/secretary),09/21/2007,11/17/2015,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1215207824.aspx,Advancevolunteer Fire Department Inc,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","106 E Wall St Advance, In 46102-9407",Advance,IN,317-403-5639,Govt,-,Advancevolunteer Fire Department Inc,David Cook - (ems Assistant Chief),01/12/2012,01/07/2014,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1376648873.aspx,"Albany Emergency Medical Service, Inc","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","500 E. State St. Albany, In 47320",Albany,IN,765-789-4493,New,-,"Albany Emergency Medical Service, Inc",Larry Swhier - (director),09/13/2006,08/01/2019,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1124323407.aspx,Alliance Ems Lbn Transport Loving Care Inc.,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","917 N Us Highway 35 Winamac, In 46996-8001",Winamac,IN,574-946-3228,New,-,Transport Loving Care Inc.,Jacqueline Podell - (operations Manager),01/19/2011,01/19/2011,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1871546713.aspx,Americare Ambulance Service Lbn Americare Ambulance Service Llc,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","1116 S Leeds St Kokomo, In 46902-6226",Kokomo,IN,765-434-5155,New,-,Americare Ambulance Service Llc,Bradley Ott - (owner),05/19/2006,12/13/2012,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1851537757.aspx,Americare Ambulance Service Lbn Americare Ambulance Service Of Indianapolis Llc,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","8001 East 196th Street Noblesville, In 46062-9091",Noblesville,IN,317-770-1100,New,-,Americare Ambulance Service Of Indianapolis Llc,Bradley Ott - (owner),12/23/2008,12/13/2012,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1558572941.aspx,"Americare Ambulance Service Lbn Americare Ambulance Service Of Lafayette, Llc","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","3535 Crouch St Ste A Lafayette, In 47905-0741",Lafayette,IN,765-449-7100,New,-,"Americare Ambulance Service Of Lafayette, Llc",Bradley Ott - (owner),05/25/2007,12/13/2012,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1245538867.aspx,Americare Ambulance Service Of Indiana Llc,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","8001 E 196th St Noblesville, In 46062-9091",Noblesville,IN,317-770-1100,New,-,Americare Ambulance Service Of Indiana Llc,Bradley Ott - (ceo/owner),03/07/2011,12/13/2012,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1033393285.aspx,Americare Ambulance Service Of Muncie Lbn Americare Ambulance Service Of Bradley A Ott Mbr,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","4651 W Woods Edge Ln Suite # 4 Muncie, In 47304-6088",Muncie,IN,765-863-9115,New,-,Americare Ambulance Service Of Bradley A Ott Mbr,Bradley Ott - (owner),12/24/2007,12/13/2012,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1992145072.aspx,Amity Community Volunteer Fire Department Incorporated,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","3274 S 550 E Franklin, In 46131-8137",Franklin,IN,317-738-3452,Govt,-,Amity Community Volunteer Fire Department Incorporated,Jackie Brockman - (fire Chief),07/03/2013,08/01/2019,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1629195227.aspx,Amo Volunteer Fire Dept Inc,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","4543 W County Road 500 S Amo, In 46103-7711",Amo,IN,317-539-4262,Govt,-,Amo Volunteer Fire Dept Inc,Dustin Strahl - (fire Chief),03/26/2007,08/01/2019,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1306243027.aspx,Around The Clock Transportation,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","3979 Cleveland St Gary, In 46408",Gary,IN,219-879-1039,New,-,Around The Clock Transportation,Shirley Gaines - (ceo),11/24/2014,06/21/2018,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1801125612.aspx,Bargersville Community Fire Protection District,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","89 S Baldwin St Bargersville, In 46106-9089",Bargersville,IN,317-422-5187,Govt,-,Bargersville Community Fire Protection District,James White - (fire Chief),12/08/2009,12/08/2009,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1548599442.aspx,Beech Grove Fire Department,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","330 Churchman Ave Beech Grove, In 46107-2006",Grove,IN,317-782-4940,Govt,-,Beech Grove Fire Department,James Pierce - (chief),12/24/2009,12/24/2009,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1558443564.aspx,Beech Grove Fire Department Lbn City Of Beech Grove,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","330 Churchman Ave Beech Grove, In 46107-2006",Grove,IN,317-808-5603,Govt,-,City Of Beech Grove,Robert Cheshire - (fire Chief),10/19/2006,10/17/2017,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1922143239.aspx,Benton County Emergency Ambulance Service Lbn Benton County Government,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","604 E 2nd St Suite C Fowler, In 47944",Fowler,IN,765-884-2002,Govt,-,Benton County Government,Jason Fisher - (ems Director),02/21/2007,12/18/2012,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1275862914.aspx,Bloomington Fire Department,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","300 E 4th St Bloomington, In 47408-3505",Bloomington,IN,812-332-9763,Govt,-,Bloomington Fire Department,Gregory Easton - (deputy Chief Of Administration),12/09/2009,12/09/2009,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1205165032.aspx,Bloomington Township Department Of Fire And Emergency Services,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","5081 N Old State Road 37 Bloomington, In 47408-9240",Bloomington,IN,812-339-1115,Govt,-,Bloomington Township Department Of Fire And Emergency Services,Faron Livingston - (chief),12/07/2009,12/07/2009,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1124115613.aspx,Bourbon Community Ems Lbn Town Of Bourbon,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","104 E Park Ave Bourbon, In 46504-1528",Bourbon,IN,574-342-4755,Govt,-,Town Of Bourbon,Kimberly Berger - (clerk-treasurer),10/06/2006,08/22/2020,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1649227364.aspx,Buck Creek Township Hancock County,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","5809 W Airport Blvd Greenfield, In 46140-9654",Greenfield,IN,317-335-1405,Govt,-,Buck Creek Township Hancock County,Melvin Branson - (trustee),05/28/2006,05/21/2013,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1982696977.aspx,Care Ambulance Service Llc,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","1202 W 16th Street Indianapolis, In 46202",Indianapolis,IN,502-214-7359,New,-,Care Ambulance Service Llc,Nancy Rhodes - (controller),08/17/2005,10/30/2015,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1225254311.aspx,Carroll County Ems Lbn Carroll County Auditor,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","908 W Columbia St Flora, In 46929-9219",Flora,IN,574-967-4161,Govt,-,Carroll County Auditor,Charlene Monihan - (billing Specialist),04/17/2007,08/23/2007,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1386642288.aspx,Carthage Volunteer Fire Department Of Rush County Inc,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","208 S Main St Carthage, In 46115-9629",Carthage,IN,765-565-1234,Govt,-,Carthage Volunteer Fire Department Of Rush County Inc,Boyd Duncan - (chief),07/13/2005,04/05/2013,Org
