url,Company Name,Description,Address,city,State,Phone,Status,Website,LBN Legal business name,Authorized official,Enumeration date,Last updated,OrganizationOrSole
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1750322988.aspx,Allen County Ems Lbn County Of Allen,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","1 N Washington Ave Iola, Ks 66749-2835",Iola,KS,620-365-1432,Govt,-,County Of Allen,Terry Call - (business Office Director),06/09/2006,10/02/2013,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1104830850.aspx,American Medical Response Lbn Medevac Midamerica Inc,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","401 Sw Jackson St Topeka, Ks 66603-3327",Topeka,KS,785-233-2400,New,-,Medevac Midamerica Inc,Eric Thomas - (svp Of Revenue Management),07/28/2006,06/15/2020,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1306871215.aspx,American Medical Response Lbn Medevac Midamerica Inc,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","1902 Foxridge Dr Kansas City, Ks 66106-4710",City,KS,913-227-0911,New,-,Medevac Midamerica Inc,Edward Van Horne - (ceo & President),07/11/2006,03/19/2020,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1578762308.aspx,American Medical Response Lbn Medevac Midamerica Inc,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","209 E 9th St Pleasanton, Ks 66075-8339",Pleasanton,KS,785-352-6995,New,-,Medevac Midamerica Inc,Edward Van Horne - (ceo & President),07/12/2007,03/19/2020,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1871528901.aspx,Anderson County Hospital Lbn Saint Lukes Hospital Of Garnett Inc,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","421 S Maple St Garnett, Ks 66032-1334",Garnett,KS,785-448-3131,Govt,-,Saint Lukes Hospital Of Garnett Inc,Steven Schieber - (chief Executive Officer),07/11/2006,08/01/2019,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1053880005.aspx,Bourbon County Ems Lbn County Of Bourbon,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","1604 S National Ave Fort Scott, Ks 66701-2645",Scott,KS,620-223-2140,Govt,-,County Of Bourbon,Lynne Oharah - (county Commissioner),11/20/2018,11/28/2018,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1265509566.aspx,Buhler Ems,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","301 N. Main Buhler, Ks 67522",Buhler,KS,620-543-2168,New,-,Buhler Ems,Kari Banning - (director),11/29/2006,03/02/2010,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1942390638.aspx,Cherokee County Ambulance Association Inc.,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","800 W Powrachute Way Columbus, Ks 66725-9701",Columbus,KS,620-429-3018,Govt,-,Cherokee County Ambulance Association Inc.,Douglas Mogle - (service Director),10/13/2006,01/04/2010,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1437267523.aspx,City Of Axtell Ambulance Lbn City Of Axtell,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","306 Maple St P.o. Box A Axtell, Ks 66403-9717",Axtell,KS,785-736-2834,Govt,-,City Of Axtell,Jane Buessing - (city Clerk),08/28/2006,09/14/2011,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1538244066.aspx,City Of Burdett Ems Lbn City Of Burdett,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","209 Elm Burdett, Ks 67523",Burdett,KS,620-960-2716,Govt,-,City Of Burdett,Daniel Skinner - (director),10/25/2006,08/22/2013,Org
