url,Company Name,Description,Address,city,State,Phone,Status,Website,LBN Legal business name,Authorized official,Enumeration date,Last updated,OrganizationOrSole
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1902901804.aspx,Action Ambulance Service Inc,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","844 Woburn St Rear Wilmington, Ma 01887-3413",Wilmington,MA,978-253-2634,New,-,Action Ambulance Service Inc,"Donna Nowak - (manager, Patient Accounts)",09/14/2006,01/10/2020,Org
https://npidb.org/organizations/transportation_services/land-transport_3416l0300x/1366482606.aspx,Agawam Fire Department Lbn Town Of Agawam,-,"800 Main St Agawam Ambulance Service Agawam, Ma 01001-2576",Agawam,MA,413-786-2662,Govt,-,Town Of Agawam,Alan Sirois - (chief),06/07/2006,12/19/2019,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1639172596.aspx,Allied Ambulance Service Inc,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","308 Main St Medford, Ma 02155-6160",Medford,MA,781-498-9400,New,-,Allied Ambulance Service Inc,Gregory Quill - (president),05/24/2005,08/22/2020,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1619911971.aspx,Amr Lbn American Medical Response Of Massachusetts Inc,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","595 Cottage St Springfield, Ma 01104-3220",Springfield,MA,413-846-6100,New,-,American Medical Response Of Massachusetts Inc,Eric Thomas - (svp Of Revenue Management),06/16/2006,06/15/2020,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1174513501.aspx,Armstrong Ambulance Service,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","87 Mystic St. Arlington, Ma 02474",Arlington,MA,781-648-0612,New,-,Armstrong Ambulance Service,Gale Armstrong Brady - (cfo),10/26/2005,11/11/2010,Org
https://npidb.org/organizations/transportation_services/land-transport_3416l0300x/1275535643.aspx,Auburn Fire/rescue Lbn Town Of Auburn,-,"47 Auburn St Auburn, Ma 01501-2417",Auburn,MA,508-832-7800,Govt,-,Town Of Auburn,Stephen Coleman - (chief),08/15/2005,08/21/2019,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1700915923.aspx,Avon Fire Department Lbn Town Of Avon,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","150 Main St Avon, Ma 02322-1408",Avon,MA,508-583-5361,Govt,-,Town Of Avon,Robert Spurr - (fire Chief),03/05/2007,07/11/2007,Org
https://npidb.org/organizations/transportation_services/land-transport_3416l0300x/1306839410.aspx,Becket Ambulance Department Lbn Town Of Becket,-,"629 Jacobs Ladder Rd Becket, Ma 01223-3470",Becket,MA,413-623-5027,Govt,-,Town Of Becket,Ray Ferrin - (ems Director),08/24/2005,03/08/2019,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1124342282.aspx,Boston Emergency Medical Services Lbn Boston Public Health Commission,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","785 Albany St Boston, Ma 02118-2521",Boston,MA,617-343-2367,New,-,Boston Public Health Commission,Monica Valdes Lupi - (executive Director),03/18/2010,05/01/2018,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1760707582.aspx,Brewster Ambulance Service Inc.,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","25 Main St Weymouth, Ma 02188-2808",Weymouth,MA,617-983-4063,New,-,Brewster Ambulance Service Inc.,Mark Brewster - (president),04/05/2010,05/08/2020,Org
