url,Company Name,Description,Address,city,State,Phone,Status,Website,LBN Legal business name,Authorized official,Enumeration date,Last updated,OrganizationOrSole
url,Company Name,Description,Address,city,State,Phone,Status,Website,LBN Legal business name,Authorized official,Enumeration date,Last updated,OrganizationOrSole
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1487080511.aspx,Absolute Care Medical Transport Inc.,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","804 Saint John Millennium Rd Aulander, Nc 27805-9701",Aulander,NC,252-642-7093,New,-,Absolute Care Medical Transport Inc.,Janice Goodman - (owner/operator),09/20/2013,09/20/2013,Org
https://npidb.org/organizations/transportation_services/land-transport_3416l0300x/1245875806.aspx,"Ahoskie Ambulance Service Lbn Willem, Llc",-,"119 Railroad St N Ahoskie, Nc 27910-3040",Ahoskie,NC,252-332-2002,New,-,"Willem, Llc",Allison Slade - (vice President),11/07/2019,01/27/2020,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1952406779.aspx,Alamance County Emergency Medical Service Lbn Alamance County Govt,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","296 E Crescent Square Dr Graham, Nc 27253-0027",Graham,NC,336-570-6796,Govt,-,Alamance County Govt,Raymond Vipperman - (director),09/14/2006,02/28/2018,Org
https://npidb.org/organizations/managed_care/preferred-provider-organization_305r00000x/1740586908.aspx,All In One Day Courier Services Lbn All In One Day Courier Services,"A group of physicians and/or hospitals who contract with an employer to provide services to their employees. In a PPO, the patient may got to the physician of his/her choice, even if that physician does not participate in the PPO, but the patient receives care at a lower benefit level.","312 Fairground Rd East Bend, Nc 27018-7898",Bend,NC,336-473-6145,New,-,All In One Day Courier Services,Napoleon & Blanche Vance - (general Partners),02/07/2011,02/07/2011,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1336353317.aspx,Alleghany County Ems Lbn Alleghany County Board Of Commissioners,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","40 Cox Street Sparta, Nc 28675-0806",Sparta,NC,336-372-2187,Govt,-,Alleghany County Board Of Commissioners,Linda Edwards - (ems Administrative Director),05/09/2007,06/14/2016,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1487601159.aspx,"Ambumed Nc,inc.","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","1205 Executive Dr Kinston, Nc 28501-1866",Kinston,NC,252-522-0273,New,-,"Ambumed Nc,inc.",Avetis Avesyan - (ceo),05/28/2006,08/22/2020,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1124077789.aspx,American Medical Response Of North Carolina Inc,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","2507 E Elizabethtown Rd Lumberton, Nc 28358-3225",Lumberton,NC,910-739-4848,New,-,American Medical Response Of North Carolina Inc,Edward Van Horne - (president),05/09/2006,09/09/2013,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1801884242.aspx,Anson Rescue Squad Inc,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","208 E Morgan St Wadesboro, Nc 28170-2223",Wadesboro,NC,704-694-4090,Govt,-,Anson Rescue Squad Inc,Mary Gentile - (authorized Agent),10/10/2005,11/15/2011,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1700876810.aspx,"Apex Emergency Medical Service, Inc.","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","315 W Williams St Apex, Nc 27502-1834",Apex,NC,919-363-1577,New,-,"Apex Emergency Medical Service, Inc.",Gregory Winstead - (cheif),10/28/2005,03/30/2010,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1104142140.aspx,Apex Fire & Ems Lbn Town Of Apex,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","315 W. Williams Street Apex, Nc 27502-1834",Apex,NC,919-363-1577,Govt,-,Town Of Apex,Nikki Winstead - (chief),04/15/2010,04/15/2010,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1881705051.aspx,Arc'angel Trans'support Service Lbn Odin Corp.,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","1532 Haywood Rd Hendersonville, Nc 28791-2338",Hendersonville,NC,828-696-0533,New,-,Odin Corp.,Aaron Edney - (president),08/31/2006,04/01/2011,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1386635993.aspx,"Ash-rand Rescue Squad Lbn Ash-rand Rescue Squad And Emergency Medical Services, Inc.","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","805 S Cox St Asheboro, Nc 27203-6463",Asheboro,NC,336-625-3354,Govt,-,"Ash-rand Rescue Squad And Emergency Medical Services, Inc.",Larry Pugh - (executive Director),11/02/2005,09/20/2011,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1902091945.aspx,"Atlas Medical Transport Lbn Atlas Transportation, Inc","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","3140-i Moseley Dr. Greenville, Nc 27858",Greenville,NC,252-561-7600,New,-,"Atlas Transportation, Inc",Terry Campbell - (vice President),09/12/2007,09/12/2007,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1093969198.aspx,"Aurora Rescue Squad, Inc.","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","99 Nc Hwy. 33 E. Aurora, Nc 27806-0277",Aurora,NC,252-322-4213,Govt,-,"Aurora Rescue Squad, Inc.",Samuel Williams - (captain),11/17/2008,02/02/2011,Org
https://npidb.org/doctors/transportation_services/bus_347b00000x/1023490109.aspx,Lacemond Banksbus,"Profile for LACEMOND BANKS in WILSON, NC.
					A public or private organization or business licensed to provide bus services.","2501 Airport Blvd Nw Wilson, Nc 27896-9673",Wilson,NC,252-674-1812,New,-,-,s-Lacemond Banksbus-Active,06/24/2015,06/24/2015,Sole
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1255780136.aspx,Beaufort County Ems Lbn County Of Beaufort,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","1420 Highland Drive Washington, Nc 27889",Washington,NC,252-940-6519,Govt,-,County Of Beaufort,Anita Radcliffe - (cfo),06/10/2016,05/20/2020,Org
