url,Company Name,Description,Address,city,State,Phone,Status,Website,LBN Legal business name,Authorized official,Enumeration date,Last updated,OrganizationOrSole
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1235232562.aspx,American Medical Response Lbn Mercy Inc,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","7201 W Post Rd Las Vegas, Nv 89113-6610",Vegas,NV,702-671-5900,New,-,Mercy Inc,Edward Van Horne - (coo),09/05/2006,03/30/2020,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1427126317.aspx,Carlin Ambulance Lbn City Of Carlin,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","121 Hamilton Street Carlin, Nv 89822",Carlin,NV,775-754-6969,Govt,-,City Of Carlin,William Johnston - (fire Chief),12/01/2006,07/11/2008,Org
https://npidb.org/organizations/transportation_services/land-transport_3416l0300x/1326125055.aspx,Carson City Fire Department Lbn Carson City Finance Department,-,"777 S Stewart St Carson City, Nv 89701-5218",City,NV,775-887-2210,Govt,-,Carson City Finance Department,David Aurand - (business Manager),11/01/2006,12/17/2019,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1912084658.aspx,Central Lyon County Fire Protection District,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","231 Corral Dr Dayton, Nv 89403-7341",Dayton,NV,775-246-6209,Govt,-,Central Lyon County Fire Protection District,John Gillenwater - (fire Chief),11/01/2006,08/09/2013,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1134457971.aspx,City Of Elko Lbn City Of Elko Municipal Water Works,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","911 W Idaho St Elko, Nv 89801-4754",Elko,NV,775-777-7345,Govt,-,City Of Elko Municipal Water Works,Curtis Calder - (city Manager),12/04/2009,12/18/2009,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1144545419.aspx,City Of Ely Fire Department Lbn City Of Ely,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","1780 Great Basin Blvd Ely, Nv 89301-3138",Ely,NV,775-289-6633,Govt,-,City Of Ely,Ross Rivera - (fire Chief),03/30/2010,01/07/2013,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1336290964.aspx,City Of Las Vegas Ems Lbn City Of Las Vegas,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","500 N Casino Center Blvd Las Vegas, Nv 89101-2944",Vegas,NV,702-229-0305,Govt,-,City Of Las Vegas,William Mcdonald - (fire Chief),01/12/2007,05/16/2018,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1649337643.aspx,City Of Mesquite,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","10 E Mesquite Blvd. Mesquite, Nv 89027-4706",Mesquite,NV,702-346-2690,Govt,-,City Of Mesquite,Marsha Black - (manager Rep.),01/02/2007,02/23/2010,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1881915155.aspx,Community Ambulance Lbn Rbr Management Llc,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","91 Corporate Park Dr Suite 120 Henderson, Nv 89074-8713",Henderson,NV,702-438-9100,Govt,-,Rbr Management Llc,Robert Richardson - (ceo),06/21/2010,09/04/2014,Org
https://npidb.org/organizations/transportation_services/land-transport_3416l0300x/1437128741.aspx,County Of Storey,-,"145 North C Street Virginia City, Nv 89440",City,NV,775-847-0954,Govt,-,County Of Storey,Jeffrey Nevin - (fire Chief),03/17/2006,08/23/2018,Org
