url,Company Name,Description,Address,city,State,Phone,Status,Website,LBN Legal business name,Authorized official,Enumeration date,Last updated,OrganizationOrSole
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1760431431.aspx,"Access Ems Lbn Access Ems, Llc","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","2 Whitney Rd 2 Concord, Nh 03301-1831",Concord,NH,603-753-0085,New,-,"Access Ems, Llc",Patrick Twomey - (owner),05/09/2006,08/22/2020,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1417158155.aspx,Alstead Ambulance Lbn Town Of Alstead,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","9 Main St Alstead, Nh 03602",Alstead,NH,603-835-2986,Govt,-,Town Of Alstead,Linda Christie - (administrative Assistant),05/30/2007,06/12/2008,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1689606592.aspx,American Medical Response Lbn American Medical Response Of Massachusetts Inc,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","438 High St Somersworth, Nh 03878-1011",Somersworth,NH,330-762-8892,New,-,American Medical Response Of Massachusetts Inc,Don Harvey - (president And Ceo),07/07/2006,11/08/2007,Org
https://npidb.org/organizations/transportation_services/land-transport_3416l0300x/1720089832.aspx,Amherst Rescue Squad Lbn Town Of Amherst,-,"177 Amherst St Amherst, Nh 03031-2951",Amherst,NH,603-673-1545,Govt,-,Town Of Amherst,Matthew Conley - (fire Chief),08/10/2005,01/31/2020,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1346242450.aspx,Antrim Ambulance Lbn Town Of Antrim,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","82 Clinton Rd Antrim, Nh 03440",Antrim,NH,603-588-6785,Govt,-,Town Of Antrim,Marshall Gale - (chief),08/10/2005,08/26/2019,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1588825061.aspx,Atkinson Fire Department Lbn Town Of Atkinson,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","1 Academy Ave Atkinson, Nh 03811-2202",Atkinson,NH,603-362-4203,Govt,-,Town Of Atkinson,Michael Murphy - (chief),06/18/2008,09/27/2013,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1639372303.aspx,Bartlett-jackson Emergency Med Srv Lbn Bartlett-jackson Ambulance,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","Route 302 Glen Fire Station Glen, Nh 03838",Glen,NH,603-383-3651,New,-,Bartlett-jackson Ambulance,Susan Gaudette - (co-director),06/08/2007,11/19/2008,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1689724387.aspx,Berlin Emergency Medical Services Inc,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","182 E Mason St Berlin, Nh 03570-2810",Berlin,NH,603-752-1020,New,-,Berlin Emergency Medical Services Inc,Christopher Dubey - (manager),01/12/2007,01/03/2018,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1023149499.aspx,"Best Care Ambulance Services, Inc.","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","35 Bedford Ave Gilford, Nh 03246-2204",Gilford,NH,603-527-3553,New,-,"Best Care Ambulance Services, Inc.",Scott Hodgkins - (president),03/08/2007,06/22/2016,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1780830497.aspx,Bradford Rescue Squad Lbn Town Of Bradford,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","97 W. Main St. Bradford, Nh 03221-0000",Bradford,NH,603-938-2231,Govt,-,Town Of Bradford,Cheryl Behr - (administrator),08/13/2008,05/26/2009,Org
https://npidb.org/organizations/transportation_services/land-transport_3416l0300x/1700879137.aspx,Bridgewater Public Safety Ems Department Lbn Town Of Bridgewater,-,"311 Mayhew Tpke Bridgewater, Nh 03222-5215",Bridgewater,NH,603-744-6047,Govt,-,Town Of Bridgewater,Jacob Fogarty - (ems Director),08/31/2005,10/19/2018,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1801077326.aspx,Campton-thornton Fire Department,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","186 Nh Route 49 Campton, Nh 03223",Campton,NH,603-726-3300,Govt,-,Campton-thornton Fire Department,David Tobine - (chief),11/27/2007,11/27/2007,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1710455852.aspx,Campton-thornton Fire Department Lbn Town Of Campton,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","186 Nh Route 49 Campton, Nh 03223",Campton,NH,603-726-3300,Govt,-,Town Of Campton,Daniel Defosses - (fire Chief),11/07/2018,05/30/2019,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1124016514.aspx,Canaan First Aid And Safety Team Inc,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","Rte 118 Canaan, Nh 03741-0035",Canaan,NH,603-523-8808,New,-,Canaan First Aid And Safety Team Inc,Mary Gentile - (authorized Agent),10/10/2005,06/19/2013,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1497071294.aspx,Chester Fire Rescue Lbn Town Of Chester,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","27 Murphy Dr Chester, Nh 03036-8108",Chester,NH,603-887-3878,Govt,-,Town Of Chester,Gregory Bolduc - (fire Chief),04/19/2010,11/23/2016,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1376630582.aspx,Chichester Fire Rescue Dept Lbn Town Of Chichester,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","22 Main Street Chichester, Nh 03258",Chichester,NH,603-798-5954,Govt,-,Town Of Chichester,Michael Crowley - (ems Lieutenant),10/07/2006,01/09/2020,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1861475949.aspx,City Of Keene Fire Department Lbn City Of Keene,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","3 Washington St Keene, Nh 03431-3147",Keene,NH,603-352-1013,Govt,-,City Of Keene,Steve Thornton - (administration),11/22/2005,10/04/2013,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1457339152.aspx,City Of Portsmouth Fire Department Lbn City Of Portsmouth New Hampshire,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","170 Court St Portsmouth, Nh 03801-4416",Portsmouth,NH,603-427-1515,Govt,-,City Of Portsmouth New Hampshire,Todd Germain - (interim Fire Chief),01/04/2006,05/29/2019,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1740298660.aspx,Concord Fire Department Lbn City Of Concord,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","24 Horseshoe Pond Lane Concord, Nh 03301",Concord,NH,603-225-8650,Govt,-,City Of Concord,Aaron Mcintire - (deputy Chief),08/04/2006,04/17/2019,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1831263417.aspx,Conway Village Fire District,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","128 W Main St Conway, Nh 03818-6139",Conway,NH,603-447-5470,Govt,-,Conway Village Fire District,Steve Solomon - (chief),11/17/2006,12/11/2019,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1659542280.aspx,Danville Fire Department Lbn Town Of Danville,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","206 Main Street Danville, Nh 03819",Danville,NH,603-382-5133,Govt,-,Town Of Danville,Steve Woitkun - (chief),03/24/2008,10/04/2013,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1639610611.aspx,"D/b/a New London Hospital Ems Lbn The New London Hospital Association, Inc.","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","273 County Rd New London, Nh 03257-5736",London,NH,603-526-2911,New,-,"The New London Hospital Association, Inc.",Kieran Kays - (compliance Officer),03/10/2017,06/22/2020,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1255472171.aspx,East Kingston Fire Department Lbn Town Of East Kingston,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","5 Main Street East Kingston, Nh 03827",Kingston,NH,603-642-3141,Govt,-,Town Of East Kingston,Debbie Gallant - (administration),02/12/2007,10/04/2013,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1568452878.aspx,Epping Fire Department Lbn Town Of Epping New Hampshire,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","146 Main St Epping, Nh 03042-2429",Epping,NH,603-679-5446,Govt,-,Town Of Epping New Hampshire,Lisa Fogg - (finance Director),10/27/2005,05/11/2016,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1437251683.aspx,Epsom Fire & Rescue Lbn Town Of Epsom New Hampshire,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","1714 Dover Rd Epsom, Nh 03234",Epsom,NH,603-736-9291,Govt,-,Town Of Epsom New Hampshire,Robert Yeaton - (chief Of Department),09/01/2006,11/29/2011,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1467576876.aspx,Errol Rescue Squad,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","127 Main Street Errol, Nh 03579-0064",Errol,NH,603-482-3322,Govt,-,Errol Rescue Squad,Terri Ruel - (head Of Service),03/19/2007,12/31/2007,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1629184528.aspx,Fire Department Lbn Nottingham Fire-rescue,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","235 Stage Road Nottingham, Nh 03290-0114",Nottingham,NH,603-679-5666,Govt,-,Nottingham Fire-rescue,Jaye Vilchock - (chief),08/22/2006,09/12/2013,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1467092619.aspx,"Fmh Health Services, Llc","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","11 Whitehall Rd Rochester, Nh 03867-3226",Rochester,NH,603-330-7904,New,-,"Fmh Health Services, Llc",James Hutchinson - (interim Cfo),01/15/2020,01/15/2020,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1225008972.aspx,Franconia Ambulance Lbn Town Of Franconia,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","816 Main Street Franconia, Nh 03580",Franconia,NH,603-823-5741,Govt,-,Town Of Franconia,Paul Schmucker - (chief),01/25/2006,06/13/2018,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1629255534.aspx,Frisbie Memorial Ambulance Lbn Frisbie Memorial Hospital,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","11 Whitehall Rd Rochester, Nh 03867-3226",Rochester,NH,603-335-8114,New,-,Frisbie Memorial Hospital,Jocelyn Caple - (president & Ceo),01/23/2008,01/16/2019,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1770581597.aspx,Golden Cross Ambulance Inc,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","5 Lincoln Hts Claremont, Nh 03743-2317",Claremont,NH,603-542-6660,New,-,Golden Cross Ambulance Inc,Dale Girard - (president),07/14/2005,06/24/2019,Org
