url,Company Name,Description,Address,city,State,Phone,Website,LBN Legal business name,Authorized official,Enumeration date,Last updated,OrganizationOrSole
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1093017618.aspx,"Abba Medical Transportation,llc","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","110 Main Street South Amboy, Nj 08879",Amboy,NJ,732-721-0911,-,"Abba Medical Transportation,llc",Evan Walker - (president),12/02/2010,02/25/2011,Org
https://npidb.org/doctors/transportation_services/ambulance_341600000x/1164722047.aspx,"Fareed D Abdulatif, Transportation Compa – Npi #1164722047ambulance","Profile for FAREED D ABDULATIF in EAST ORANGE, NJ.
					An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","131 So. Harrison St. East Orange, Nj 07018",Orange,NJ,973-821-5446,-,-,"s-Fareed D Abdulatif, Transportation Compa – Npi #1164722047ambulance-Active",10/26/2010,10/26/2010,Sole
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1295801991.aspx,"Access Ems Billing Services

						Lbn Access Ems Billing Services","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","3585 Shafto Rd. 3585 Shafto Rd. Farmingdale, Nj 07727-0000",Farmingdale,NJ,732-922-4123,-,Access Ems Billing Services,Sandra Schweighardt - (president Ceo),11/27/2006,08/22/2020,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1164849576.aspx,Adonis Medical Transportation,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","14 Montclair Ave Clifton, Nj 07011-2823",Clifton,NJ,973-342-5395,-,Adonis Medical Transportation,Jeffrey Prado - (owner),03/24/2014,03/24/2014,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1730235151.aspx,Advocate Services Llc.,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","388 Roseville Ave Newark, Nj 07107-1723",Newark,NJ,862-755-9509,-,Advocate Services Llc.,Juan Rivera - (chief Executive Officer),01/26/2007,08/22/2020,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1477065928.aspx,Allentown First Aid Squad,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","70 Waker Ave Allentown, Nj 08501-1715",Allentown,NJ,215-900-3165,-,Allentown First Aid Squad,Taylor Buzek - (emt),10/24/2017,10/24/2017,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1023453958.aspx,Allmed Transportation Inc,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","4 Princeton Ct East Brunswick, Nj 08816-2226",Brunswick,NJ,646-301-7714,-,Allmed Transportation Inc,Semen Zilber - (vice President),05/06/2013,05/23/2013,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1164456794.aspx,"Always Caring Medical Transport, Inc.","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","630 Grove St Dunellen, Nj 08812-1410",Dunellen,NJ,732-752-4100,-,"Always Caring Medical Transport, Inc.",Martin Pollio - (vice President/co-owner),07/10/2006,09/23/2009,Org
https://npidb.org/organizations/transportation_services/transportation-broker_347e00000x/1902107964.aspx,"Ambi-net Transportation

						Lbn Med-x @Home","A public or private organization or business contracted to arrange non-emergency medical transportation services, including appropriate ancillary services, e.g., lodging.","540 Bordentown Ave Ste 4550 South Amboy, Nj 08879-1546",Amboy,NJ,732-721-3700,-,Med-x @Home,Leonard August - (administrator),11/08/2010,11/08/2010,Org
https://npidb.org/organizations/transportation_services/non-emergency-medical-transport-van_343900000x/1053301192.aspx,"Ambicab Medical Transportation

						Lbn Hvm Associate Llc","A land vehicle with a capacity to meet special height, clearance, access, and seating, for the conveyance of persons in non-emergency situations. The vehicle may or may not be required to meet local county or state regulations.","472 Halsted St East Orange, Nj 07018-1813",Orange,NJ,973-673-6911,-,Hvm Associate Llc,Hitesh Patel - (partner),10/27/2005,08/22/2020,Org
