url,Company Name,Description,Address,city,State,Phone,Website,LBN Legal business name,Authorized official,Enumeration date,Last updated,OrganizationOrSole
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1104912625.aspx,"Ambulance Service

						Lbn City Of Hobbs","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","301 E White Hobbs, Nm 88240",Hobbs,NM,505-397-9305,-,City Of Hobbs,Ernie Wheeler - (operations Commander),10/04/2006,08/22/2020,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1164612925.aspx,"American Medical Response Ambulance Service, Inc.","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","920 S Valley Dr Las Cruces, Nm 88005-3077",Cruces,NM,505-523-0225,-,"American Medical Response Ambulance Service, Inc.",Edward Van Horne - (coo),07/27/2007,03/30/2020,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1962437855.aspx,"American Medical Response

						Lbn American Medical Response Ambulance Service Inc","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","2423 Lawrence Blvd Alamogordo, Nm 88310-6107",Alamogordo,NM,505-437-3699,-,American Medical Response Ambulance Service Inc,Eric Thomas - (svp Of Revenue Management),07/11/2006,06/15/2020,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1275648644.aspx,"Cimarron Community Ambulance

						Lbn Village Of Cimarron","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","356 B East 9th Street Cimarron, Nm 87714",Cimarron,NM,575-376-2232,-,Village Of Cimarron,Nathan Lay - (ems Director),08/19/2006,02/12/2020,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1689033250.aspx,City Of Albuquerque,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","1 Civic Plz Nw Albuquerque, Nm 87102-2109",Albuquerque,NM,505-768-2000,-,City Of Albuquerque,David Downey - (fire Chief),02/11/2016,03/07/2017,Org
https://npidb.org/organizations/transportation_services/land-transport_3416l0300x/1720198153.aspx,City Of Carlsbad,-,"101 N Halagueno St Carlsbad, Nm 88220",Carlsbad,NM,505-887-1191,-,City Of Carlsbad,Richard Lopez - (fire Chief),08/30/2006,04/23/2015,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1114053469.aspx,City Of Dexter,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","200 E. 2nd St Dexter, Nm 88230",Dexter,NM,505-734-5482,-,City Of Dexter,Justin Powell - (ems Director),02/23/2007,07/31/2007,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1831263391.aspx,City Of Santa Fe Payroll,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","200 Murales Rd Santa Fe, Nm 87501-1173",Fe,NM,505-955-3501,-,City Of Santa Fe Payroll,Brian Caldwell - (fire Chief),11/17/2006,10/15/2007,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1871691030.aspx,City Of Socorro,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","111 School Of Mines Rd Socorro, Nm 87801-4533",Socorro,NM,505-835-3969,-,City Of Socorro,Ravi Bhasker - (mayor),09/20/2006,04/15/2010,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1891828554.aspx,"Cloudcroft Ambulance Service

						Lbn Village Of Cloudcroft","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","1100 James Canyon Hwy Cloudcroft, Nm 88317-0317",Cloudcroft,NM,505-682-3409,-,Village Of Cloudcroft,Steve Grulke - (ems Director),03/13/2007,08/22/2020,Org
