url,Company Name,Description,Address,city,State,Phone,Status,Website,LBN Legal business name,Authorized official,Enumeration date,Last updated,OrganizationOrSole
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1164829263.aspx,Ace Ambulance Service Llc,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","28 Sheridan Blvd Inwood, Ny 11096-1817",Inwood,NY,516-371-2622,New,-,Ace Ambulance Service Llc,Daniel Leibowitz - (president),12/04/2014,12/04/2014,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1063776144.aspx,Albany Schenectady Greene County Agricultural And Historical Societies,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","129 Grand St Altamont, Ny 12009",Altamont,NY,518-861-6671,Govt,-,Albany Schenectady Greene County Agricultural And Historical Societies,Willard Schultz - (vice President),07/03/2012,08/05/2020,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1346277209.aspx,"Alstar Ems

						Lbn Wca Services Corporation","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","28 Maple St Jamestown, Ny 14701-7034",Jamestown,NY,716-487-1124,New,-,Wca Services Corporation,Betsy Wright - (president),06/27/2006,01/08/2008,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1659360956.aspx,Altamont Rescue Squad Inc,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","767 Route 146 Altamont, Ny 12009-6221",Altamont,NY,518-861-6715,Govt,-,Altamont Rescue Squad Inc,Warren Quinn - (president),10/19/2005,08/05/2020,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1326021502.aspx,Amber Ambulance Inc,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","2215 Amber Rd Marietta, Ny 13110-3103",Marietta,NY,315-636-8283,New,-,Amber Ambulance Inc,Douglas Lafrance - (president),11/22/2005,06/21/2013,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1932482379.aspx,"Ambucare Interstate Ambulance, Inc","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","150 Greaves Ln Ste L Suite 142 Staten Island, Ny 10308-2173",Island,NY,866-535-9948,New,-,"Ambucare Interstate Ambulance, Inc",Robert Marchand - (president),09/22/2011,09/22/2011,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1770513152.aspx,"Ambulance Service Of Fulton County, Inc","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","8 Frontage Rd. Gloversville, Ny 12078",Gloversville,NY,518-725-3667,Govt,-,"Ambulance Service Of Fulton County, Inc",Sean Wilson - (director Of Ems),07/03/2006,05/27/2015,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1265093967.aspx,"Ambulnz

						Lbn Ambulnz Ny3, Llc","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","35 W 35th St Fl 5 New York, Ny 10001-2205",York,NY,518-888-2261,New,-,"Ambulnz Ny3, Llc",Michael Witkowski - (chief Compliance Officer),06/24/2019,07/24/2020,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1841856143.aspx,"Ambulnz Nj-pa, Llc","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","35 W 35th St Fl 5 New York, Ny 10001-2205",York,NY,424-307-0744,New,-,"Ambulnz Nj-pa, Llc",Michael Witkowski - (chief Compliance Officer),05/13/2019,05/15/2019,Org
https://npidb.org/organizations/transportation_services/land-transport_3416l0300x/1124684113.aspx,"Ambulnz Tx, Llc",-,"35 W 35th St Fl 5 New York, Ny 10001-2205",York,NY,424-307-0744,New,-,"Ambulnz Tx, Llc",Michael Witkowski - (chief Compliance Officer),05/15/2019,05/15/2019,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1528018066.aspx,"American Medical Response

						Lbn Five Counties Ambulance Service Inc","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","1160 Lincoln Ave Holbrook, Ny 11741-2245",Holbrook,NY,613-218-4070,New,-,Five Counties Ambulance Service Inc,Edward Van Horne - (president),05/12/2006,09/13/2013,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1790228062.aspx,"American Medical Response Of New York, Llc","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","35 Bartels Pl New Rochelle, Ny 10801-6901",Rochelle,NY,315-471-0102,New,-,"American Medical Response Of New York, Llc",Eric Thomas - (svp Of Revenue Management),11/18/2016,06/15/2020,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1790735330.aspx,"American Medical Response

						Lbn Park Ambulance Service Inc","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","930 Flushing Ave Brooklyn, Ny 11206-4600",Brooklyn,NY,718-571-6565,New,-,Park Ambulance Service Inc,Edward Van Horne - (president),05/12/2006,09/17/2013,Org
https://npidb.org/organizations/transportation_services/land-transport_3416l0300x/1831285410.aspx,"Amr

						Lbn Corning Ambulance Service Inc",-,"25 E Pulteney St Suite 102 Corning, Ny 14830-2208",Corning,NY,607-936-4170,New,-,Corning Ambulance Service Inc,Edward Van Horne - (coo),10/04/2006,03/31/2020,Org
https://npidb.org/organizations/transportation_services/land-transport_3416l0300x/1255424800.aspx,"Amr

						Lbn Eastern Paramedics Inc",-,"101 Richmond Ave Syracuse, Ny 13204-2288",Syracuse,NY,315-471-0102,New,-,Eastern Paramedics Inc,Edward Van Horne - (coo),10/02/2006,04/01/2020,Org
https://npidb.org/organizations/transportation_services/land-transport_3416l0300x/1366419509.aspx,"Amr

						Lbn Lasalle Ambulance Inc",-,"481 William L Gaiter Pkwy Buffalo, Ny 14215-2731",Buffalo,NY,716-882-8400,New,-,Lasalle Ambulance Inc,Edward Van Horne - (coo),03/07/2006,04/01/2020,Org
https://npidb.org/organizations/transportation_services/land-transport_3416l0300x/1356436422.aspx,"Amr

						Lbn National Ambulance & Oxygen Service, Inc.",-,"811 West Ave Rochester, Ny 14611-2413",Rochester,NY,585-546-2525,New,-,"National Ambulance & Oxygen Service, Inc.",Edward Van Horne - (senior Vice President),10/04/2006,04/01/2020,Org
https://npidb.org/organizations/transportation_services/land-transport_3416l0300x/1225006125.aspx,"Amr

						Lbn Towns Ambulance Service Inc",-,"481 William L Gaiter Pkwy Buffalo, Ny 14215-2731",Buffalo,NY,716-882-8400,Govt,-,Towns Ambulance Service Inc,Edward Van Horne - (coo),03/08/2006,04/01/2020,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1346227659.aspx,Ardsley Secor Volunteer Ambulance Corps Inc,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","19 American Legion Dr Ardsley, Ny 10502-1803",Ardsley,NY,914-693-3673,Govt,-,Ardsley Secor Volunteer Ambulance Corps Inc,Francis Doherty - (treasurer),12/28/2005,08/05/2020,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1780667881.aspx,Argyle Emergency Squad Inc,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","15 Sheridan St Argyle, Ny 12809-2820",Argyle,NY,518-638-8344,New,-,Argyle Emergency Squad Inc,William Wilcox - (president),11/22/2005,08/30/2013,Org
