url,Company Name,Description,Address,city,State,Phone,Website,LBN Legal business name,Authorized official,Enumeration date,Last updated,OrganizationOrSole
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1124326319.aspx,"Adams Rescue

						Lbn Village Of Adams","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","630 Main St Adams, Ne 68301",Adams,NE,402-572-4019,-,Village Of Adams,Lisa Gembala - (treasurer),3/11/11,3/25/11,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1245356377.aspx,"Alliance Fire Dept

						Lbn City Of Alliance","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","315 Cheyenne Ave Alliance, Ne 69301-3349",Alliance,NE,308-762-5400,-,City Of Alliance,Leah King - (finance Director),3/21/07,6/21/18,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1558331405.aspx,"American Ambulance Service, Inc","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","5935 Henninger Dr Omaha, Ne 68104-1269",Omaha,NE,402-342-0404,-,"American Ambulance Service, Inc",C Rine - (president),1/24/06,4/20/08,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1336315225.aspx,"American Medical Response Ambulance Service, Inc.","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","9340 G Ct Omaha, Ne 68127-1229",Omaha,NE,402-331-2257,-,"American Medical Response Ambulance Service, Inc.",Edward Van Horne - (president),5/1/08,8/20/13,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1841295094.aspx,Arnold Rural Fire District,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","206 S Broadway St Arnold, Ne 69120",Arnold,NE,308-848-2731,-,Arnold Rural Fire District,Harvey Foran - (secretary/treasurer),6/15/05,7/31/18,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1497029508.aspx,"Arthur County Rural Fire Protection District

						Lbn Arthur Rural Fire Protection District","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","404 Fir St Arthur, Ne 69121-0187",Arthur,NE,308-764-9040,-,Arthur Rural Fire Protection District,William Daly - (fire Chief),3/7/12,3/7/12,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1578834222.aspx,"Ashland Emergency Services

						Lbn City Of Ashland","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","2402 Silver St Ashland, Ne 68003-1537",Ashland,NE,402-944-3387,-,City Of Ashland,Jessica Quady - (city Administrator),1/25/12,1/25/12,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1659349546.aspx,"Banner County Vol Fire Dept

						Lbn County Of Banner","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","304 Pennsylvania Ave Harrisburg, Ne 69345",Harrisburg,NE,308-635-0511,-,County Of Banner,Shawn Baumgartner - (billing Agent),3/8/06,8/22/20,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1548215809.aspx,"Beaver City Ambulance

						Lbn City Of Beaver City","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","301 10th Street Beaver City, Ne 68926-2761",City,NE,308-268-2145,-,City Of Beaver City,Angela Woodring - (city Clerk),5/24/06,5/24/13,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1811290166.aspx,"Bennington Vol. Fire & Rescue Dept

						Lbn Bennington Rural Fire District No 9-7","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","15509 Warehouse St Bennington, Ne 68007-5511",Bennington,NE,402-572-4019,-,Bennington Rural Fire District No 9-7,Benjamin Tysor - (director),12/8/10,12/22/10,Org
