url,Company Name,Description,Address,city,State,Phone,Status,Website,LBN Legal business name,Authorized official,Enumeration date,Last updated,OrganizationOrSole
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1447763693.aspx,24 7 Medical Transport Company,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","4322 Cranwood Pkwy Warrensville Heights, Oh 44128-4002",Heights,OH,216-510-4797,New,-,24 7 Medical Transport Company,Brian Cooley - (medical Director),11/09/2017,03/20/2019,Org
https://npidb.org/organizations/agencies/home-health_251e00000x/1982166567.aspx,360 Total Care Llc,"A public agency or private organization, or a subdivision of such an agency or organization, that is primarily engaged in providing skilled nursing services and other therapeutic services, such as physical therapy, speech-language pathology services, or occupational therapy, medical social services, and home health aide services. It has policies established by a professional group associated with the agency or organization (including at least one physician and one registered nurse) to govern the services and provides for supervision of such services by a physician or a registered nurse; maintains clinical records on all patients; is licensed in accordance with State or local law or is approved by the State or local licensing agency as meeting the licensing standards, where applicable; and meets other conditions found by the Secretary of Health and Human Services to be necessary for health and safety.","270 Regency Ridge Dr Ste 202 Dayton, Oh 45459",Dayton,OH,937-672-0971,New,-,360 Total Care Llc,Paul Joiner - (ceo),04/03/2019,04/03/2019,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1164420089.aspx,"Aberdeen Huntington Township Vol. Life Squad

						Lbn Huntington Township Trustees","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","2164 State Route 763 Aberdeen, Oh 45101-9346",Aberdeen,OH,800-676-4785,Govt,-,Huntington Township Trustees,Jerry Lang - (chief),07/13/2005,04/20/2008,Org
https://npidb.org/organizations/transportation_services/land-transport_3416l0300x/1295985091.aspx,"Able Emergency Medical Services Of Southwest Ohio, Llc",-,"8046 Ohio River Rd Ste B Wheelersburg, Oh 45694-1690",Wheelersburg,OH,740-574-5555,New,-,"Able Emergency Medical Services Of Southwest Ohio, Llc",Shad Wooten - (cfo),09/29/2008,09/29/2008,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1598052169.aspx,Access-med Ambulance Service,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","2193 S James Rd Columbus, Oh 43232",Columbus,OH,414-337-1100,New,-,Access-med Ambulance Service,Kinzi Farah - (pres/owner),07/05/2011,06/06/2014,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1275531170.aspx,"Action Ambulance

						Lbn L.j.lewis Enterprises, Inc","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","421 South St Se Warren, Oh 44483-5719",Warren,OH,330-369-3600,New,-,"L.j.lewis Enterprises, Inc",John Popadak - (president),07/13/2005,01/29/2008,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1942440599.aspx,"Adams County Ems

						Lbn Adams County Auditor","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","215 N Cross St Rm 102 West Union, Oh 45693-1272",Union,OH,937-544-3286,Govt,-,Adams County Auditor,Etta Sparks - (ems Coordinator),02/23/2009,11/04/2016,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1891731725.aspx,"Adena Volunteer Fire Company, Inc.

						Lbn Adena Fire Company","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","270 E Main St Adena, Oh 43901-7813",Adena,OH,740-546-4113,Govt,-,Adena Fire Company,Greg Arnett - (treasure),06/20/2006,01/25/2010,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1376509612.aspx,Advanced Ambulance Llc,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","8641 W 130th St North Royalton, Oh 44133",Royalton,OH,440-230-5339,New,-,Advanced Ambulance Llc,Edmund Gates - (ceo),04/25/2006,08/22/2020,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1912143363.aspx,Advanced Care Ambulance Service,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","643 N James Rd Columbus, Oh 43219-1837",Columbus,OH,614-235-1155,New,-,Advanced Care Ambulance Service,Jami Tomblin - (member),01/06/2009,11/21/2009,Org
