url,Company Name,Description,Address,city,State,Phone,Status,Website,LBN Legal business name,Authorized official,Enumeration date,Last updated,OrganizationOrSole
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1093169377.aspx,"Alliancehealth Midwest Lbn Midwest Regional Medical Center, Llc","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","2825 Parklawn Dr Midwest City, Ok 73110-4201",City,OK,405-610-8147,New,-,"Midwest Regional Medical Center, Llc",Paula Lalor - (director),04/22/2016,05/02/2019,Org
https://npidb.org/organizations/hospitals/general-acute-care-hospital_282n00000x/1730128836.aspx,"Alliancehealth Midwest Lbn Midwest Regional Medical Center, Llc","An acute general hospital is an institution whose primary function is to provide inpatient diagnostic and therapeutic services for a variety of medical conditions, both surgical and non-surgical, to a wide population group. The hospital treats patients in an acute phase of illness or injury, characterized by a single episode or a fairly short duration, from which the patient returns to his or her normal or previous level of activity.","2825 Parklawn Dr Midwest City, Ok 73110-4201",City,OK,405-610-4411,New,-,"Midwest Regional Medical Center, Llc",Paula Lalor - (director),06/05/2006,05/02/2019,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1881036077.aspx,"Alpha Care Cct, Llc","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","402 E Moses St Ste 108 Cushing, Ok 74023-3331",Cushing,OK,405-226-0247,New,-,"Alpha Care Cct, Llc",Michael Dore - (managing Director),07/29/2013,07/29/2013,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1902230493.aspx,Alva Ems,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","209 5th St Alva, Ok 73717-1603",Alva,OK,580-327-2300,New,-,Alva Ems,Chad Campbell - (director),09/03/2013,09/03/2013,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1871508432.aspx,American Medical Response Ambulance Service Inc,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","616 N Highway 81 Duncan, Ok 73533-2313",Duncan,OK,580-252-4513,New,-,American Medical Response Ambulance Service Inc,Eric Thomas - (svp Of Revenue Management),07/30/2006,06/15/2020,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1033119326.aspx,Anadarko Fire/ems Lbn City Of Anadarko,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","115 W Kentucky Ave Station One Anadarko, Ok 73005-4014",Anadarko,OK,405-247-3871,Govt,-,City Of Anadarko,April Earls - (deputy Billing Clerk),07/28/2005,08/22/2020,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1396923280.aspx,Chickasaw Nation Medical Center Lbn Chickasaw Nation Division Of Health Chickasaw Nation Medical Center,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","1921 Stonecipher Blvd Ada, Ok 74820",Ada,OK,580-436-3980,New,-,Chickasaw Nation Division Of Health Chickasaw Nation Medical Center,Kirbi Meeks - (contract Management Coordinator),02/04/2008,08/17/2018,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1740391192.aspx,City Of Antlers,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","121 S High St Antlers, Ok 74523-3818",Antlers,OK,580-298-5635,Govt,-,City Of Antlers,Joel Taylor - (city Manager),08/31/2006,08/22/2020,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1134404593.aspx,City Of Pawhuska,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","118 W Main St Pawhuska, Ok 74056-4113",Pawhuska,OK,918-257-3576,Govt,-,City Of Pawhuska,Paul Mcalexander - (city Manager),10/18/2011,05/21/2012,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1689853319.aspx,City Of Stilwell,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","20 1/2 W. Walnut Stilwell, Ok 74960",Stilwell,OK,918-696-7209,Govt,-,City Of Stilwell,Karin Ketcher - (director),10/30/2007,06/11/2010,Org
