url,Company Name,Description,Address,city,State,Phone,Status,Website,LBN Legal business name,Authorized official,Enumeration date,Last updated,OrganizationOrSole
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1316233273.aspx,4 Life Ambulance Inc,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","842 Red Lion Rd Ste 21 Philadelphia, Pa 19115-1475",Philadelphia,PA,267-980-9182,New,-,4 Life Ambulance Inc,Renee Mcbride - (partner),6/20/11,6/20/11,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1417381609.aspx,Able Ambulance Inc.,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","1017 Haldeman Ave. Philadelphia, Pa 19116",Philadelphia,PA,215-533-1919,New,-,Able Ambulance Inc.,Yaser Masso - (president),8/25/13,9/6/13,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1134386055.aspx,"Accurate Response Medical Transport

						Lbn Accurate Response Inc","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","9304 Keystone Street Philadelphia, Pa 19114-4025",Philadelphia,PA,215-543-9900,New,-,Accurate Response Inc,James Coolen - (president/owner),5/19/08,11/4/10,Org
https://npidb.org/organizations/transportation_services/land-transport_3416l0300x/1609131721.aspx,Ace Care Inc,-,"1300 Industrial Blvd Ste 202 Southampton, Pa 18966-4029",Southampton,PA,215-919-9103,New,-,Ace Care Inc,Alexander Kuznetsov - (owner/president),7/5/12,7/5/12,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1952637837.aspx,Advance Care Inc,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","111 Buck Rd Door 500, St3 Huntingdon Valley, Pa 19006-1544",500,PA,215-364-1188,New,-,Advance Care Inc,Stanislav Braganets - (president),10/27/09,1/20/10,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1649532748.aspx,Advance Life Ambulance Inc,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","9965 Wingtip Rd Philadelphia, Pa 19115-1708",Philadelphia,PA,267-307-7741,New,-,Advance Life Ambulance Inc,Stanislav Braganets - (president),6/13/12,6/13/12,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1114993508.aspx,"A.k.a Trevose Heights Rescue Squad

						Lbn Tri-hampton Rescue Squad","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","140 Township Rd Richboro, Pa 18954",Richboro,PA,215-357-0473,Govt,-,Tri-hampton Rescue Squad,Lara Fleck - (billing Supervisor),2/24/06,2/17/15,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1053566737.aspx,"Alfa Plus Ambulance

						Lbn Alfa Plus .Inc","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","73a Tracey Rd Huntingdon Valley, Pa 19006-4222",Valley,PA,215-947-1795,New,-,Alfa Plus .Inc,Yaroslav Dyak - (precident),11/24/08,11/24/08,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1538424544.aspx,Alfa Plus Inc,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","111 Buck Rd Unit 100, Suite 6 Huntingdon Valley, Pa 19006-1544",100,PA,267-886-2625,New,-,Alfa Plus Inc,Samet Lomidze - (president),7/6/12,7/24/12,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1457336364.aspx,"All Heart Medical Transport, Inc.","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","1621 No Delaware Ave Philadelphia, Pa 19130-2544",Philadelphia,PA,215-634-1414,New,-,"All Heart Medical Transport, Inc.",Kevin Carr - (president),12/13/05,1/11/08,Org
https://npidb.org/doctors/transportation_services/ambulance_341600000x/1124155080.aspx,"Thomas R Alleman, Paramedic – Npi #1124155080ambulance","Profile for THOMAS R ALLEMAN in DILLSBURG, PA.
					An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","575 Ridge Rd Dillsburg, Pa 17019-8942",Dillsburg,PA,717-395-4815,New,-,-,"s-Thomas R Alleman, Paramedic – Npi #1124155080ambulance-Active",2/27/07,8/19/07,Sole
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1518312495.aspx,"Ambulance

						Lbn Prospect Dcmh, Llc","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","501 N Lansdowne Ave Drexel Hill, Pa 19026-1114",Hill,PA,610-284-8100,New,-,"Prospect Dcmh, Llc",Ellen Shin - (secretary),4/28/16,4/28/16,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1265579619.aspx,"Ambulance-wellspan Ephrata Community Hospital

						Lbn Ephrata Community Hospital","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","169 Martin Ave Ephrata, Pa 17522-1724",Ephrata,PA,717-738-2517,Govt,-,Ephrata Community Hospital,Carrie Willetts - (president),2/1/07,3/15/16,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1063746295.aspx,"Ambulimo

						Lbn Luxury Medical Transportation Services, Llc","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","4320 H St Philadelphia, Pa 19124-4346",Philadelphia,PA,215-740-1250,New,-,"Luxury Medical Transportation Services, Llc",Olga Kravchuk - (member),9/21/09,9/21/09,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1811552136.aspx,"Ambulnz Pa, Llc","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","154 Hansen Access Rd King Of Prussia, Pa 19406-2404",Prussia,PA,610-783-1122,New,-,"Ambulnz Pa, Llc",Michael Witkowski - (chief Compliance Officer),5/2/19,7/24/20,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1548568520.aspx,Ambunet Medical Transport Llc,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","2735 Terwood Rd Willow Grove, Pa 19090-1430",Grove,PA,215-713-8097,New,-,Ambunet Medical Transport Llc,David Donadze - (co-owner/general Manager),3/1/11,3/1/11,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1346575743.aspx,Ambustat,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","5512 N 5th St Philadelphia, Pa 19120-2806",Philadelphia,PA,215-262-0355,New,-,Ambustat,Eui Chung - (owner),10/2/09,10/29/09,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1023003241.aspx,"Amed

						Lbn Altoona Logan Twp Mobile Med Emerg Dept Authority","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","1012 7th Ave Altoona, Pa 16602-2517",Altoona,PA,814-943-8993,New,-,Altoona Logan Twp Mobile Med Emerg Dept Authority,Gary Watters - (executive Director),9/14/05,4/24/14,Org
