url,Company Name,Description,Address,city,State,Phone,Status,Website,LBN Legal business name,Authorized official,Enumeration date,Last updated,OrganizationOrSole
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1578076022.aspx,A1 Transportation Lbn Demario Sawyer Sr,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","107 N Royal Tower Dr Ste C Irmo, Sc 29063",Irmo,SC,803-828-9460,New,-,Demario Sawyer Sr,Demario Sawyer - (owner),11/07/2017,10/16/2018,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1245423276.aspx,"Adams Life Link Ambulance, Llc","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","11 Designer St Kingstree, Sc 29556-5007",Kingstree,SC,843-210-9112,New,-,"Adams Life Link Ambulance, Llc",William Adams - (manager/director),08/22/2007,08/22/2007,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1861456600.aspx,Aiken County,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","621 York Street Ne Aiken County Ems Aiken, Sc 29801-3834",Aiken,SC,803-642-1624,Govt,-,Aiken County,Clay Killian - (county Administrator),04/17/2006,05/07/2014,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1073914362.aspx,Alert Ambulance Service,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","13 Amy Elsey Dr Charleston, Sc 29407-1702",Charleston,SC,843-242-7828,New,-,Alert Ambulance Service,Julie Barrineau - (coo/owner),09/05/2014,09/12/2014,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1154314441.aspx,Allendale Rescue Squad,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","5005 Sunset Blvd Lexington, Sc 29072-9154",Lexington,SC,803-957-7111,Govt,-,Allendale Rescue Squad,Lawson John - (ems Director),08/23/2005,08/22/2020,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1750422283.aspx,"Allmed Transport Services, Inc","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","2814 Highway 72 E Abbeville, Sc 29620-5257",Abbeville,SC,864-608-0933,New,-,"Allmed Transport Services, Inc",James Rakestraw - (ceo),02/09/2007,08/22/2020,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1740344118.aspx,Ambulance Services Lbn Kershawhealth,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","1315 Roberts St Camden, Sc 29020-3737",Camden,SC,803-432-4311,New,-,Kershawhealth,Donnie Weeks - (ceo),12/20/2006,10/15/2012,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1235387234.aspx,Ambunet Inc,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","1439 Johnsonville Highway Lake City, Sc 29560-2523",City,SC,843-389-5840,New,-,Ambunet Inc,Randy Zanders - (owner),09/03/2008,09/03/2008,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1184674756.aspx,American Medical Response Of South Carolina Inc,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","34 C Trotter Rd West Columbia, Sc 29169-3055",Columbia,SC,803-939-8989,New,-,American Medical Response Of South Carolina Inc,William Sanger - (president And Ceo),05/12/2006,05/20/2008,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1831431485.aspx,"American Pride Medical Transportation, Llc","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","719 Bryton Trce Columbia, Sc 29210-3638",Columbia,SC,803-206-3905,New,-,"American Pride Medical Transportation, Llc",Paula Langston - (owner),03/21/2013,03/21/2013,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1649616111.aspx,Americare Medical Services Llc,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","1079 Capital Way Manning, Sc 29102-6431",Manning,SC,803-460-5118,New,-,Americare Medical Services Llc,Eddie Lesaine - (owner),05/10/2013,07/30/2014,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1477889772.aspx,"Amp Medical Transport, Llc","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","621 Main St Pelion, Sc 29123",Pelion,SC,803-957-7111,New,-,"Amp Medical Transport, Llc",Arthur Chavis - (owner),10/22/2009,10/22/2009,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1093756850.aspx,Ams Lbn Ams Of West Columbia Inc,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","210 N. 9th Street West Columbia, Sc 29169",Columbia,SC,803-739-8101,New,-,Ams Of West Columbia Inc,Scott Middleton - (ceo),06/10/2006,07/05/2016,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1285747949.aspx,Ashley Medical Transport Service,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","940 Stevenson Rd Abbeville, Sc 29620",Abbeville,SC,864-446-8003,New,-,Ashley Medical Transport Service,James Ashley - (owner),08/16/2006,04/20/2008,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1013165745.aspx,Atlantic Coast Medical Transport Llc,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","6198 B Red Bluff Rd Loris, Sc 29569-5382",Loris,SC,910-234-0941,New,-,Atlantic Coast Medical Transport Llc,Willis Player - (member),09/06/2008,08/15/2014,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1093080319.aspx,Batesburg Leesville Rescue Squad,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","311 W Church St Batesburg-leesville, Sc 29006-2003",Batesburg-leesville,SC,803-532-9915,Govt,-,Batesburg Leesville Rescue Squad,Bobbie Maroney - (director),03/20/2012,08/06/2012,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1457542763.aspx,"Belvedere North Augusta Rescue, Inc.","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","139 Edgefield Rd North Augusta, Sc 29841-2423",Augusta,SC,803-640-4105,Govt,-,"Belvedere North Augusta Rescue, Inc.",Michael Raffield - (director),08/05/2007,05/15/2008,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1447447289.aspx,Bethea Medical Transport,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","3369 E Hwy 76 Mullins, Sc 29574-5752",Mullins,SC,843-464-2600,New,-,Bethea Medical Transport,Veronica Bethea - (director),09/25/2007,09/16/2013,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1437114808.aspx,Bnt Transportation Service Llc Lbn Bnt Transportation Service Llc,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","60 Myrtle Beach Hwy Sumter, Sc 29153-5033",Sumter,SC,803-774-4450,New,-,Bnt Transportation Service Llc,Nolan Bossard - (ceo/manager),04/19/2006,07/21/2011,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1932244332.aspx,Bowers Emergency Services Inc,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","301 E A Ave Easley, Sc 29640-2103",Easley,SC,864-269-7888,New,-,Bowers Emergency Services Inc,Randy Bowers - (ceo),02/21/2007,11/21/2013,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1740377977.aspx,Branchville Rescue Squad,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","217 Mill Pond Rd Bowman, Sc 29018-8725",Bowman,SC,803-533-4066,Govt,-,Branchville Rescue Squad,Virginia Ott - (squad Captain),10/09/2006,08/22/2020,Org
