url,Company Name,Description,Address,city,State,Phone,Status,Website,LBN Legal business name,Authorized official,Enumeration date,Last updated,OrganizationOrSole
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1508265208.aspx,"A & E Emergency Services, Llc","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","151 W Waggoner St Tullahoma, Tn 37388-4356",Tullahoma,TN,931-222-4471,New,-,"A & E Emergency Services, Llc",Benjamin Smith - (owner/ Ceo),08/19/2014,10/08/2019,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1396713673.aspx,Ambulance Service Of Bristol Inc,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","1718 Shelby St Bristol, Tn 37620-1938",Bristol,TN,423-764-4942,New,-,Ambulance Service Of Bristol Inc,George Elliott - (ceo),03/10/2006,07/30/2008,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1740213941.aspx,"Ambulance Services, Inc","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","112 W Main St Waverly, Tn 37185-1509",Waverly,TN,931-296-4213,New,-,"Ambulance Services, Inc",Kristie Arnold - (reimbursement Manager),07/09/2006,08/22/2020,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1285113118.aspx,Ambulnz Lbn Ambulnz Tn Llc,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","219 Blanton Ave Nashville, Tn 37210-4703",Nashville,TN,424-307-0744,New,-,Ambulnz Tn Llc,Michael Witkowski - (chief Operating Officer),08/10/2018,05/13/2020,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1750688172.aspx,"American Medical Response Of Tennessee, Inc.","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","1107 Congress Pkwy S Athens, Tn 37303-2403",Athens,TN,423-507-1434,New,-,"American Medical Response Of Tennessee, Inc.",Edward Van Horne - (coo),02/21/2011,03/19/2020,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1215901640.aspx,Bedford County Emergency Medical Service Lbn County Of Bedford Office Of County Executive,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","119 Frank Martin Road Shelbyville, Tn 37160-7193",Shelbyville,TN,931-684-4403,Govt,-,County Of Bedford Office Of County Executive,Chad Graham - (director),02/14/2006,07/09/2009,Org
https://npidb.org/organizations/transportation_services/land-transport_3416l0300x/1447217484.aspx,Bledsoe County Ems Lbn County Of Bledsoe,-,"1187 Alvin York Hwy Pikeville, Tn 37367-9294",Pikeville,TN,423-447-3554,Govt,-,County Of Bledsoe,William Angel - (emt-p),04/26/2006,04/18/2019,Org
https://npidb.org/organizations/transportation_services/land-transport_3416l0300x/1699844399.aspx,Campbell County Ems Lbn County Of Campbell,-,"136 North Massachusetts Ave Lafollette, Tn 37766",Lafollette,TN,423-562-6201,Govt,-,County Of Campbell,Bruce Perkins - (director),11/07/2006,05/15/2017,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1710950704.aspx,Cannon County Ambulance Service,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","104 Alexander Dr Woodbury, Tn 37190-5275",Woodbury,TN,615-563-5959,Govt,-,Cannon County Ambulance Service,Dek Sissom - (director),02/09/2006,03/18/2020,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1497263164.aspx,Care Med Ambulance Lbn Care Med Ambulance Llc,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","2511 Riverside Dr Ste B5 Chattanooga, Tn 37406",Chattanooga,TN,423-498-3900,New,-,Care Med Ambulance Llc,Al-hassan Aliyu - (manager),01/16/2018,06/25/2020,Org
