url,Company Name,Description,Address,city,State,Phone,Website,LBN Legal business name,Authorized official,Enumeration date,Last updated,OrganizationOrSole,,,,,,,,,,,,,,,,,,,,,,,,
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1700930153.aspx,1st Alert,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","6635 Lakeview Dr San Antonio, Tx 78244-1658",Antonio,TX,866-929-8267,-,1st Alert,Nicole West - (owner),1/23/07,8/22/20,Org,,,,,,,,,,,,,,,,,,,,,,,,
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1255415691.aspx,"1st Alert Ems, Llc","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","4400 S Wayside Dr Ste.100 Houston, Tx 77087-1125",Houston,TX,713-641-5700,-,"1st Alert Ems, Llc",Nicole West - (owner),10/24/06,6/17/08,Org,,,,,,,,,,,,,,,,,,,,,,,,
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1134401763.aspx,1st Call Ems Inc,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","32011 State Highway 249 B Pinehurst, Tx 77362-3841",Pinehurst,TX,281-259-3355,-,1st Call Ems Inc,Enoch Phillips - (owner),9/9/11,9/9/11,Org,,,,,,,,,,,,,,,,,,,,,,,,
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1851600415.aspx,1st Choice Ems Llc,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","2817 N 30th 7 Mcallen, Tx 78501",Mcallen,TX,956-457-0898,-,1st Choice Ems Llc,Hector Saenz - (owner/ceo),9/30/10,3/7/12,Org,,,,,,,,,,,,,,,,,,,,,,,,
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1942448691.aspx,7074,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","5001 Kashmere St Houston, Tx 77026-2819",Houston,TX,713-674-0403,-,7074,Alcapone Foster - (owner/director),2/2/09,9/1/10,Org,,,,,,,,,,,,,,,,,,,,,,,,
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1255630919.aspx,1st Med Ems Inc,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","12360 Richmond Ave 1431 Houston, Tx 77082-2421",Houston,TX,832-640-3460,-,1st Med Ems Inc,Onyewuchi Nwosu - (director),3/21/11,3/21/11,Org,,,,,,,,,,,,,,,,,,,,,,,,
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1467763417.aspx,Quest Ems Inc,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","9898 Bissonnet St Suite 375 - I Houston, Tx 77036-8270",Houston,TX,713-981-6955,-,Quest Ems Inc,Greg Odikpo - (ceo),6/24/10,6/10/11,Org,,,,,,,,,,,,,,,,,,,,,,,,
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1265526511.aspx,24/7 Ambulance,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","6666 Harbor Town Dr Apt A206 Houston, Tx 77036-4081",Houston,TX,832-755-0224,-,24/7 Ambulance,Sameer Yousef - (owner),10/3/06,6/13/08,Org,,,,,,,,,,,,,,,,,,,,,,,,
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1922090398.aspx,24/7 Ambulance Services Inc,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","6201 Bonhomme Rd Suite 388n Houston, Tx 77036-4365",Houston,TX,832-755-0224,-,24/7 Ambulance Services Inc,Sameer Yousef - (owner),8/22/05,6/16/08,Org,,,,,,,,,,,,,,,,,,,,,,,,
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1508005414.aspx,A-1 Ems,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","827 Citation Dr Stafford, Tx 77477-6374",Stafford,TX,832-567-2450,-,A-1 Ems,Brian Rogers - (ceo),2/17/09,4/10/09,Org,,,,,,,,,,,,,,,,,,,,,,,,
