url,Company Name,Description,Address,city,State,Phone,Website,LBN Legal business name,Authorized official,Enumeration date,Last updated,OrganizationOrSole
https://npidb.org/organizations/transportation_services/land-transport_3416l0300x/1356438378.aspx,"American Fork Fire/rescue

						Lbn American Fork City Corporation",-,"96 North Center St. American Fork, Ut 84003-1626",Fork,UT,801-763-3000,-,American Fork City Corporation,Kriss Garcia - (fire Chief),10/10/2006,05/08/2019,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1730194572.aspx,"Beaver Valley Ambulance

						Lbn Beaver Fire Service District 1","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","1090 N Main Beaver, Ut 84713-0549",Beaver,UT,435-438-7151,-,Beaver Fire Service District 1,Elizabeth Yardley - (business Office Manager),07/30/2006,02/11/2008,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1619447653.aspx,City Of Santa Clara,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","2603 Santa Clara Dr Santa Clara, Ut 84765-5463",Clara,UT,435-673-6712,-,City Of Santa Clara,Brock Jacobsen - (finance Director),12/03/2018,12/03/2018,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1053400242.aspx,County Of Daggett,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","95 N 1st West Manila, Ut 84046",Manila,UT,435-784-3222,-,County Of Daggett,Stewart Leith - (commissioner),10/12/2006,04/20/2008,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1144259698.aspx,"Dixie Ambulance Service

						Lbn Da Services Inc.","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","587 N 600 W Saint George, Ut 84770-2612",George,UT,435-628-4303,-,Da Services Inc.,Michael Miller - (general Manager),06/30/2006,08/22/2020,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1073634234.aspx,"Draper City Ambulance

						Lbn Draper City","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","780 E 12300 S Draper, Ut 84020-9571",Draper,UT,(385) 557-2801,-,Draper City,Clint Smith - (chief),04/03/2007,06/16/2017,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1770863623.aspx,Ephraim Ambulance Association,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","44 W Center St Ephraim, Ut 84627-1321",Ephraim,UT,435-851-1737,-,Ephraim Ambulance Association,Christi Johnson - (president),08/24/2011,08/24/2011,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1750312674.aspx,Ephraim City Corporation,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","45 E Center St Ephraim, Ut 84627",Ephraim,UT,435-283-4631,-,Ephraim City Corporation,Richard Anderson - (city Manager),07/06/2006,02/09/2010,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1659851681.aspx,Grand County Emergency Medical Services Special Service District,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","520 E 100 N Moab, Ut 84532",Moab,UT,435-259-1301,-,Grand County Emergency Medical Services Special Service District,Andrew Smith - (executive Director),08/20/2018,08/20/2018,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1285745216.aspx,Lehi City Municipal Corporation,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","176 N Center St Lehi, Ut 84043-1850",Lehi,UT,801-768-7130,-,Lehi City Municipal Corporation,Richard Howard - (battalion Chief),08/31/2006,04/19/2013,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1992917165.aspx,"Lone Peak Ambulance

						Lbn Lone Peak Public Safety District","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","50 E 100 N Alpine, Ut 84004-1636",Alpine,UT,801-763-5365,-,Lone Peak Public Safety District,Brad Freeman - (ems Director),05/03/2007,04/14/2009,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1194771618.aspx,Midvale City Corporation,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","607 E 7200 S Midvale, Ut 84047-2215",Midvale,UT,801-263-0810,-,Midvale City Corporation,Debbie Orton - (office Manager),05/26/2006,02/05/2010,Org
https://npidb.org/organizations/hospitals/critical-access_282nc0060x/1427064211.aspx,Milford Memorial Hospital,-,"850 N Main St Milford, Ut 84751-7871",Milford,UT,435-387-2411,-,Milford Memorial Hospital,Tyler Moss - (cfo),07/31/2006,01/07/2020,Org
