url,Company Name,Description,Address,city,State,Phone,Website,LBN Legal business name,Authorized official,Enumeration date,Last updated,OrganizationOrSole
https://npidb.org/organizations/transportation_services/non-emergency-medical-transport-van_343900000x/1346378932.aspx,"A-always Enterprises,inc.","A land vehicle with a capacity to meet special height, clearance, access, and seating, for the conveyance of persons in non-emergency situations. The vehicle may or may not be required to meet local county or state regulations.","5219 Quiet Pi Woodbridge, Va 22193",Woodbridge,VA,202-583-4138,-,"A-always Enterprises,inc.",Bobby Bullock - (ceo),03/02/2007,06/11/2019,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1205819646.aspx,"Abingdon Ambulance Service

						Lbn Abingdon Convalescent Ambulance Service Incorporated","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","618 Campus Dr Abingdon, Va 24210-9699",Abingdon,VA,276-628-8470,-,Abingdon Convalescent Ambulance Service Incorporated,Richard Kegley - (controller),11/21/2005,11/13/2012,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1831144831.aspx,Accomack Co. Dept. Of Public Safety,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","23337 Cross St C/o Treasurer Of Accomack Accomac, Va 23301-1746",Accomac,VA,757-789-3610,-,Accomack Co. Dept. Of Public Safety,Jason Loftus - (director Of Public Safety),05/24/2006,08/22/2020,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1164561601.aspx,"Allens Ambulance Service

						Lbn Allen's Ambulance","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","4731 Bell Rd Dillwyn, Va 23936",Dillwyn,VA,434-988-3170,-,Allen's Ambulance,Samantha Bersch - (supervisor),02/05/2007,11/06/2019,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1598719734.aspx,"Altavista Ems

						Lbn Altavista Life Saving And First Aid Crew, Incorporated","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","1510 Main St Altavista, Va 24517",Altavista,VA,434-369-4716,-,"Altavista Life Saving And First Aid Crew, Incorporated",Jason Bradner - (president),05/20/2006,04/14/2008,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1083742035.aspx,"Amc Transportation

						Lbn Augusta Health Care Inc","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","173 Medical Center Drive Fishersville, Va 22939",Fishersville,VA,540-932-5777,-,Augusta Health Care Inc,Robert Riley - (cfo),03/01/2007,06/20/2018,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1033214887.aspx,"American Medical Response

						Lbn American Medical Response Mid-atlantic Inc","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","4300 Evergreen Ln Suite 104 Annandale, Va 22003-3214",Annandale,VA,215-629-2600,-,American Medical Response Mid-atlantic Inc,William Sanger - (president And Ceo),09/14/2006,04/09/2008,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1861818965.aspx,"American Medical Response Mid-atlantic, Inc.","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","5000 Incubator Rd Hampton, Va 23661-1347",Hampton,VA,303-334-2410,-,"American Medical Response Mid-atlantic, Inc.",Eric Thomas - (svp Of Revenue Mangement),03/13/2014,06/15/2020,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1700925641.aspx,Angelcare Ambulance Service,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","660 West Main Street Abingdon, Va 24212",Abingdon,VA,276-628-8424,-,Angelcare Ambulance Service,Jack Kiser - (president),02/06/2007,08/22/2020,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1184093460.aspx,Ararat Volunteer Rescue Squad Incorporated,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","4690 Ararat Hwy Ararat, Va 24053-8888",Ararat,VA,276-251-5230,-,Ararat Volunteer Rescue Squad Incorporated,Mary Gentile - (authorized Official),09/17/2015,09/17/2015,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1255342648.aspx,"Arlington County Government

						Lbn Arlington County Government Department Of Managment & Finance","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","2100 Clarendon Blvd 400 Arlington, Va 22201-5447",Arlington,VA,703-228-3361,-,Arlington County Government Department Of Managment & Finance,Jennifer Roan - (administrative Tech I),08/10/2006,01/31/2013,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1336372234.aspx,Augusta County Board Of Supervisors,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","18 Government Center Ln Verona, Va 24482-2639",Verona,VA,540-245-5624,-,Augusta County Board Of Supervisors,Timothy Fitzgerald - (county Administrator),08/26/2009,10/17/2019,Org
https://npidb.org/organizations/transportation_services/non-emergency-medical-transport-van_343900000x/1326381542.aspx,Bayside Medical Services,"A land vehicle with a capacity to meet special height, clearance, access, and seating, for the conveyance of persons in non-emergency situations. The vehicle may or may not be required to meet local county or state regulations.","3208 Madden Ter Portsmouth, Va 23703-4213",Portsmouth,VA,757-504-8794,-,Bayside Medical Services,Hope Watson - (member),04/05/2013,04/05/2013,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1659338176.aspx,"Baywood Search And Rescue Squad

						Lbn Baywood Rescue Squad","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","47 Crossroads Drive Galax, Va 24333-3782",Galax,VA,276-236-8690,-,Baywood Rescue Squad,Pat Rector - (treasurer),04/27/2006,08/22/2020,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1598800666.aspx,"Big Stone Gap Rescue Squad, Inc.","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","361 Shawnee Avenue Big Stone Gap, Va 24219-0128",Gap,VA,276-523-0251,-,"Big Stone Gap Rescue Squad, Inc.",Donald Sturgill - (captain),02/20/2007,12/19/2009,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1609821792.aspx,Bloxom Volunteer Fire Company,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","15312 Bayside Dr Bloxom, Va 23308-2820",Bloxom,VA,757-665-5169,-,Bloxom Volunteer Fire Company,James Bagwell - (chairman),05/24/2006,09/13/2019,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1699812495.aspx,Blue Ridge Volunteer Rescue Squad Inc,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","1961 Willis Gap Road Ararat, Va 24053-3468",Ararat,VA,276-251-1850,-,Blue Ridge Volunteer Rescue Squad Inc,Sheila Marshall - (rescue Squad Billing Representative),01/31/2007,03/30/2017,Org
https://npidb.org/organizations/transportation_services/non-emergency-medical-transport-van_343900000x/1700156569.aspx,Bmr Transport,"A land vehicle with a capacity to meet special height, clearance, access, and seating, for the conveyance of persons in non-emergency situations. The vehicle may or may not be required to meet local county or state regulations.","7188 Riley Rd Warrenton, Va 20187-8941",Warrenton,VA,540-359-0868,-,Bmr Transport,Cecil Barrett - (director),01/10/2012,01/11/2012,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1710090014.aspx,Botetourt County Board Of Supervisors,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","205 N Roanoke St Suite 1 Fincastle, Va 24090-3018",Fincastle,VA,540-473-8401,-,Botetourt County Board Of Supervisors,David Firestone - (emergency Services Specialist),08/17/2006,05/25/2010,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1710952460.aspx,Bristol Life Saving Crew,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","1601 Euclid Ave Bristol, Va 24201-3733",Bristol,VA,276-669-5441,-,Bristol Life Saving Crew,Tim Salyer - (captain),02/17/2006,08/22/2020,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1952390726.aspx,Brunswick Volunteer Rescue Squad Inc,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","1458 Lawrenceville Plank Rd Lawrenceville, Va 23868-3302",Lawrenceville,VA,434-848-3020,-,Brunswick Volunteer Rescue Squad Inc,Charles Vaughan - (president),10/14/2005,10/15/2007,Org
https://npidb.org/organizations/transportation_services/air-transport_3416a0800x/1710934617.aspx,"Carilion Patient Transportation Services, Llc

						Lbn Carilion Clinic Patient Transportation, Llc",-,"431 Mcclanahan St. Sw Roanoke, Va 24014-1756",Roanoke,VA,540-981-8731,-,"Carilion Clinic Patient Transportation, Llc",Donald Lorton - (evp. Treasurer),05/27/2006,12/15/2009,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1659327625.aspx,Carroll County Emergency Medical Services Inc,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","605 Pine St Hillsville, Va 24343-1463",Hillsville,VA,276-728-3710,-,Carroll County Emergency Medical Services Inc,Kathy Surratt - (administrator),05/25/2006,10/26/2009,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1124066840.aspx,"Castlewood Fire And Rescue, Inc.","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","103 Donnie Dean Drive Castlewood, Va 24224-0009",Castlewood,VA,276-762-0242,-,"Castlewood Fire And Rescue, Inc.",Lloyd Johnson - (coordinator),06/03/2006,07/17/2013,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1528597200.aspx,Central Lifesaving And Rescue Squad,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","5736 Gasburg Road Gasburg, Va 23857-2385",Gasburg,VA,434-532-6015,-,Central Lifesaving And Rescue Squad,Wade Richardson - (captain),06/07/2017,06/07/2017,Org
