url,Company Name,Description,Address,city,State,Phone,Website,LBN Legal business name,Authorized official,Enumeration date,Last updated,OrganizationOrSole
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1275790057.aspx,Albion Fire Department,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","304 W 2nd St Albion, Wa 99102",Albion,WA,509-397-2582,-,Albion Fire Department,Jamie Murphy - (billing Manager),05/20/2008,05/20/2008,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1285669903.aspx,"American Medical Response

						Lbn American Medical Response Ambulance Service Inc","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","229 S 2nd Ave Yakima, Wa 98902-3464",Yakima,WA,509-453-6561,-,American Medical Response Ambulance Service Inc,Eric Thomas - (svp Of Revenue Management),07/11/2006,03/30/2020,Org
url,Company Name,Description,Address,city,State,Phone,Website,LBN Legal business name,Authorized official,Enumeration date,Last updated,OrganizationOrSole
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1275790057.aspx,Albion Fire Department,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","304 W 2nd St Albion, Wa 99102",Albion,WA,509-397-2582,-,Albion Fire Department,Jamie Murphy - (billing Manager),05/20/2008,05/20/2008,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1285669903.aspx,"American Medical Response

						Lbn American Medical Response Ambulance Service Inc","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","229 S 2nd Ave Yakima, Wa 98902-3464",Yakima,WA,509-453-6561,-,American Medical Response Ambulance Service Inc,Eric Thomas - (svp Of Revenue Management),07/11/2006,03/30/2020,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1316972037.aspx,"American Medical Response

						Lbn American Medical Response Ambulance Service Inc","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","902 Center St Tacoma, Wa 98409-8115",Tacoma,WA,253-272-5899,-,American Medical Response Ambulance Service Inc,Timothy Dorn - (cfo),07/11/2006,08/03/2015,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1649205360.aspx,"American Medical Response

						Lbn American Medical Response Ambulance Service Inc","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","1128 Columbia Park Trl Richland, Wa 99352-4856",Richland,WA,509-222-1021,-,American Medical Response Ambulance Service Inc,Eric Thomas - (svp Of Revenue Management),07/11/2006,07/14/2020,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1689608820.aspx,"American Medical Response

						Lbn American Medical Response Ambulance Service Inc","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","13075 Gateway Dr Ste 100 Tukwila, Wa 98168-3342",Tukwila,WA,206-444-4440,-,American Medical Response Ambulance Service Inc,Eric Thomas - (svp Of Revenue Management),07/11/2006,03/30/2020,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1770518490.aspx,"American Medical Response

						Lbn American Medical Response Ambulance Service Inc","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","915 W Sharp Ave Spokane, Wa 99201-2527",Spokane,WA,509-328-6161,-,American Medical Response Ambulance Service Inc,Eric Thomas - (svp Of Revenue Management),07/11/2006,03/30/2020,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1871526095.aspx,"American Medical Response

						Lbn American Medical Response Ambulance Service Inc","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","1218 Borthwick St Centralia, Wa 98531-1000",Centralia,WA,360-807-9289,-,American Medical Response Ambulance Service Inc,Eric Thomas - (svp Of Revenue Management),07/09/2006,03/30/2020,Org
