url,Company Name,Description,Address,city,State,Phone,Website,LBN Legal business name,Authorized official,Enumeration date,Last updated,OrganizationOrSole
https://npidb.org/organizations/agencies/in-home-supportive-care_253z00000x/1619437100.aspx,1 Access Care Of America,"An In Home Supportive Care Agency provides services in the patient?s home with the goal of enabling the patient to remain at home.  The services provided may include personal care services such as hands-on assistance with activities of daily living (ADLs), e.g., eating, bathing, dressing, and bladder and bowel requirements; homemaker services and instrumental activities of daily living (IADLs), e.g., taking medications, shopping for groceries, laundry, housekeeping, and companionship; and/or supervision or cuing so that a person can perform tasks themselves.","2000 E Lamar Blvd Ste 600 Arlington, Tx 76006-7361",Arlington,TX,903-617-8027,-,1 Access Care Of America,Neneh Bah - (ceo/president),3/21/19,3/21/19,Org
https://npidb.org/organizations/agencies/case-management_251b00000x/1265954838.aspx,"18 And Beyond Special Services

						Lbn 18 And Beyond Special Services; Llc","An organization that is responsible for providing case management services.  The agency provides services which assist an individual in gaining access to needed medical, social, educational, and/or other services.  Case management services may be used to locate, coordinate, and monitor necessary appropriate services.  It may be used to encourage the use of cost-effective medical care by referrals to appropriate providers and to discourage over utilization of costly services.  Case management may also serve to provide necessary coordination of non-medical services such as vocational rehabilitation, education, employment, when the services provided enable the individual to function at the highest level.","10200 W Airport Blvd Ste 100 Stafford, Tx 77477",Stafford,TX,713-575-7416,-,18 And Beyond Special Services; Llc,Jimmie Clark - (executive Director),7/14/17,11/26/18,Org
https://npidb.org/organizations/transportation_services/non-emergency-medical-transport-van_343900000x/1558653543.aspx,"1900transportnow, Inc.","A land vehicle with a capacity to meet special height, clearance, access, and seating, for the conveyance of persons in non-emergency situations. The vehicle may or may not be required to meet local county or state regulations.","9030 North Fwy Ste 210 Houston, Tx 77037-2113",Houston,TX,877-900-8767,-,"1900transportnow, Inc.",Sheila Phillips - (vice President),5/9/11,5/9/11,Org
https://npidb.org/organizations/transportation_services/non-emergency-medical-transport-van_343900000x/1972974418.aspx,1st Class Medical Transportation,"A land vehicle with a capacity to meet special height, clearance, access, and seating, for the conveyance of persons in non-emergency situations. The vehicle may or may not be required to meet local county or state regulations.","9901 Richmond Ave Apt 432 Houston, Tx 77042-4557",Houston,TX,281-935-9365,-,1st Class Medical Transportation,Esther Anyaorah - (owner),10/9/15,10/9/15,Org
https://npidb.org/organizations/transportation_services/non-emergency-medical-transport-van_343900000x/1720375694.aspx,24 Hours Non Emergency Medical Transport Llc,"A land vehicle with a capacity to meet special height, clearance, access, and seating, for the conveyance of persons in non-emergency situations. The vehicle may or may not be required to meet local county or state regulations.","546 Cedar Fork Dr League City, Tx 77573-9050",City,TX,832-860-0334,-,24 Hours Non Emergency Medical Transport Llc,Nemat Khawaja - (general Manager),6/29/11,6/29/11,Org
https://npidb.org/organizations/transportation_services/non-emergency-medical-transport-van_343900000x/1912539842.aspx,"3rd Gen Bond Enterprises, Llc","A land vehicle with a capacity to meet special height, clearance, access, and seating, for the conveyance of persons in non-emergency situations. The vehicle may or may not be required to meet local county or state regulations.","17250 Dallas Pkwy Ste 27 Dallas, Tx 75248-1136",Dallas,TX,469-526-3116,-,"3rd Gen Bond Enterprises, Llc",Atahsia Smiley - (ceo),2/9/20,2/17/20,Org
https://npidb.org/organizations/transportation_services/non-emergency-medical-transport-van_343900000x/1982118683.aspx,3rm Services Llc,"A land vehicle with a capacity to meet special height, clearance, access, and seating, for the conveyance of persons in non-emergency situations. The vehicle may or may not be required to meet local county or state regulations.","1501 W Anaya Rd Pharr, Tx 78577-2829",Pharr,TX,956-522-0888,-,3rm Services Llc,Javier Martinez - (owner),11/17/17,11/17/17,Org
https://npidb.org/organizations/transportation_services/non-emergency-medical-transport-van_343900000x/1154719664.aspx,"4 Corners Residential Services, Llc

						Lbn 4 Corners Residential Care, Llc","A land vehicle with a capacity to meet special height, clearance, access, and seating, for the conveyance of persons in non-emergency situations. The vehicle may or may not be required to meet local county or state regulations.","3816 Acacia Trl The Colony, Tx 75056-3681",Colony,TX,972-897-0548,-,"4 Corners Residential Care, Llc",Roderic Horton - (owner),1/6/15,5/20/15,Org
https://npidb.org/organizations/transportation_services/non-emergency-medical-transport-van_343900000x/1275089351.aspx,"5 Star Ride Transportation, Inc.","A land vehicle with a capacity to meet special height, clearance, access, and seating, for the conveyance of persons in non-emergency situations. The vehicle may or may not be required to meet local county or state regulations.","1601 Palasades Dr Apt 436 Fort Worth, Tx 76108-7917",Worth,TX,804-728-5011,-,"5 Star Ride Transportation, Inc.",Nada Alkhafaji - (owner),8/29/16,8/29/16,Org
https://npidb.org/organizations/transportation_services/non-emergency-medical-transport-van_343900000x/1437550647.aspx,A-better Transportation,"A land vehicle with a capacity to meet special height, clearance, access, and seating, for the conveyance of persons in non-emergency situations. The vehicle may or may not be required to meet local county or state regulations.","1370 Afton St 599 Houston, Tx 77055-7034",Houston,TX,832-651-4134,-,A-better Transportation,Keisha Smith - (owner),9/7/14,9/7/14,Org
