url,Company Name,Description,Address,city,State,Phone,Status,Website,LBN Legal business name,Authorized official,Enumeration date,Last updated,OrganizationOrSole
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1740288653.aspx,Alderson Volunteer Fire Department Inc,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","109 Railroad Avenue Alderson, Wv 24910-9382",Alderson,WV,304-445-2022,Govt,-,Alderson Volunteer Fire Department Inc,Charles Lobban - (chief),7/13/05,4/20/08,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1508974254.aspx,"Ambulance - Medicaid

						Lbn Minnie Hamilton Health Care Center, Inc.","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","186 Hospital Drive Grantsville, Wv 26147-7100",Grantsville,WV,304-354-9244,New,-,"Minnie Hamilton Health Care Center, Inc.",Stephen Whited - (cfo/coo),8/25/06,4/18/12,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1568682680.aspx,Anthony Creek Volunteer Fire Department & Rescue Squad,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","Hc 70 Box N10 Neola, Wv 24961",Neola,WV,304-536-1636,Govt,-,Anthony Creek Volunteer Fire Department & Rescue Squad,Mike Wheeler - (provider Relations Specialist),4/30/07,4/20/08,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1851515373.aspx,Augusta Volunteer Rescue Squad Inc,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","16745 Northwestern Pike Augusta, Wv 26704-2605",Augusta,WV,304-496-8223,Govt,-,Augusta Volunteer Rescue Squad Inc,James Aylor - (chief),4/13/07,8/8/16,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1760480669.aspx,Bartow- Frank- Durbin Volunteer Fire Company And Rescue Squad,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","1st Street 4th Ave Durbin, Wv 26264",Durbin,WV,304-456-4893,Govt,-,Bartow- Frank- Durbin Volunteer Fire Company And Rescue Squad,Janet Ghigo - (chief),7/13/05,1/4/12,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1407983547.aspx,Belington Emergency Squad Inc,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","44 Elliot Ave Belington, Wv 26250-2625",Belington,WV,304-823-2010,New,-,Belington Emergency Squad Inc,Derek Hart - (director),2/27/07,9/22/17,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1346248259.aspx,Bethany Volunteer Fire Department,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","2619 West Liberty Road Bethany, Wv 26032",Bethany,WV,304-829-7744,Govt,-,Bethany Volunteer Fire Department,Michelle Scott - (chief),7/13/05,8/24/16,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1326046194.aspx,Blue Ridge Mt. Volunteer Fire Co.,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","181 Keyes Gap Rd Harpers Ferry, Wv 25425-4639",Ferry,WV,304-728-8006,Govt,-,Blue Ridge Mt. Volunteer Fire Co.,Teresa Edwards - (chief),7/14/05,4/20/08,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1124017637.aspx,Boone County Ambulance Authority,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","1 Ems Circle Racine, Wv 25165",Racine,WV,304-837-3911,Govt,-,Boone County Ambulance Authority,Mike Wheeler - (provider Relations Specialist),10/18/05,11/9/10,Org
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1992703896.aspx,Burlington Vol Fire Dept Inc,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","Rt. 50 East Burlington, Wv 26710",Burlington,WV,304-289-3032,Govt,-,Burlington Vol Fire Dept Inc,Robert Haggerty - (chief),7/13/05,10/17/16,Org
