url,Company Name,Description,Address,city,State,Phone,Status,Website,LBN Legal business name,Authorized official,Enumeration date,Last updated,OrganizationOrSole
https://npidb.org/organizations/laboratories/clinical-medical-laboratory_291u00000x/1194834028.aspx,100 Plaza Clinical Lab Lbn 100 Plaza Clinical Lab Inc,"(1) A clinical laboratory is a facility for the biological, microbiological, serological, chemical, immunohematological, hematological, biophysical, cytological, pathological, or other examination of materials derived from the human body for the purpose of providing information for the diagnosis, prevention, or treatment of any disease or impairment of, human beings. These examinations also include procedures to determine, measure, or otherwise describe the presence or absence of various substances or organisms in the body. Facilities only collecting or preparing specimens (or both) or only serving as a mailing service and not performing testing are not considered clinical laboratories. (2) Any facility that examines materials from the human body for purposes of providing information for the diagnosis, prevention, or treatment of any disease or impairment of, or the assessment of, the health of human beings. Typical divisions of a clinical laboratory include hematology, cytology, bacteriology, histology, biochemistry, medical toxicology, and serology.","100 Ucla Medical Plz Suite #245 Los Angeles, Ca 90024-6970",Angeles,CA,310-208-0099,New,-,100 Plaza Clinical Lab Inc,Bahram Parsa - (director),08/30/2006,03/27/2009,Org
https://npidb.org/organizations/laboratories/clinical-medical-laboratory_291u00000x/1366057630.aspx,1care Medical Diagnostics,"(1) A clinical laboratory is a facility for the biological, microbiological, serological, chemical, immunohematological, hematological, biophysical, cytological, pathological, or other examination of materials derived from the human body for the purpose of providing information for the diagnosis, prevention, or treatment of any disease or impairment of, human beings. These examinations also include procedures to determine, measure, or otherwise describe the presence or absence of various substances or organisms in the body. Facilities only collecting or preparing specimens (or both) or only serving as a mailing service and not performing testing are not considered clinical laboratories. (2) Any facility that examines materials from the human body for purposes of providing information for the diagnosis, prevention, or treatment of any disease or impairment of, or the assessment of, the health of human beings. Typical divisions of a clinical laboratory include hematology, cytology, bacteriology, histology, biochemistry, medical toxicology, and serology.","685 Stone Rd Unit 7-12 Benicia, Ca 94510-1055",Benicia,CA,973-868-9864,New,-,1care Medical Diagnostics,Timea Majoros - (director),09/13/2020,09/13/2020,Org
https://npidb.org/organizations/laboratories/clinical-medical-laboratory_291u00000x/1275867558.aspx,1st Choice Medical Equipment Inc,"(1) A clinical laboratory is a facility for the biological, microbiological, serological, chemical, immunohematological, hematological, biophysical, cytological, pathological, or other examination of materials derived from the human body for the purpose of providing information for the diagnosis, prevention, or treatment of any disease or impairment of, human beings. These examinations also include procedures to determine, measure, or otherwise describe the presence or absence of various substances or organisms in the body. Facilities only collecting or preparing specimens (or both) or only serving as a mailing service and not performing testing are not considered clinical laboratories. (2) Any facility that examines materials from the human body for purposes of providing information for the diagnosis, prevention, or treatment of any disease or impairment of, or the assessment of, the health of human beings. Typical divisions of a clinical laboratory include hematology, cytology, bacteriology, histology, biochemistry, medical toxicology, and serology.","9420 Reseda Blvd Ste 822 Northridge, Ca 91324-2932",Northridge,CA,818-448-6527,New,-,1st Choice Medical Equipment Inc,Alexey Kurkin - (ceo),09/20/2009,09/20/2009,Org
https://npidb.org/organizations/laboratories/clinical-medical-laboratory_291u00000x/1407861990.aspx,"21st Century Diagnostic Laboratory, Inc.","(1) A clinical laboratory is a facility for the biological, microbiological, serological, chemical, immunohematological, hematological, biophysical, cytological, pathological, or other examination of materials derived from the human body for the purpose of providing information for the diagnosis, prevention, or treatment of any disease or impairment of, human beings. These examinations also include procedures to determine, measure, or otherwise describe the presence or absence of various substances or organisms in the body. Facilities only collecting or preparing specimens (or both) or only serving as a mailing service and not performing testing are not considered clinical laboratories. (2) Any facility that examines materials from the human body for purposes of providing information for the diagnosis, prevention, or treatment of any disease or impairment of, or the assessment of, the health of human beings. Typical divisions of a clinical laboratory include hematology, cytology, bacteriology, histology, biochemistry, medical toxicology, and serology.","121 N Victory Blvd Burbank, Ca 91502-1837",Burbank,CA,323-660-9480,New,-,"21st Century Diagnostic Laboratory, Inc.",Trdat Tataryan - (chief Executive Officer),07/31/2006,03/16/2015,Org
https://npidb.org/organizations/laboratories/clinical-medical-laboratory_291u00000x/1265742100.aspx,"3primir, Inc. Lbn Mira Dx","(1) A clinical laboratory is a facility for the biological, microbiological, serological, chemical, immunohematological, hematological, biophysical, cytological, pathological, or other examination of materials derived from the human body for the purpose of providing information for the diagnosis, prevention, or treatment of any disease or impairment of, human beings. These examinations also include procedures to determine, measure, or otherwise describe the presence or absence of various substances or organisms in the body. Facilities only collecting or preparing specimens (or both) or only serving as a mailing service and not performing testing are not considered clinical laboratories. (2) Any facility that examines materials from the human body for purposes of providing information for the diagnosis, prevention, or treatment of any disease or impairment of, or the assessment of, the health of human beings. Typical divisions of a clinical laboratory include hematology, cytology, bacteriology, histology, biochemistry, medical toxicology, and serology.","1701 Colorado Avenue Room 196 Santa Monica, Ca 90404",Monica,CA,424-387-8100,New,-,Mira Dx,Joanne Weidhaas - (founder),10/13/2010,05/25/2016,Org
https://npidb.org/organizations/suppliers/pharmacy_333600000x/1821282104.aspx,7 Hills Health Services,"A facility used by pharmacists for the compounding and dispensing of medicinal preparations and other associated professional and administrative services. A pharmacy is a facility whose primary function is to store, prepare and legally dispense prescription drugs under the professional supervision of a licensed pharmacist. It meets any licensing or certification standards set forth by the jurisdiction where it is located.","12500 Boron Ave Boron, Ca 93516-1647",Boron,CA,760-762-5111,New,-,7 Hills Health Services,Prabhakar Tummala - (president),08/30/2007,08/30/2007,Org
https://npidb.org/organizations/laboratories/clinical-medical-laboratory_291u00000x/1073703237.aspx,"A R T Reproductive Center, Inc.","(1) A clinical laboratory is a facility for the biological, microbiological, serological, chemical, immunohematological, hematological, biophysical, cytological, pathological, or other examination of materials derived from the human body for the purpose of providing information for the diagnosis, prevention, or treatment of any disease or impairment of, human beings. These examinations also include procedures to determine, measure, or otherwise describe the presence or absence of various substances or organisms in the body. Facilities only collecting or preparing specimens (or both) or only serving as a mailing service and not performing testing are not considered clinical laboratories. (2) Any facility that examines materials from the human body for purposes of providing information for the diagnosis, prevention, or treatment of any disease or impairment of, or the assessment of, the health of human beings. Typical divisions of a clinical laboratory include hematology, cytology, bacteriology, histology, biochemistry, medical toxicology, and serology.","450 N Roxbury Dr Suite 520 Beverly Hills, Ca 90210-4232",Hills,CA,310-246-4621,New,-,"A R T Reproductive Center, Inc.",David Hill - (scientific Director),07/25/2007,07/25/2007,Org
https://npidb.org/organizations/laboratories/clinical-medical-laboratory_291u00000x/1679960058.aspx,"A & T Neurological Center, Inc","(1) A clinical laboratory is a facility for the biological, microbiological, serological, chemical, immunohematological, hematological, biophysical, cytological, pathological, or other examination of materials derived from the human body for the purpose of providing information for the diagnosis, prevention, or treatment of any disease or impairment of, human beings. These examinations also include procedures to determine, measure, or otherwise describe the presence or absence of various substances or organisms in the body. Facilities only collecting or preparing specimens (or both) or only serving as a mailing service and not performing testing are not considered clinical laboratories. (2) Any facility that examines materials from the human body for purposes of providing information for the diagnosis, prevention, or treatment of any disease or impairment of, or the assessment of, the health of human beings. Typical divisions of a clinical laboratory include hematology, cytology, bacteriology, histology, biochemistry, medical toxicology, and serology.","15130 Ventura Blvd Suite # 305 Sherman Oaks, Ca 91403-3301",Oaks,CA,818-849-5407,New,-,"A & T Neurological Center, Inc",Gevork Mkhitaryan - (president),04/23/2015,04/23/2015,Org
https://npidb.org/organizations/laboratories/clinical-medical-laboratory_291u00000x/1720625403.aspx,A1 Sleep Llc,"(1) A clinical laboratory is a facility for the biological, microbiological, serological, chemical, immunohematological, hematological, biophysical, cytological, pathological, or other examination of materials derived from the human body for the purpose of providing information for the diagnosis, prevention, or treatment of any disease or impairment of, human beings. These examinations also include procedures to determine, measure, or otherwise describe the presence or absence of various substances or organisms in the body. Facilities only collecting or preparing specimens (or both) or only serving as a mailing service and not performing testing are not considered clinical laboratories. (2) Any facility that examines materials from the human body for purposes of providing information for the diagnosis, prevention, or treatment of any disease or impairment of, or the assessment of, the health of human beings. Typical divisions of a clinical laboratory include hematology, cytology, bacteriology, histology, biochemistry, medical toxicology, and serology.","3501 Eboe St Irvine, Ca 92606-2162",Irvine,CA,818-212-9791,New,-,A1 Sleep Llc,Marjorie Yong - (founder),12/02/2019,12/02/2019,Org
https://npidb.org/organizations/laboratories/clinical-medical-laboratory_291u00000x/1023329455.aspx,Abc Sleep Disorders Center,"(1) A clinical laboratory is a facility for the biological, microbiological, serological, chemical, immunohematological, hematological, biophysical, cytological, pathological, or other examination of materials derived from the human body for the purpose of providing information for the diagnosis, prevention, or treatment of any disease or impairment of, human beings. These examinations also include procedures to determine, measure, or otherwise describe the presence or absence of various substances or organisms in the body. Facilities only collecting or preparing specimens (or both) or only serving as a mailing service and not performing testing are not considered clinical laboratories. (2) Any facility that examines materials from the human body for purposes of providing information for the diagnosis, prevention, or treatment of any disease or impairment of, or the assessment of, the health of human beings. Typical divisions of a clinical laboratory include hematology, cytology, bacteriology, histology, biochemistry, medical toxicology, and serology.","433 N 4th St Ste 101b Montebello, Ca 90640-4313",Montebello,CA,213-446-1819,New,-,Abc Sleep Disorders Center,Manuel Beshlikyan - (president/ceo),06/30/2010,06/30/2010,Org
https://npidb.org/organizations/laboratories/clinical-medical-laboratory_291u00000x/1104109453.aspx,"Absolute Diagnostics, Llc","(1) A clinical laboratory is a facility for the biological, microbiological, serological, chemical, immunohematological, hematological, biophysical, cytological, pathological, or other examination of materials derived from the human body for the purpose of providing information for the diagnosis, prevention, or treatment of any disease or impairment of, human beings. These examinations also include procedures to determine, measure, or otherwise describe the presence or absence of various substances or organisms in the body. Facilities only collecting or preparing specimens (or both) or only serving as a mailing service and not performing testing are not considered clinical laboratories. (2) Any facility that examines materials from the human body for purposes of providing information for the diagnosis, prevention, or treatment of any disease or impairment of, or the assessment of, the health of human beings. Typical divisions of a clinical laboratory include hematology, cytology, bacteriology, histology, biochemistry, medical toxicology, and serology.","10760 Edenoaks St San Diego, Ca 92131-3224",Diego,CA,858-880-8518,New,-,"Absolute Diagnostics, Llc",Mark Arnold - (president And Management Memb),09/23/2011,09/23/2011,Org
https://npidb.org/organizations/laboratories/clinical-medical-laboratory_291u00000x/1134533888.aspx,Absolute Sleep Centers Llc,"(1) A clinical laboratory is a facility for the biological, microbiological, serological, chemical, immunohematological, hematological, biophysical, cytological, pathological, or other examination of materials derived from the human body for the purpose of providing information for the diagnosis, prevention, or treatment of any disease or impairment of, human beings. These examinations also include procedures to determine, measure, or otherwise describe the presence or absence of various substances or organisms in the body. Facilities only collecting or preparing specimens (or both) or only serving as a mailing service and not performing testing are not considered clinical laboratories. (2) Any facility that examines materials from the human body for purposes of providing information for the diagnosis, prevention, or treatment of any disease or impairment of, or the assessment of, the health of human beings. Typical divisions of a clinical laboratory include hematology, cytology, bacteriology, histology, biochemistry, medical toxicology, and serology.","12600 Hesperia Rd Ste D Victorville, Ca 92395-5899",Victorville,CA,909-915-4756,New,-,Absolute Sleep Centers Llc,Lisbet Nelson - (ceo),06/19/2014,06/19/2014,Org
https://npidb.org/organizations/laboratories/clinical-medical-laboratory_291u00000x/1033421490.aspx,Accatur Diagnostics Ii Llc,"(1) A clinical laboratory is a facility for the biological, microbiological, serological, chemical, immunohematological, hematological, biophysical, cytological, pathological, or other examination of materials derived from the human body for the purpose of providing information for the diagnosis, prevention, or treatment of any disease or impairment of, human beings. These examinations also include procedures to determine, measure, or otherwise describe the presence or absence of various substances or organisms in the body. Facilities only collecting or preparing specimens (or both) or only serving as a mailing service and not performing testing are not considered clinical laboratories. (2) Any facility that examines materials from the human body for purposes of providing information for the diagnosis, prevention, or treatment of any disease or impairment of, or the assessment of, the health of human beings. Typical divisions of a clinical laboratory include hematology, cytology, bacteriology, histology, biochemistry, medical toxicology, and serology.","18102 Sky Park Cir Suite F Irvine, Ca 92614-6531",Irvine,CA,626-440-1340,New,-,Accatur Diagnostics Ii Llc,Ellen Batzel - (president/owner),07/13/2010,05/24/2016,Org
https://npidb.org/organizations/laboratories/clinical-medical-laboratory_291u00000x/1902048218.aspx,"Access Laboratories, Inc","(1) A clinical laboratory is a facility for the biological, microbiological, serological, chemical, immunohematological, hematological, biophysical, cytological, pathological, or other examination of materials derived from the human body for the purpose of providing information for the diagnosis, prevention, or treatment of any disease or impairment of, human beings. These examinations also include procedures to determine, measure, or otherwise describe the presence or absence of various substances or organisms in the body. Facilities only collecting or preparing specimens (or both) or only serving as a mailing service and not performing testing are not considered clinical laboratories. (2) Any facility that examines materials from the human body for purposes of providing information for the diagnosis, prevention, or treatment of any disease or impairment of, or the assessment of, the health of human beings. Typical divisions of a clinical laboratory include hematology, cytology, bacteriology, histology, biochemistry, medical toxicology, and serology.","703 Ivy St Glendale, Ca 91204-1003",Glendale,CA,818-484-8834,New,-,"Access Laboratories, Inc",Jacob Pogosyan - (cfo),04/01/2009,04/06/2009,Org
https://npidb.org/organizations/laboratories/clinical-medical-laboratory_291u00000x/1093979445.aspx,"Accudiagnostics Lbn Lmn Enterprises, Llc","(1) A clinical laboratory is a facility for the biological, microbiological, serological, chemical, immunohematological, hematological, biophysical, cytological, pathological, or other examination of materials derived from the human body for the purpose of providing information for the diagnosis, prevention, or treatment of any disease or impairment of, human beings. These examinations also include procedures to determine, measure, or otherwise describe the presence or absence of various substances or organisms in the body. Facilities only collecting or preparing specimens (or both) or only serving as a mailing service and not performing testing are not considered clinical laboratories. (2) Any facility that examines materials from the human body for purposes of providing information for the diagnosis, prevention, or treatment of any disease or impairment of, or the assessment of, the health of human beings. Typical divisions of a clinical laboratory include hematology, cytology, bacteriology, histology, biochemistry, medical toxicology, and serology.","3640 Ocean Ranch Blvd Oceanside, Ca 92056-2669",Oceanside,CA,760-433-3315,New,-,"Lmn Enterprises, Llc",Leanne Mix - (ceo),07/15/2008,07/15/2008,Org
https://npidb.org/organizations/laboratories/clinical-medical-laboratory_291u00000x/1235132846.aspx,"Accupath Diagnostic Laboratories, Inc","(1) A clinical laboratory is a facility for the biological, microbiological, serological, chemical, immunohematological, hematological, biophysical, cytological, pathological, or other examination of materials derived from the human body for the purpose of providing information for the diagnosis, prevention, or treatment of any disease or impairment of, human beings. These examinations also include procedures to determine, measure, or otherwise describe the presence or absence of various substances or organisms in the body. Facilities only collecting or preparing specimens (or both) or only serving as a mailing service and not performing testing are not considered clinical laboratories. (2) Any facility that examines materials from the human body for purposes of providing information for the diagnosis, prevention, or treatment of any disease or impairment of, or the assessment of, the health of human beings. Typical divisions of a clinical laboratory include hematology, cytology, bacteriology, histology, biochemistry, medical toxicology, and serology.","17772 17th St # 101-106 Tustin, Ca 92780-1944",Tustin,CA,800-710-1800,New,-,"Accupath Diagnostic Laboratories, Inc",Kimberly Williams - (vice President),05/27/2005,04/24/2014,Org
