url,Company Name,Description,Address,city,State,Phone,Status,Website,LBN Legal business name,Authorized official,Enumeration date,Last updated,OrganizationOrSole
https://npidb.org/organizations/ambulatory_health_care/rehabilitation-substance-use-disorder_261qr0405x/1245615863.aspx,"2110 West Palm Facility,llc",-,"2110 N Florida Mango Rd West Palm Beach, Fl 33409-6492",Beach,FL,561-404-5871,New,-,"2110 West Palm Facility,llc",Larry Hawkins - (owner),07/24/2015,04/14/2016,Org
https://npidb.org/organizations/laboratories/clinical-medical-laboratory_291u00000x/1952716649.aspx,"A & B Diagnos-techs, Llc","(1) A clinical laboratory is a facility for the biological, microbiological, serological, chemical, immunohematological, hematological, biophysical, cytological, pathological, or other examination of materials derived from the human body for the purpose of providing information for the diagnosis, prevention, or treatment of any disease or impairment of, human beings. These examinations also include procedures to determine, measure, or otherwise describe the presence or absence of various substances or organisms in the body. Facilities only collecting or preparing specimens (or both) or only serving as a mailing service and not performing testing are not considered clinical laboratories. (2) Any facility that examines materials from the human body for purposes of providing information for the diagnosis, prevention, or treatment of any disease or impairment of, or the assessment of, the health of human beings. Typical divisions of a clinical laboratory include hematology, cytology, bacteriology, histology, biochemistry, medical toxicology, and serology.","12605 Ne 7th Ave North Miami, Fl 33161-4813",Miami,FL,305-893-9883,New,-,"A & B Diagnos-techs, Llc",Aldyth Roach - (partner),06/22/2014,06/22/2014,Org
https://npidb.org/organizations/laboratories/clinical-medical-laboratory_291u00000x/1609107325.aspx,Abc Path Lab Corporation,"(1) A clinical laboratory is a facility for the biological, microbiological, serological, chemical, immunohematological, hematological, biophysical, cytological, pathological, or other examination of materials derived from the human body for the purpose of providing information for the diagnosis, prevention, or treatment of any disease or impairment of, human beings. These examinations also include procedures to determine, measure, or otherwise describe the presence or absence of various substances or organisms in the body. Facilities only collecting or preparing specimens (or both) or only serving as a mailing service and not performing testing are not considered clinical laboratories. (2) Any facility that examines materials from the human body for purposes of providing information for the diagnosis, prevention, or treatment of any disease or impairment of, or the assessment of, the health of human beings. Typical divisions of a clinical laboratory include hematology, cytology, bacteriology, histology, biochemistry, medical toxicology, and serology.","3000 Sw 148th Avenue Suite 250b Miramar, Fl 33027",Miramar,FL,954-885-5551,New,-,Abc Path Lab Corporation,Francisco Flores - (director),01/20/2010,01/20/2010,Org
https://npidb.org/organizations/laboratories/clinical-medical-laboratory_291u00000x/1295252815.aspx,Abl Medical Care Lbn Abl Medical Care Llc,"(1) A clinical laboratory is a facility for the biological, microbiological, serological, chemical, immunohematological, hematological, biophysical, cytological, pathological, or other examination of materials derived from the human body for the purpose of providing information for the diagnosis, prevention, or treatment of any disease or impairment of, human beings. These examinations also include procedures to determine, measure, or otherwise describe the presence or absence of various substances or organisms in the body. Facilities only collecting or preparing specimens (or both) or only serving as a mailing service and not performing testing are not considered clinical laboratories. (2) Any facility that examines materials from the human body for purposes of providing information for the diagnosis, prevention, or treatment of any disease or impairment of, or the assessment of, the health of human beings. Typical divisions of a clinical laboratory include hematology, cytology, bacteriology, histology, biochemistry, medical toxicology, and serology.","1341 Sundial Pt Winter Springs, Fl 32708-6622",Springs,FL,407-402-8814,New,-,Abl Medical Care Llc,Michelle Taylor - (laboratory Director),08/24/2017,06/12/2019,Org
https://npidb.org/organizations/other_service/acupuncturist_171100000x/1255581500.aspx,Able Acupuncture,"An acupuncturist is a person who performs ancient therapy for alleviation of pain, anesthesia and treatment of some diseases. Acupuncturists use long, fine needles inserted into specific points in order to treat painful conditions or produce anesthesia.","2015 Madison St 202 Hollywood, Fl 33020-6974",Hollywood,FL,954-394-4038,New,-,Able Acupuncture,Michele Bourgouin - (owner),09/23/2008,09/23/2008,Org
https://npidb.org/organizations/laboratories/clinical-medical-laboratory_291u00000x/1972740637.aspx,"A.c.a. Laboratories Lbn A.c.a. Clinical Laboratories, Llc","(1) A clinical laboratory is a facility for the biological, microbiological, serological, chemical, immunohematological, hematological, biophysical, cytological, pathological, or other examination of materials derived from the human body for the purpose of providing information for the diagnosis, prevention, or treatment of any disease or impairment of, human beings. These examinations also include procedures to determine, measure, or otherwise describe the presence or absence of various substances or organisms in the body. Facilities only collecting or preparing specimens (or both) or only serving as a mailing service and not performing testing are not considered clinical laboratories. (2) Any facility that examines materials from the human body for purposes of providing information for the diagnosis, prevention, or treatment of any disease or impairment of, or the assessment of, the health of human beings. Typical divisions of a clinical laboratory include hematology, cytology, bacteriology, histology, biochemistry, medical toxicology, and serology.","999 Sw 71st Ave North Lauderdale, Fl 33068-2313",Lauderdale,FL,989-708-1335,New,-,"A.c.a. Clinical Laboratories, Llc",Felix Achille - (president),01/16/2009,01/16/2009,Org
https://npidb.org/organizations/laboratories/clinical-medical-laboratory_291u00000x/1417264011.aspx,Access Dermpath Inc,"(1) A clinical laboratory is a facility for the biological, microbiological, serological, chemical, immunohematological, hematological, biophysical, cytological, pathological, or other examination of materials derived from the human body for the purpose of providing information for the diagnosis, prevention, or treatment of any disease or impairment of, human beings. These examinations also include procedures to determine, measure, or otherwise describe the presence or absence of various substances or organisms in the body. Facilities only collecting or preparing specimens (or both) or only serving as a mailing service and not performing testing are not considered clinical laboratories. (2) Any facility that examines materials from the human body for purposes of providing information for the diagnosis, prevention, or treatment of any disease or impairment of, or the assessment of, the health of human beings. Typical divisions of a clinical laboratory include hematology, cytology, bacteriology, histology, biochemistry, medical toxicology, and serology.","187 Sw Baya Dr Lake City, Fl 32025-5223",City,FL,813-886-9069,New,-,Access Dermpath Inc,Patricia Owen - (vice President),09/03/2010,10/07/2019,Org
https://npidb.org/organizations/laboratories/clinical-medical-laboratory_291u00000x/1104252287.aspx,"Access Management Co., Llc Lbn Access Laboratories Llc","(1) A clinical laboratory is a facility for the biological, microbiological, serological, chemical, immunohematological, hematological, biophysical, cytological, pathological, or other examination of materials derived from the human body for the purpose of providing information for the diagnosis, prevention, or treatment of any disease or impairment of, human beings. These examinations also include procedures to determine, measure, or otherwise describe the presence or absence of various substances or organisms in the body. Facilities only collecting or preparing specimens (or both) or only serving as a mailing service and not performing testing are not considered clinical laboratories. (2) Any facility that examines materials from the human body for purposes of providing information for the diagnosis, prevention, or treatment of any disease or impairment of, or the assessment of, the health of human beings. Typical divisions of a clinical laboratory include hematology, cytology, bacteriology, histology, biochemistry, medical toxicology, and serology.","11373 Cortez Blvd Ste 302 Brooksville, Fl 34613-5411",Brooksville,FL,352-596-7705,New,-,Access Laboratories Llc,Pariksith Singh - (ceo),09/19/2013,12/03/2013,Org
https://npidb.org/organizations/laboratories/clinical-medical-laboratory_291u00000x/1841408283.aspx,"Access Medical Labs Lbn Access Medical Laboratories, Inc.","(1) A clinical laboratory is a facility for the biological, microbiological, serological, chemical, immunohematological, hematological, biophysical, cytological, pathological, or other examination of materials derived from the human body for the purpose of providing information for the diagnosis, prevention, or treatment of any disease or impairment of, human beings. These examinations also include procedures to determine, measure, or otherwise describe the presence or absence of various substances or organisms in the body. Facilities only collecting or preparing specimens (or both) or only serving as a mailing service and not performing testing are not considered clinical laboratories. (2) Any facility that examines materials from the human body for purposes of providing information for the diagnosis, prevention, or treatment of any disease or impairment of, or the assessment of, the health of human beings. Typical divisions of a clinical laboratory include hematology, cytology, bacteriology, histology, biochemistry, medical toxicology, and serology.","5151 Corporate Way Jupiter, Fl 33458-3101",Jupiter,FL,561-745-1233,New,-,"Access Medical Laboratories, Inc.",Mohamed Elhosseiny - (president),05/18/2007,08/30/2012,Org
https://npidb.org/organizations/laboratories/clinical-medical-laboratory_291u00000x/1407013493.aspx,Access Pathology Inc,"(1) A clinical laboratory is a facility for the biological, microbiological, serological, chemical, immunohematological, hematological, biophysical, cytological, pathological, or other examination of materials derived from the human body for the purpose of providing information for the diagnosis, prevention, or treatment of any disease or impairment of, human beings. These examinations also include procedures to determine, measure, or otherwise describe the presence or absence of various substances or organisms in the body. Facilities only collecting or preparing specimens (or both) or only serving as a mailing service and not performing testing are not considered clinical laboratories. (2) Any facility that examines materials from the human body for purposes of providing information for the diagnosis, prevention, or treatment of any disease or impairment of, or the assessment of, the health of human beings. Typical divisions of a clinical laboratory include hematology, cytology, bacteriology, histology, biochemistry, medical toxicology, and serology.","12408 N 56th St Suite 4 Tampa, Fl 33617-1522",Tampa,FL,813-985-8700,New,-,Access Pathology Inc,Salah Antar - (medical Director),05/19/2008,10/06/2008,Org
https://npidb.org/organizations/laboratories/clinical-medical-laboratory_291u00000x/1528587862.aspx,"Accu Lab, Llc","(1) A clinical laboratory is a facility for the biological, microbiological, serological, chemical, immunohematological, hematological, biophysical, cytological, pathological, or other examination of materials derived from the human body for the purpose of providing information for the diagnosis, prevention, or treatment of any disease or impairment of, human beings. These examinations also include procedures to determine, measure, or otherwise describe the presence or absence of various substances or organisms in the body. Facilities only collecting or preparing specimens (or both) or only serving as a mailing service and not performing testing are not considered clinical laboratories. (2) Any facility that examines materials from the human body for purposes of providing information for the diagnosis, prevention, or treatment of any disease or impairment of, or the assessment of, the health of human beings. Typical divisions of a clinical laboratory include hematology, cytology, bacteriology, histology, biochemistry, medical toxicology, and serology.","246 Mohawk Rd Clermont, Fl 34715-7433",Clermont,FL,201-957-4951,New,-,"Accu Lab, Llc",Jay Jonas - (ceo),09/19/2017,09/19/2017,Org
https://npidb.org/organizations/laboratories/clinical-medical-laboratory_291u00000x/1215260989.aspx,Accurate Diagnostic Services Llc,"(1) A clinical laboratory is a facility for the biological, microbiological, serological, chemical, immunohematological, hematological, biophysical, cytological, pathological, or other examination of materials derived from the human body for the purpose of providing information for the diagnosis, prevention, or treatment of any disease or impairment of, human beings. These examinations also include procedures to determine, measure, or otherwise describe the presence or absence of various substances or organisms in the body. Facilities only collecting or preparing specimens (or both) or only serving as a mailing service and not performing testing are not considered clinical laboratories. (2) Any facility that examines materials from the human body for purposes of providing information for the diagnosis, prevention, or treatment of any disease or impairment of, or the assessment of, the health of human beings. Typical divisions of a clinical laboratory include hematology, cytology, bacteriology, histology, biochemistry, medical toxicology, and serology.","1910 Drew St Clearwater, Fl 33765-3023",Clearwater,FL,727-686-9345,New,-,Accurate Diagnostic Services Llc,Jimmy Holmlund - (president),09/14/2009,09/14/2009,Org
https://npidb.org/organizations/laboratories/clinical-medical-laboratory_291u00000x/1750839262.aspx,"Ace Biomedical Labs, Llc","(1) A clinical laboratory is a facility for the biological, microbiological, serological, chemical, immunohematological, hematological, biophysical, cytological, pathological, or other examination of materials derived from the human body for the purpose of providing information for the diagnosis, prevention, or treatment of any disease or impairment of, human beings. These examinations also include procedures to determine, measure, or otherwise describe the presence or absence of various substances or organisms in the body. Facilities only collecting or preparing specimens (or both) or only serving as a mailing service and not performing testing are not considered clinical laboratories. (2) Any facility that examines materials from the human body for purposes of providing information for the diagnosis, prevention, or treatment of any disease or impairment of, or the assessment of, the health of human beings. Typical divisions of a clinical laboratory include hematology, cytology, bacteriology, histology, biochemistry, medical toxicology, and serology.","3726 Beach Blvd Jacksonville, Fl 32207-3814",Jacksonville,FL,904-475-2039,New,-,"Ace Biomedical Labs, Llc",Joshua Heekin - (administrator),09/13/2016,09/13/2016,Org
