url,Company Name,Description,Address,city,State,Phone,Website,LBN Legal business name,Authorized official,Enumeration date,Last updated,,,,,,,,,,,
https://npidb.org/organizations/transportation_services/non-emergency-medical-transport-van_343900000x/1578009593.aspx,"#1 American Med Transportation, Llc","A land vehicle with a capacity to meet special height, clearance, access, and seating, for the conveyance of persons in non-emergency situations. The vehicle may or may not be required to meet local county or state regulations.","2740 Arden Way Suite 204 Sacramento, Ca 95825-1369",Sacramento,CA,916-595-3455,-,"#1 American Med Transportation, Llc",Bassam Breesam - (ceo),1/14/17,1/14/17,,,,,,,,,,,
https://npidb.org/organizations/transportation_services/non-emergency-medical-transport-van_343900000x/1487188934.aspx,"Agape Quality Care, Inc.","A land vehicle with a capacity to meet special height, clearance, access, and seating, for the conveyance of persons in non-emergency situations. The vehicle may or may not be required to meet local county or state regulations.","2330 Enrico Fermi Dr Suite K San Diego, Ca 92154-7204",Diego,CA,909-578-0478,-,"Agape Quality Care, Inc.",Felix Aispuro - (administrator),4/11/17,4/11/17,,,,,,,,,,,
https://npidb.org/organizations/transportation_services/non-emergency-medical-transport-van_343900000x/1962637405.aspx,Agape Transport Ltd. Llc,"A land vehicle with a capacity to meet special height, clearance, access, and seating, for the conveyance of persons in non-emergency situations. The vehicle may or may not be required to meet local county or state regulations.","182 El Rancho Dr South San Francisco, Ca 94080-2169",Francisco,CA,650-752-9914,-,Agape Transport Ltd. Llc,Jean Pineda - (owner),5/28/09,5/28/09,,,,,,,,,,,
https://npidb.org/organizations/agencies/voluntary-or-charitable_251v00000x/1891077624.aspx,"Age Well Senior Services, Inc",-,"24300 El Toro Rd Bldg. A, Suite 2000 Laguna Woods, Ca 92637-2737",A,CA,949-855-8033,-,"Age Well Senior Services, Inc",Marilyn Ditty - (chief Executive Officer),9/19/11,9/19/11,,,,,,,,,,,
https://npidb.org/organizations/transportation_services/non-emergency-medical-transport-van_343900000x/1922549476.aspx,Agile Care Transportation,"A land vehicle with a capacity to meet special height, clearance, access, and seating, for the conveyance of persons in non-emergency situations. The vehicle may or may not be required to meet local county or state regulations.","6203 San Ignacio Ave San Jose, Ca 95119-1371",Jose,CA,510-512-5177,-,Agile Care Transportation,Aimen Suleiman - (managing Memeber),3/16/17,3/16/17,,,,,,,,,,,
https://npidb.org/organizations/transportation_services/non-emergency-medical-transport-van_343900000x/1992945018.aspx,Agustin Supplies & Services Inc,"A land vehicle with a capacity to meet special height, clearance, access, and seating, for the conveyance of persons in non-emergency situations. The vehicle may or may not be required to meet local county or state regulations.","13281 Harbor Blvd Garden Grove, Ca 92843-1719",Grove,CA,714-281-5932,-,Agustin Supplies & Services Inc,Gizelle Gonzales - (vice President),3/2/09,3/2/09url,Company Name,Description,Address,city,State,Phone,Website,LBN Legal business name,Authorized official,Enumeration date,Last updated
https://npidb.org/organizations/transportation_services/non-emergency-medical-transport-van_343900000x/1871092270.aspx,Aht Services Llc,"A land vehicle with a capacity to meet special height, clearance, access, and seating, for the conveyance of persons in non-emergency situations. The vehicle may or may not be required to meet local county or state regulations.","955 N Duesenberg Dr Apt 5202 Ontario, Ca 91764-7940",Ontario,CA,781-854-1020,-,Aht Services Llc,Mohammad Hannan - (ceo),2/12/18,2/12/18,,,,,,,,,,,
https://npidb.org/organizations/transportation_services/non-emergency-medical-transport-van_343900000x/1992332225.aspx,Ahuja Medical Services Llc,"A land vehicle with a capacity to meet special height, clearance, access, and seating, for the conveyance of persons in non-emergency situations. The vehicle may or may not be required to meet local county or state regulations.","1420 E Cooley Dr Ste 200a Colton, Ca 92324-3974",Colton,CA,909-800-3915,-,Ahuja Medical Services Llc,Gurmukh Singh - (owner),3/25/20,3/25/20,,,,,,,,,,,
https://npidb.org/organizations/transportation_services/non-emergency-medical-transport-van_343900000x/1740563584.aspx,"Ai4 Transport Services, Llc","A land vehicle with a capacity to meet special height, clearance, access, and seating, for the conveyance of persons in non-emergency situations. The vehicle may or may not be required to meet local county or state regulations.","555 Umbarger Rd Spc 17 San Jose, Ca 95111-2040",Jose,CA,408-610-9199,-,"Ai4 Transport Services, Llc",Abraham Batong - (owner),9/27/11,9/27/11,,,,,,,,,,,
https://npidb.org/organizations/transportation_services/non-emergency-medical-transport-van_343900000x/1912220104.aspx,"Aid To Ride

						Lbn  Jazstrom, Inc","A land vehicle with a capacity to meet special height, clearance, access, and seating, for the conveyance of persons in non-emergency situations. The vehicle may or may not be required to meet local county or state regulations.","713 W Commonwealth Ave Suite A Fullerton, Ca 92832-1662",Fullerton,CA,714-992-2388,-,"Jazstrom, Inc",Jasper Soliven - (president/ceo),3/2/10,3/2/10,,,,,,,,,,,
https://npidb.org/organizations/transportation_services/non-emergency-medical-transport-van_343900000x/1164979613.aspx,Aim Medical Transport Inc,"A land vehicle with a capacity to meet special height, clearance, access, and seating, for the conveyance of persons in non-emergency situations. The vehicle may or may not be required to meet local county or state regulations.","4505 Allstate Dr Suite 206 Riverside, Ca 92501",Riverside,CA,855-947-2247,-,Aim Medical Transport Inc,Ravinder Miglani - (ceo),9/1/16,9/1/16,,,,,,,,,,,
