url,Company Name,Description,Address,Phone,Website,LBN Legal business name,Authorized official,Enumeration date,Last updated
url,Company Name,Description,Address,Phone,Website,LBN Legal business name,Authorized official,Enumeration date,Last updated
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1265577126.aspx,ANIAK VOLUNTEER FIRE DEPARTMENT,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","307 AIRPORT RD.
ANIAK, AK
 99557-0307",907-675-4481,,,Organization,02/24/2010 - About 11 years ago,"AK
License #
6220

 

AK
Medicaid
GA6220



AK
Other
6220
AMBULANCE CERTIFICATION"
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1942669361.aspx,HAINES VOLUNTEER FIRE DEPARTMENT,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","217 HAINES HIGHWAY
HAINES, AK
 99827",907-766-2115,,HAINES VOLUNTEER FIRE DEPARTMENT,Organization,02/12/2016 - About 5 years ago,"AK
License #
6120"
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1336606847.aspx,HOPE SUNRISE EMERGENCY SERVICES INC,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","19925 HOPE HWY
HOPE, AK
 99605",907-229-9232,,HOPE SUNRISE EMERGENCY SERVICES INC,Organization,02/21/2019 - More than a year ago,"AK
Other
1111
WE DON'T HAVE THESE"
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1871754473.aspx,"LIFEMED ALASKA, LLC","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","6320 S AIRPARK PL
HANGAR #1 AND #2
ANCHORAGE, AK
 99502-1865",907-563-6633,,,,,
https://npidb.org/organizations/transportation_services/land-transport_3416l0300x/1588165070.aspx,MEDEVAC ALASKA L.L.C.,,"4011 ARTIC BLVD STE 206
ANCHORAGE, AK
 99503-5701",907-310-9001,,MEDEVAC ALASKA L.L.C.,Organization,01/06/2020 - About 9 months ago,n/a
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1609250745.aspx,"METLAKATLA VOLUNTEER FIRE DEPARTMENT
LBN METLAKATLA INDIAN COMMUNITY","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","4TH & AURIEL ST.
METLAKATLA, AK
 99926",907-886-7922,,METLAKATLA INDIAN COMMUNITY,"AARON JOYNER
- (OFFICE SPECIALIST)",07/18/2015,07/18/2015 - About 5 years ago
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1952304271.aspx,"TOK COMMUNITY CLINIC, INCORPORATED","An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","MILE 124 TOK CUTOFF
TOK, AK
 99780-0033",907-883-5873,,,Organization,12/06/2017 - About 3 years ago,"AK
License #
6185



AK
Medicaid
GA6185"
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1376598755.aspx,TRI -VALLEY VOLUNTEER FIRE DEPARTMENT,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","5 HEALY SPUR ROAD
HEALY, AK
 99743-0146",907-683-2223,,,Organization,12/09/2010 - About 10 years ago,"AK
License #
25367



AK
Medicaid
GA0300"
url,Company Name,Description,Address,Phone,Website,LBN Legal business name,Authorized official,Enumeration date,Last updated
url,Company Name,Description,Address,Phone,Website,LBN Legal business name,Authorized official,Enumeration date,Last updated
url,Company Name,Description,Address,Phone,Website,LBN Legal business name,Authorized official,Enumeration date,Last updated
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1265577126.aspx,ANIAK VOLUNTEER FIRE DEPARTMENT,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","307 AIRPORT RD.
ANIAK, AK
 99557-0307",907-675-4481,,,Organization,02/24/2010 - About 11 years ago,"AK
License #
6220



AK
Medicaid
GA6220



AK
Other
6220
AMBULANCE CERTIFICATION"
https://npidb.org/organizations/transportation_services/ambulance_341600000x/1942669361.aspx,HAINES VOLUNTEER FIRE DEPARTMENT,"An emergency vehicle used for transporting patients to a health care facility after injury or illness. Types of ambulances used in the United States include ground (surface) ambulance, rotor-wing (helicopter), and fixed-wing aircraft (airplane).","217 HAINES HIGHWAY
HAINES, AK
 99827",907-766-2115,,HAINES VOLUNTEER FIRE DEPARTMENT,Organization,02/12/2016 - About 5 years ago,"AK
License #
6120"
